# Matter power spectrum P(k) at redshift z=0
# for k=7.75386e-06 to 1.63211 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.059753081982e-02       4.042852721194e+04 
       1.070537054986e-02       4.033374676031e+04 
       1.081324609818e-02       4.023531288494e+04 
       1.092115725956e-02       4.013289025641e+04 
       1.102910385693e-02       4.002711892888e+04 
       1.113708574059e-02       3.991787529133e+04 
       1.124510278739e-02       3.980540407498e+04 
       1.135315490007e-02       3.968981567418e+04 
       1.146124200653e-02       3.957170647972e+04 
       1.156936405929e-02       3.944958396147e+04 
       1.167752103484e-02       3.932435432537e+04 
       1.178571293318e-02       3.919618779341e+04 
       1.189393977730e-02       3.906506343337e+04 
       1.200220161273e-02       3.893118400985e+04 
       1.211049850714e-02       3.879470045969e+04 
       1.221883054998e-02       3.865564240856e+04 
       1.232719785209e-02       3.851153568161e+04 
       1.243560054544e-02       3.836677606269e+04 
       1.254403878282e-02       3.821944312688e+04 
       1.265251273758e-02       3.806970161539e+04 
       1.276102260345e-02       3.791787541598e+04 
       1.286956859430e-02       3.776373316236e+04 
       1.297815094397e-02       3.760730592924e+04 
       1.308676990616e-02       3.744859682133e+04 
       1.319542575426e-02       3.728807920389e+04 
       1.330411878127e-02       3.712535251931e+04 
       1.341284929973e-02       3.696066824069e+04 
       1.352161764163e-02       3.679625660772e+04 
       1.363042415842e-02       3.662584599800e+04 
       1.373926922094e-02       3.645639953576e+04 
       1.384815321946e-02       3.628479932274e+04 
       1.395707656368e-02       3.610965207698e+04 
       1.406603968277e-02       3.593647418041e+04 
       1.417504302544e-02       3.575924024022e+04 
       1.428408706001e-02       3.557965956651e+04 
       1.439317227448e-02       3.539959091208e+04 
       1.450229917667e-02       3.521865893514e+04 
       1.461146829431e-02       3.503706083431e+04 
       1.472068017523e-02       3.485115103400e+04 
       1.482993538748e-02       3.466732545056e+04 
       1.493923451949e-02       3.448052153966e+04 
       1.504857818030e-02       3.429222886729e+04 
       1.515796699977e-02       3.410311192946e+04 
       1.526740162874e-02       3.391403955702e+04 
       1.537688273933e-02       3.372245467944e+04 
       1.548641102516e-02       3.353000383434e+04 
       1.559598720164e-02       3.333677235966e+04 
       1.570561200623e-02       3.314244364066e+04 
       1.581528619874e-02       3.294739383004e+04 
       1.592501056168e-02       3.275153176105e+04 
       1.603478590056e-02       3.255506193793e+04 
       1.614461304423e-02       3.235791712868e+04 
       1.625449284527e-02       3.215948824056e+04 
       1.636442618036e-02       3.196066496520e+04 
       1.647441395067e-02       3.176161727511e+04 
       1.658445708227e-02       3.156201841943e+04 
       1.669455652658e-02       3.136225425008e+04 
       1.680471326078e-02       3.116170437721e+04 
       1.691492828831e-02       3.096066816446e+04 
       1.702520263934e-02       3.075919807951e+04 
       1.713553737126e-02       3.055724895807e+04 
       1.724593356922e-02       3.035498883390e+04 
       1.735639234663e-02       3.015271562195e+04 
       1.746691484575e-02       2.994949541221e+04 
       1.757750223826e-02       2.974651259276e+04 
       1.768815572583e-02       2.954181687127e+04 
       1.779887654077e-02       2.933804686462e+04 
       1.790966594666e-02       2.913447791144e+04 
       1.802052523897e-02       2.893077672775e+04 
       1.813145574578e-02       2.872702060985e+04 
       1.824245882849e-02       2.852314910166e+04 
       1.835353588251e-02       2.831942145205e+04 
       1.846468833802e-02       2.811563267904e+04 
       1.857591766076e-02       2.791199030620e+04 
       1.868722535282e-02       2.770903794314e+04 
       1.879861295346e-02       2.750594340346e+04 
       1.891008203996e-02       2.730274947429e+04 
       1.902163422851e-02       2.710028514136e+04 
       1.913327117512e-02       2.689733151818e+04 
       1.924499457651e-02       2.669456934006e+04 
       1.935680617116e-02       2.649190969179e+04 
       1.946870774022e-02       2.628874464270e+04 
       1.958070110860e-02       2.608685212591e+04 
       1.969278814601e-02       2.588536333348e+04 
       1.980497076805e-02       2.568419738565e+04 
       1.991725093734e-02       2.548442411626e+04 
       2.002963066473e-02       2.528304600982e+04 
       2.014211201043e-02       2.508322593370e+04 
       2.025469708532e-02       2.488387028902e+04 
       2.036738805222e-02       2.468495872421e+04 
       2.048018712720e-02       2.448674151565e+04 
       2.059309658096e-02       2.428925301628e+04 
       2.070611874024e-02       2.409244581154e+04 
       2.081925598931e-02       2.389550591161e+04 
       2.093251077145e-02       2.369898245747e+04 
       2.104588559051e-02       2.350320764503e+04 
       2.115938301255e-02       2.330808132143e+04 
