# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495051270547e-10       7.308382352263e-15       4.815629288759e-13       2.538843785155e-19       8.604096085089e-09       4.847081455605e-10      -2.515700893605e-12 
    3       1.409080410354e-10       1.238750887844e-14       6.069035061213e-13       5.080013988418e-19       5.392539468321e-09       3.463613763733e-10      -2.211412106922e-12 
    4       1.324408896198e-10       1.446581449503e-14       6.278236806967e-13       8.471777793637e-19       3.762249373582e-09       2.634950579406e-10      -1.764105187916e-12 
    5       1.257342535717e-10       1.338064004193e-14       5.879819564197e-13       1.271701202039e-18       2.810775959784e-09       2.089751959107e-10      -1.309589486558e-12 
    6       1.207927827726e-10       1.032638678395e-14       5.174283952216e-13       1.781912649327e-18       2.196344682418e-09       1.705953707666e-10      -8.949557157812e-13 
    7       1.173218391338e-10       6.845565261551e-15       4.365635338175e-13       2.378195089485e-18       1.771188588179e-09       1.422686240159e-10      -5.445190897926e-13 
    8       1.149988821632e-10       4.046643753955e-15       3.576919570110e-13       3.060960939112e-18       1.462731062473e-09       1.206285568211e-10      -2.690679377632e-13 
    9       1.135805572209e-10       2.340851531945e-15       2.880867422423e-13       3.830638798810e-18       1.231319329811e-09       1.036536300899e-10      -7.021750295946e-14 
   10       1.128529612985e-10       1.576572838397e-15       2.318022489288e-13       4.687659985131e-18       1.052959350359e-09       9.008774553555e-11       5.736726168738e-14 
   11       1.126746625478e-10       1.351576309686e-15       1.905722845564e-13       5.632445387968e-18       8.851979256448e-10       7.931770273860e-11       1.232731228018e-13 
   12       1.129402439295e-10       1.295022303798e-15       1.640703990442e-13       6.665393167066e-18       7.734485940289e-10       7.011802945454e-11       1.421428171926e-13 
   13       1.135263727142e-10       1.208588122407e-15       1.505283261869e-13       7.786867764972e-18       6.817224235179e-10       6.259422150338e-11       1.277400582640e-13 
   14       1.143349034577e-10       1.063958947498e-15       1.473950169606e-13       8.997190657974e-18       6.054087070426e-10       5.606947379669e-11       9.282560143544e-14 
