# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.781915057733e-10       7.910067781140e-15       4.519749064782e-13       2.288926214769e-19       8.027034644314e-09       6.295306702606e-10      -2.574681920882e-12 
    3       1.625534018518e-10       1.296526624083e-14       5.869027390559e-13       4.579934604251e-19       4.956754646768e-09       4.410357284217e-10      -2.239314410395e-12 
    4       1.492269804519e-10       1.450414303870e-14       6.112363029044e-13       7.637780536906e-19       3.453073376409e-09       3.322647129106e-10      -1.746484308218e-12 
    5       1.391680420076e-10       1.276188321648e-14       5.709892275431e-13       1.146504572475e-18       2.582027317420e-09       2.618339640126e-10      -1.253025574230e-12 
    6       1.318239200991e-10       9.311769120663e-15       4.989520549324e-13       1.606479627231e-18       2.020109498175e-09       2.126316431133e-10      -8.130275603171e-13 
    7       1.265832159060e-10       5.830572090308e-15       4.170191727192e-13       2.144048467634e-18       1.631824426759e-09       1.765495555917e-10      -4.524128820704e-13 
    8       1.230033422369e-10       3.319802815309e-15       3.382087726719e-13       2.759584108800e-18       1.349881207122e-09       1.492107032843e-10      -1.808914076178e-13 
    9       1.206189684352e-10       1.973796487699e-15       2.702798233766e-13       3.453475806702e-18       1.137352038507e-09       1.279337349561e-10       3.007574841544e-15 
   10       1.191335002675e-10       1.463809521846e-15       2.173284170297e-13       4.226117329387e-18       9.725220777063e-10       1.109643767967e-10       1.088362586091e-13 
   11       1.183822271337e-10       1.329542336584e-15       1.805307961072e-13       5.077895476226e-18       8.259080645998e-10       9.758285079084e-11       1.508755480360e-13 
   12       1.181417058667e-10       1.249028227120e-15       1.589472666715e-13       6.009179284871e-18       7.222662169993e-10       8.608712331673e-11       1.471263924792e-13 
   13       1.183620309154e-10       1.113019602555e-15       1.501684591555e-13       7.020310335301e-18       6.370893226672e-10       7.677644223536e-11       1.146547911021e-13 
   14       1.188970124929e-10       9.568836021621e-16       1.509207554826e-13       8.111594513600e-18       5.661542805818e-10       6.880952175502e-11       6.798784838262e-14 
   15       1.196740991228e-10       8.510691679908e-16       1.577573231841e-13       9.283295536823e-18       5.063882185123e-10       6.199441726203e-11       1.967231366313e-14 
   16       1.206863947492e-10       8.279455861343e-16       1.675773053882e-13       1.053563046692e-17       4.555280929119e-10       5.617360100701e-11      -2.155468127560e-14 
   17       1.218441224326e-10       8.689952063827e-16       1.780909603168e-13       1.186876735925e-17       4.118631021956e-10       5.118259011333e-11      -5.072160340519e-14 
   18       1.231673379441e-10       9.298124814268e-16       1.877787726326e-13       1.328282406326e-17       3.739381472074e-10       4.682054311944e-11      -6.617691877226e-14 
   19       1.246502101222e-10       9.894244958652e-16       1.960285330698e-13       1.477787542096e-17       3.411548393054e-10       4.298962304252e-11      -6.890795872626e-14 
   20       1.262047855767e-10       1.037741851512e-15       2.025441934336e-13       1.635394593216e-17       3.122639659463e-10       3.953768760468e-11      -6.187520769524e-14 
