# Matter power spectrum P(k) at redshift z=0
# for k=1.04523e-05 to 33.8029 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045229304439e-05       5.243430783013e+01 
       2.333599408213e-05       1.135365630182e+02 
       3.626502281110e-05       1.734979554170e+02 
       4.927418077803e-05       2.329922371571e+02 
       6.239884539552e-05       2.923986079126e+02 
       7.567528552670e-05       3.519987038613e+02 
       8.914098716499e-05       4.120317368874e+02 
       1.028349935423e-04       4.727169635796e+02 
       1.167982640323e-04       5.342651869789e+02 
       1.310740562481e-04       5.968856569974e+02 
       1.457083357420e-04       6.607908246814e+02 
       1.607502176512e-04       7.261155010219e+02 
       1.762524444589e-04       7.932413245746e+02 
       1.922719036640e-04       8.623404860848e+02 
       2.088701884959e-04       9.336703480297e+02 
       2.261142037266e-04       1.007506369896e+03 
       2.440768169626e-04       1.084144733115e+03 
       2.628375533136e-04       1.163905001142e+03 
       2.824833277735e-04       1.247132755861e+03 
       3.031092046648e-04       1.334202203898e+03 
       3.248191667246e-04       1.425518643580e+03 
       3.477268674359e-04       1.521520669355e+03 
       3.719563286558e-04       1.622681981513e+03 
       3.976425312097e-04       1.729512510521e+03 
       4.249318289298e-04       1.842558601257e+03 
       4.539820971567e-04       1.962401866276e+03 
       4.849625063594e-04       2.089656277983e+03 
       5.180527928243e-04       2.224962982132e+03 
       5.534418854605e-04       2.368982351245e+03 
       5.913257465464e-04       2.522382729293e+03 
       6.319043021330e-04       2.685825583537e+03 
       6.753773827663e-04       2.859946834311e+03 
       7.219396736340e-04       3.045334649065e+03 
       7.717747868926e-04       3.242504405683e+03 
       8.250487110013e-04       3.451872086658e+03 
       8.819030440561e-04       3.673727999627e+03 
       9.424485503543e-04       3.908213163137e+03 
       1.006759654799e-03       4.155300864071e+03 
       1.074870474682e-03       4.414785780284e+03 
       1.146772865869e-03       4.686282326286e+03 
       1.222416740758e-03       4.969232937395e+03 
       1.301712638121e-03       5.262925900588e+03 
       1.384536248788e-03       5.566504908450e+03 
       1.470734385419e-03       5.879018804031e+03 
       1.560131769587e-03       6.199487138355e+03 
       1.652538005660e-03       6.526870543547e+03 
       1.747754200121e-03       6.860124173748e+03 
       1.845578830925e-03       7.198222114498e+03 
       1.945812634716e-03       7.540176807411e+03 
       2.048262428239e-03       7.885053305722e+03 
       2.152743895540e-03       8.231979254620e+03 
       2.259083448384e-03       8.580150345339e+03 
       2.367119307023e-03       8.928833655779e+03 
       2.476701959997e-03       9.277365113885e+03 
       2.587694154215e-03       9.625149064375e+03 
       2.699970548357e-03       9.971654408644e+03 
       2.813417139940e-03       1.031641118148e+04 
       2.927930553245e-03       1.065900253444e+04 
       3.043417254226e-03       1.099906560436e+04 
       3.159792740559e-03       1.133628104304e+04 
       3.276980740442e-03       1.167037328340e+04 
       3.394912442439e-03       1.200110066076e+04 
       3.513525770147e-03       1.232825783729e+04 
       3.632764709272e-03       1.265166583861e+04 
       3.752578690276e-03       1.297117338426e+04 
       3.872922026803e-03       1.328664878669e+04 
       3.993753408099e-03       1.359798987491e+04 
       4.115035442455e-03       1.390510107633e+04 
       4.236734248023e-03       1.420790586784e+04 
       4.358819087074e-03       1.450634612486e+04 
       4.481262039678e-03       1.480037214442e+04 
       4.604037712957e-03       1.508994810599e+04 
       4.727122982211e-03       1.537504038025e+04 
       4.850496760511e-03       1.565559946564e+04 
       4.974139793653e-03       1.593169207085e+04 
       5.098034477620e-03       1.620324918558e+04 
       5.222164696023e-03       1.647028924338e+04 
       5.346515675241e-03       1.673290056593e+04 
