# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:(.)rho_dr             17:gr.fac. D             18:gr.fac. f          
       9.326212236469e+13       8.690109267054e-26       4.969479050487e-09       1.876595376801e+22       1.351070547874e+04       1.448680893826e-10       1.260037067592e+18       2.869287227185e-09       2.081614238068e+44       2.031961019133e+33       1.129508148368e+34       5.477568885622e-08       1.439995970030e+44       3.521610208232e+44       9.025566647817e+31       5.347636487149e+12       8.018977888023e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612146e-26       5.004039849155e-09       1.850596348699e+22       1.351070547874e+04       1.458821660083e-10       1.251278120746e+18       2.889372237775e-09       2.024334923495e+44       1.989880337115e+33       1.106116718719e+34       5.477568885622e-08       1.400371922191e+44       3.424706845817e+44       8.838652629013e+31       5.310463244437e+12       8.820875676825e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162350e-26       5.040419637226e-09       1.824957520493e+22       1.351070547874e+04       1.469033411703e-10       1.242580060324e+18       2.909597843440e-09       1.968631751041e+44       1.948671120535e+33       1.083209711411e+34       5.477568885622e-08       1.361838200436e+44       3.330469951606e+44       8.655609486331e+31       5.273548405597e+12       9.622773465627e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014582e-26       5.074980435893e-09       1.799673901847e+22       1.351070547874e+04       1.479316645585e-10       1.233942463083e+18       2.929965028344e-09       1.914461350357e+44       1.908315321871e+33       1.060777094350e+34       5.477568885622e-08       1.324364802505e+44       3.238826152988e+44       8.476357056272e+31       5.236890174375e+12       1.042467125443e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604295e-26       5.109541234560e-09       1.774740571557e+22       1.351070547874e+04       1.489671862104e-10       1.225364908721e+18       2.950474783542e-09       1.861781544502e+44       1.868795267356e+33       1.038809043202e+34       5.477568885622e-08       1.287922551705e+44       3.149704096331e+44       8.300816835472e+31       5.200486767004e+12       1.122656904323e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710239e-26       5.145921022631e-09       1.750152676604e+22       1.351070547874e+04       1.500099565139e-10       1.216846979862e+18       2.971128107027e-09       1.810551317112e+44       1.830093649233e+33       1.017295937088e+34       5.477568885622e-08       1.252483074190e+44       3.063034391423e+44       8.128911946326e+31       5.164336412118e+12       1.202846683203e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459277e-26       5.182300810702e-09       1.725905431201e+22       1.351070547874e+04       1.510600262095e-10       1.208388262028e+18       2.991926003776e-09       1.760730780460e+44       1.792193518182e+33       9.962283543717e+33       5.477568885622e-08       1.218018776871e+44       2.978749557449e+44       7.960567103317e+31       5.128437350663e+12       1.283036462083e-06       8.959785097271e+00 
       8.881759324197e+13       9.581595331281e-26       5.218680598773e-09       1.701994115867e+22       1.351070547874e+04       1.521174463930e-10       1.199988343623e+18       3.012869485802e-09       1.712281144399e+44       1.755078275890e+33       9.755970685336e+33       5.477568885622e-08       1.184502825932e+44       2.896783970447e+44       7.795708580047e+31       5.092787835811e+12       1.363226240963e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164090e-26       5.255060386844e-09       1.678414076507e+22       1.351070547874e+04       1.531822685177e-10       1.191646815911e+18       3.033959572203e-09       1.665164686165e+44       1.718731667786e+33       9.553930441296e+33       5.477568885622e-08       1.151909125938e+44       2.817073812216e+44       7.634264176944e+31       5.057386132879e+12       1.443416019843e-06       7.964253419796e+00 
       8.758708232243e+13       9.852710158538e-26       5.291440174915e-09       1.655160723503e+22       1.351070547874e+04       1.542545443974e-10       1.183363273000e+18       3.055197289208e-09       1.619344721000e+44       1.683137775922e+33       9.356074328341e+33       5.477568885622e-08       1.120212299515e+44       2.739557020626e+44       7.476163189649e+31       5.022230519243e+12       1.523605798724e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883555e-26       5.329638952389e-09       1.632229530824e+22       1.351070547874e+04       1.553343262081e-10       1.175137311818e+18       3.076583670232e-09       1.574785573594e+44       1.648281012001e+33       9.162315695651e+33       5.477568885622e-08       1.089387667592e+44       2.664173241295e+44       7.321336378044e+31       4.987319284253e+12       1.603795577604e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628134e-25       5.366018740460e-09       1.609616035147e+22       1.351070547874e+04       1.564216664916e-10       1.166968532093e+18       3.098119755924e-09       1.531452550306e+44       1.614146110549e+33       8.972569686891e+33       5.477568885622e-08       1.059411230189e+44       2.590863780601e+44       7.169715935934e+31       4.952650729147e+12       1.683985356484e-06       6.826502931253e+00 
       8.577320689599e+13       1.027383367259e-25       5.404217517935e-09       1.587315834981e+22       1.351070547874e+04       1.575166181570e-10       1.158856536339e+18       3.119806594215e-09       1.489311912151e+44       1.580718122232e+33       8.786753203049e+33       5.477568885622e-08       1.030259647727e+44       2.519571559982e+44       7.021235461349e+31       4.918223166977e+12       1.764175135364e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076186e-25       5.440597306006e-09       1.565324589819e+22       1.351070547874e+04       1.586192344841e-10       1.150800929830e+18       3.141645240374e-09       1.448330848536e+44       1.547982407307e+33       8.604784866046e+33       5.477568885622e-08       1.001910222855e+44       2.450241071493e+44       6.875829927463e+31       4.884034922519e+12       1.844364914244e-06       6.232893980709e+00 
       8.458487400114e+13       1.056453564289e-25       5.478796083480e-09       1.543638019286e+22       1.351070547874e+04       1.597295691255e-10       1.142801320586e+18       3.163636757057e-09       1.408477451704e+44       1.515924629211e+33       8.426584983090e+33       5.477568885622e-08       9.743408827823e+43       2.382818334587e+44       6.733435654117e+31       4.850084332192e+12       1.924554693124e-06       5.973190064846e+00 
