# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   65       3.193837968228e+03       2.682994713559e-01       0.000000000000e+00      -6.640961546164e+00       8.240027100107e-08       3.693507131107e-04      -1.663143561374e-06 
   66       3.257293156319e+03       2.816951438962e-01       0.000000000000e+00      -7.190879096878e+00       8.136396162799e-08       3.620856022108e-04      -1.678334779570e-06 
   67       3.321395459378e+03       2.954827205287e-01       0.000000000000e+00      -7.760701051056e+00       8.032924782736e-08       3.551506716226e-04      -1.692047821242e-06 
   68       3.386113176557e+03       3.096628767627e-01       0.000000000000e+00      -8.350459435461e+00       7.928345076500e-08       3.484640872706e-04      -1.704514863607e-06 
   69       3.451450747487e+03       3.242362047308e-01       0.000000000000e+00      -8.960209278249e+00       7.823256203323e-08       3.420318509799e-04      -1.715932141306e-06 
   70       3.517420545637e+03       3.392030126002e-01       0.000000000000e+00      -9.590002176134e+00       7.718633865242e-08       3.358767432904e-04      -1.726509041022e-06 
   71       3.584032542765e+03       3.545632466916e-01       0.000000000000e+00      -1.023987667835e+01       7.615208561230e-08       3.300106595141e-04      -1.736487789872e-06 
   72       3.651294120506e+03       3.703164832715e-01       0.000000000000e+00      -1.090985821914e+01       7.513410352803e-08       3.244333153295e-04      -1.746145277317e-06 
   73       3.719209881962e+03       3.864619203448e-01       0.000000000000e+00      -1.159995905023e+01       7.413309457766e-08       3.191309071790e-04      -1.755794916221e-06 
   74       3.787781463293e+03       4.029983694466e-01       0.000000000000e+00      -1.231017817329e+01       7.314552552599e-08       3.140747274708e-04      -1.765788543044e-06 
   75       3.857007345307e+03       4.199242474350e-01       0.000000000000e+00      -1.304050127245e+01       7.216294663970e-08       3.092197345834e-04      -1.776518357171e-06 
   76       3.926884830909e+03       4.372376303677e-01       0.000000000000e+00      -1.379089972350e+01       7.117571522098e-08       3.045192519378e-04      -1.788331835066e-06 
   77       3.997416810234e+03       4.549364446202e-01       0.000000000000e+00      -1.456132756220e+01       7.018747079171e-08       2.999771115201e-04      -1.801244880798e-06 
   78       4.068605892597e+03       4.730182958691e-01       0.000000000000e+00      -1.535172383787e+01       6.920453964861e-08       2.956070160774e-04      -1.815154204374e-06 
   79       4.140452208411e+03       4.914804032767e-01       0.000000000000e+00      -1.616201340260e+01       6.823163945175e-08       2.914170108534e-04      -1.829914333951e-06 
   80       4.212953265189e+03       5.103195925565e-01       0.000000000000e+00      -1.699210682475e+01       6.727156577830e-08       2.874088746590e-04      -1.845334114732e-06 
   81       4.286103803543e+03       5.295322890384e-01       0.000000000000e+00      -1.784190030254e+01       6.632485761578e-08       2.835774917605e-04      -1.861173106957e-06 
   82       4.359895653196e+03       5.491145107343e-01       0.000000000000e+00      -1.871127557758e+01       6.538944125455e-08       2.799102045846e-04      -1.877137883020e-06 
   83       4.434317588973e+03       5.690618614030e-01       0.000000000000e+00      -1.960009984841e+01       6.446025203943e-08       2.763861472410e-04      -1.892878223686e-06 
   84       4.509358883249e+03       5.893696140481e-01       0.000000000000e+00      -2.050822765284e+01       6.353164648435e-08       2.729837874893e-04      -1.908063587271e-06 
   85       4.585020955326e+03       6.100329925038e-01       0.000000000000e+00      -2.143550706279e+01       6.260650164767e-08       2.697072694659e-04      -1.922643325744e-06 
   86       4.661307398242e+03       6.310469240326e-01       0.000000000000e+00      -2.238177436267e+01       6.168935647152e-08       2.665653338702e-04      -1.936643727148e-06 
   87       4.738220373374e+03       6.524059477090e-01       0.000000000000e+00      -2.334685211938e+01       6.078368082453e-08       2.635633423053e-04      -1.950093156071e-06 
   88       4.815760528574e+03       6.741042090046e-01       0.000000000000e+00      -2.433054912891e+01       5.989168954710e-08       2.607029493693e-04      -1.963021989794e-06 
   89       4.893926916286e+03       6.961354543734e-01       0.000000000000e+00      -2.533266036301e+01       5.901414521842e-08       2.579817653835e-04      -1.975462549466e-06 
   90       4.972716911685e+03       7.184930258372e-01       0.000000000000e+00      -2.635296691578e+01       5.815014938311e-08       2.553930097566e-04      -1.987449026313e-06 
   91       5.052126130795e+03       7.411698555704e-01       0.000000000000e+00      -2.739123595035e+01       5.729692197545e-08       2.529251549845e-04      -1.999017402873e-06 
   92       5.132148348624e+03       7.641584604860e-01       0.000000000000e+00      -2.844722064553e+01       5.644956867900e-08       2.505615612866e-04      -2.010205369258e-06 
   93       5.212777315061e+03       7.874510803784e-01       0.000000000000e+00      -2.952066277488e+01       5.560306925394e-08       2.482856514553e-04      -2.021039430954e-06 
   94       5.294012692826e+03       8.110401278833e-01       0.000000000000e+00      -3.061130100386e+01       5.475949657246e-08       2.460986153177e-04      -2.031493082807e-06 
   95       5.375854865370e+03       8.349177964955e-01       0.000000000000e+00      -3.171886374777e+01       5.392249012302e-08       2.440049911774e-04      -2.041519067874e-06 
   96       5.458303063604e+03       8.590759196424e-01       0.000000000000e+00      -3.284306663338e+01       5.309511614163e-08       2.420072954124e-04      -2.051060734570e-06 
