# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495051269467e-10       7.308380599439e-15       4.815629288742e-13       2.521315538567e-19       8.617630611713e-09       4.850699930229e-10      -2.515767697604e-12 
    3       1.409080408157e-10       1.238750537299e-14       6.069035061135e-13       5.044959463107e-19       5.401657323322e-09       3.466404365637e-10      -2.211460938037e-12 
    4       1.324408892460e-10       1.446580865305e-14       6.278236806741e-13       8.413357895836e-19       3.768939763967e-09       2.637180084640e-10      -1.764134091316e-12 
    5       1.257342529968e-10       1.338063127977e-14       5.879819563679e-13       1.262939011005e-18       2.816034037098e-09       2.091586662482e-10      -1.309603831868e-12 
    6       1.207927819444e-10       1.032637451827e-14       5.174283951188e-13       1.769646885676e-18       2.200652922968e-09       1.707494486544e-10      -8.949601926539e-13 
    7       1.173218379944e-10       6.845548909373e-15       4.365635336331e-13       2.361842713223e-18       1.774805253978e-09       1.423999413291e-10      -5.445173132992e-13 
    8       1.149988806487e-10       4.046622732708e-15       3.576919567038e-13       3.039939270863e-18       1.465816638228e-09       1.207417668949e-10      -2.690625776173e-13 
    9       1.135805552608e-10       2.340825259502e-15       2.880867417589e-13       3.804365539053e-18       1.233987302905e-09       1.037521563053e-10      -7.021046065772e-14 
   10       1.128529588162e-10       1.576540733113e-15       2.318022482019e-13       4.655553223255e-18       1.055293135932e-09       9.017421095233e-11       5.737470490838e-14 
   11       1.126746594605e-10       1.351537790424e-15       1.905722835027e-13       5.593923601402e-18       8.868474133959e-10       7.938985379009e-11       1.232785293644e-13 
   12       1.129402401490e-10       1.294976789952e-15       1.640703975628e-13       6.619875211093e-18       7.748844669425e-10       7.018186483166e-11       1.421472825824e-13 
   13       1.135263681474e-10       1.208535033924e-15       1.505283241569e-13       7.733772854222e-18       6.829819824528e-10       6.265100533588e-11       1.277437643875e-13 
   14       1.143348980074e-10       1.063897704889e-15       1.473950142392e-13       8.935938340872e-18       6.065211601889e-10       5.612014649549e-11       9.282886810190e-14 
   15       1.153727816390e-10       9.209027676406e-16       1.516570586264e-13       1.022664332145e-17       5.421652907832e-10       5.066366203099e-11       4.963900026000e-14 
   16       1.166036713688e-10       8.410527364886e-16       1.602701602314e-13       1.160610446890e-17       4.874508594219e-10       4.604215508064e-11       7.281021886837e-15 
   17       1.179397746729e-10       8.418180319202e-16       1.707570844773e-13       1.307448117515e-17       4.405170653608e-10       4.205380033173e-11      -2.788599823498e-14 
   18       1.193889400434e-10       8.957374007679e-16       1.812486539819e-13       1.463187459056e-17       3.997811712369e-10       3.850814856503e-11      -5.230426653230e-14 
   19       1.209590701516e-10       9.701217312317e-16       1.907647104205e-13       1.627833657717e-17       3.645996413442e-10       3.537702526136e-11      -6.508983335884e-14 
   20       1.225920089190e-10       1.031464201600e-15       1.985625640250e-13       1.801386142821e-17       3.336135436641e-10       3.261108841467e-11      -6.707255829286e-14 
   21       1.243001382287e-10       1.082663676735e-15       2.047210309676e-13       1.983841119455e-17       3.063361351147e-10       3.016665410821e-11      -6.039895911023e-14 
   22       1.260844148827e-10       1.141805935563e-15       2.096917512072e-13       2.175190578953e-17       2.821156550437e-10       2.796157921434e-11      -4.842667624298e-14 
   23       1.279335443260e-10       1.228290238938e-15       2.139226748616e-13       2.375425309065e-17       2.606191534309e-10       2.596343863491e-11      -3.409583169276e-14 
   24       1.298144983078e-10       1.360732571920e-15       2.179344319720e-13       2.584533899793e-17       2.413494776218e-10       2.413730233479e-11      -2.049378138841e-14 
   25       1.317445933842e-10       1.539561547172e-15       2.222207653679e-13       2.802506252650e-17       2.240800934489e-10       2.249324815790e-11      -9.461582657730e-15 
   26       1.337369867554e-10       1.757778704155e-15       2.272260038641e-13       3.029332364060e-17       2.084986293001e-10       2.103502524020e-11      -2.340540876653e-15 
   27       1.357727526253e-10       2.008961665815e-15       2.329721542358e-13       3.265005400471e-17       1.944181876090e-10       1.972994910308e-11       6.608500122454e-16 
   28       1.378159076869e-10       2.286688544980e-15       2.392775576709e-13       3.509520921875e-17       1.815959706354e-10       1.852703517602e-11      -8.803885770849e-17 
   29       1.398760872720e-10       2.590473646217e-15       2.458382801527e-13       3.762880423496e-17       1.699665147120e-10       1.742147981115e-11      -3.786300345328e-15 
   30       1.419675051510e-10       2.921562199163e-15       2.522176668458e-13       4.025089357301e-17       1.594049583908e-10       1.641403647767e-11      -9.207400359949e-15 
   31       1.440939967262e-10       3.280579862311e-15       2.579009456997e-13       4.296157123239e-17       1.496958758021e-10       1.549620717421e-11      -1.491051546912e-14 
   32       1.462584731997e-10       3.665414346218e-15       2.625162050219e-13       4.576099433517e-17       1.407891686558e-10       1.465904223865e-11      -2.001629498255e-14 
   33       1.484542804671e-10       4.072439450781e-15       2.656854798705e-13       4.864937679988e-17       1.326218986261e-10       1.388572899351e-11      -2.369440609621e-14 
   34       1.506686047051e-10       4.498504374114e-15       2.670417776790e-13       5.162698307592e-17       1.250798175972e-10       1.315547223432e-11      -2.518346590739e-14 
   35       1.529081500036e-10       4.946197254583e-15       2.665029582802e-13       5.469410962241e-17       1.181243587392e-10       1.246856174701e-11      -2.459303638124e-14 
   36       1.551807909935e-10       5.420489166919e-15       2.640955616720e-13       5.785110489592e-17       1.116997520272e-10       1.182920090147e-11      -2.239326115476e-14 
   37       1.574889912204e-10       5.926542398246e-15       2.598904476765e-13       6.109835427221e-17       1.057224144438e-10       1.123869910235e-11      -1.915801292761e-14 
   38       1.598331115051e-10       6.466683774579e-15       2.540189463993e-13       6.443619605495e-17       1.001769269387e-10       1.069590407220e-11      -1.536637651436e-14 
   39       1.622079609753e-10       7.042477562170e-15       2.466676516137e-13       6.786498305536e-17       9.504571606104e-11       1.019636292090e-11      -1.155074992423e-14 
   40       1.646010190994e-10       7.655537308201e-15       2.380784954800e-13       7.138510817399e-17       9.027985833267e-11       9.731797570169e-12      -8.359231167167e-15 
   41       1.669981499078e-10       8.307228566100e-15       2.284802803618e-13       7.499696577675e-17       8.581613101411e-11       9.292757559818e-12      -6.393533384010e-15 
   42       1.694046567296e-10       8.997658291907e-15       2.178482611584e-13       7.870081491710e-17       8.164141442720e-11       8.878384537645e-12      -5.642065221228e-15 
   43       1.718299087946e-10       9.726358136924e-15       2.060720449950e-13       8.249687563772e-17       7.774465158639e-11       8.489289092351e-12      -5.874346215465e-15 
   44       1.742812705381e-10       1.049253516772e-14       1.930192183397e-13       8.638536575027e-17       7.409752247679e-11       8.124740210957e-12      -6.789924717027e-15 
   45       1.767636858963e-10       1.129535664230e-14       1.785451117925e-13       9.036646351519e-17       7.066456556827e-11       7.783129709946e-12      -8.059016999254e-15 
   46       1.792788875950e-10       1.213495185056e-14       1.625292015627e-13       9.444018340405e-17       6.744038958884e-11       7.463801907381e-12      -9.469516423461e-15 
   47       1.818255150353e-10       1.301167658858e-14       1.448469732419e-13       9.860646245302e-17       6.442124864442e-11       7.165575469597e-12      -1.081627991386e-14 
   48       1.843989940704e-10       1.392583293048e-14       1.253586984536e-13       1.028651914285e-16       6.159381820874e-11       6.886132113117e-12      -1.185795374586e-14 
   49       1.869912712717e-10       1.487766723773e-14       1.039085471517e-13       1.072162122667e-16       5.893448275606e-11       6.621935051412e-12      -1.231507335919e-14 
   50       1.895940840860e-10       1.586737766021e-14       8.036767012981e-14       1.116593119927e-16       5.641645013304e-11       6.369255670703e-12      -1.195859379354e-14 
   51       1.922104342588e-10       1.689514365851e-14       5.477929242504e-14       1.161942084722e-16       5.403502396538e-11       6.127771297141e-12      -1.090821916823e-14 
   52       1.948457694047e-10       1.796110105400e-14       2.725146943078e-14       1.208205563663e-16       5.178795978980e-11       5.897803033087e-12      -9.411766777992e-15 
   53       1.975046223294e-10       1.906533173008e-14      -2.082287674187e-15       1.255379476528e-16       4.966790198805e-11       5.679264177517e-12      -7.764113514219e-15 
   54       2.001905116905e-10       2.020786208805e-14      -3.306183044155e-14       1.303459089001e-16       4.766203973678e-11       5.471630824738e-12      -6.309551236828e-15 
   55       2.029059456061e-10       2.138868015482e-14      -6.553933064316e-14       1.352439536495e-16       4.575601683086e-11       5.274176982836e-12      -5.361205793362e-15 
   56       2.056526611079e-10       2.260779542012e-14      -9.951019250060e-14       1.402317610461e-16       4.394758674398e-11       5.086815682783e-12      -4.930456393614e-15 
   57       2.084312701734e-10       2.386519115958e-14      -1.350125924017e-13       1.453090368085e-16       4.223574714738e-11       4.909415320235e-12      -4.934423817595e-15 
   58       2.112410687367e-10       2.516080628588e-14      -1.720905633041e-13       1.504754614425e-16       4.061660880755e-11       4.741534762981e-12      -5.272160683235e-15 
   59       2.140799413606e-10       2.649453453134e-14      -2.107943771074e-13       1.557306896616e-16       3.908321727138e-11       4.582404255621e-12      -5.823775531767e-15 
   60       2.169442659087e-10       2.786622363057e-14      -2.511809270251e-13       1.610743498083e-16       3.762537455136e-11       4.430906324255e-12      -6.449556913101e-15 
   61       2.198304248372e-10       2.927561766160e-14      -2.933020226652e-13       1.665061223517e-16       3.623247185917e-11       4.285878871688e-12      -7.018808386209e-15 
   62       2.227399511360e-10       3.072217079451e-14      -3.371653400907e-13       1.720259972790e-16       3.490313421906e-11       4.147147162722e-12      -7.505898376376e-15 
   63       2.256753735446e-10       3.220519009603e-14      -3.827653452167e-13       1.776340737139e-16       3.363743412083e-11       4.014690648247e-12      -7.914313529826e-15 
   64       2.286386683848e-10       3.372388611302e-14      -4.300946065204e-13       1.833304878298e-16       3.243399036382e-11       3.888332518358e-12      -8.248915710451e-15 
   65       2.316312152085e-10       3.527737025162e-14      -4.791437938921e-13       1.891154147800e-16       3.128988528037e-11       3.767730829895e-12      -8.516008790052e-15 
   66       2.346537524474e-10       3.686465215634e-14      -5.299016774871e-13       1.949890706280e-16       3.020058195937e-11       3.652369633991e-12      -8.723405438586e-15 
   67       2.377063330613e-10       3.848463708915e-14      -5.823551265768e-13       2.009517142769e-16       2.915984146971e-11       3.541550103607e-12      -8.880493914411e-15 
   68       2.407887802527e-10       4.013624476708e-14      -6.364891605399e-13       2.070036374899e-16       2.816138955760e-11       3.434586897001e-12      -8.997325666541e-15 
   69       2.439022609743e-10       4.181879969511e-14      -6.922871164017e-13       2.131451282869e-16       2.720449393251e-11       3.331463283827e-12      -9.081514163742e-15 
   70       2.470479530462e-10       4.353171558008e-14      -7.497305133350e-13       2.193765035640e-16       2.628937357535e-11       3.232293435880e-12      -9.140824784268e-15 
   71       2.502265423045e-10       4.527438134702e-14      -8.087990037061e-13       2.256981219436e-16       2.541551190467e-11       3.137125377974e-12      -9.184139403793e-15 
   72       2.534381910395e-10       4.704616162463e-14      -8.694703732597e-13       2.321103854006e-16       2.458161874377e-11       3.045937364483e-12      -9.221498142484e-15 
   73       2.566825064344e-10       4.884639723068e-14      -9.317205413034e-13       2.386137408870e-16       2.378559228777e-11       2.958634255887e-12      -9.264141112074e-15 
   74       2.599585090028e-10       5.067440565755e-14      -9.955235608931e-13       2.452086819578e-16       2.302448107065e-11       2.875043895311e-12      -9.324550162935e-15 
   75       2.632646010276e-10       5.252948155764e-14      -1.060851619018e-12       2.518957503966e-16       2.229444593233e-11       2.794913485074e-12      -9.416490631158e-15 
   76       2.665992128242e-10       5.441073686954e-14      -1.127672045940e-12       2.586754385264e-16       2.159171331525e-11       2.717976524820e-12      -9.551042586899e-15 
   77       2.699629473555e-10       5.631658646575e-14      -1.195937713198e-12       2.655478719839e-16       2.091571992092e-11       2.644175727904e-12      -9.723766769786e-15 
   78       2.733567711737e-10       5.824516915654e-14      -1.265594876831e-12       2.725130717823e-16       2.026647506277e-11       2.573474360659e-12      -9.925263272648e-15 
   79       2.767813539120e-10       6.019449697091e-14      -1.336585952740e-12       2.795710480891e-16       1.964360279047e-11       2.505787145686e-12      -1.014493458183e-14 
   80       2.802370506226e-10       6.216245235372e-14      -1.408849455533e-12       2.867217998147e-16       1.904632418503e-11       2.440978085325e-12      -1.037094508575e-14 
   81       2.837238841142e-10       6.414678536287e-14      -1.482319937389e-12       2.939653142018e-16       1.847343965390e-11       2.378858285119e-12      -1.059018058343e-14 
   82       2.872415272894e-10       6.614511086647e-14      -1.556927926909e-12       3.013015664143e-16       1.792331122605e-11       2.319183777283e-12      -1.078820779306e-14 
   83       2.907892854825e-10       6.815490574002e-14      -1.632599867970e-12       3.087305191257e-16       1.739384484700e-11       2.261653344163e-12      -1.094923386056e-14 
   84       2.943664656345e-10       7.017375838163e-14      -1.709266564294e-12       3.162521374845e-16       1.688299951193e-11       2.205979525222e-12      -1.105938074467e-14 
   85       2.979735928267e-10       7.220017092415e-14      -1.786890255557e-12       3.238664377581e-16       1.639045042475e-11       2.152119930759e-12      -1.111722076034e-14 
   86       3.016113639771e-10       7.423288549232e-14      -1.865441938691e-12       3.315734460366e-16       1.591617037635e-11       2.100080462829e-12      -1.112492148687e-14 
