# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_ur             18:(.)rho_crit           19:(.)rho_tot            20:(.)p_tot              21:(.)p_tot_prime        22:gr.fac. D             23:gr.fac. f          
       8.758708232243e+13       9.244079926385e-26       4.964022082277e-09       1.764136507292e+22       1.309191344201e+04       1.494731083040e-10       1.146682500403e+18       2.866468969235e-09       1.619344721000e+44       1.678398636077e+33       1.007786797965e+34       1.117856641023e+44       3.726188803409e+43       3.726188803409e+43       1.242062934470e+43       3.946581014145e-08       2.357373880462e+41       3.112177616362e+44       3.112177616362e+44       1.037392538748e+44      -8.357862833065e+52       1.910809440003e-06       7.545082187176e+00 
       8.697823467967e+13       9.373950005271e-26       5.000401870348e-09       1.739695524864e+22       1.309191344201e+04       1.505194200621e-10       1.138711519765e+18       2.886534252019e-09       1.574785573594e+44       1.643640016871e+33       9.869161437605e+33       1.087096829230e+44       3.623656097432e+43       3.623656097432e+43       1.207885365811e+43       3.946581014145e-08       2.292506549332e+41       3.026540519231e+44       3.026540519231e+44       1.008846839705e+44      -8.071381714159e+52       2.011378357897e-06       7.167828077817e+00 
       8.637361934426e+13       9.505644628895e-26       5.034962669015e-09       1.715593156607e+22       1.309191344201e+04       1.515730560025e-10       1.130795948128e+18       2.906739991783e-09       1.531452550306e+44       1.609601227618e+33       9.664777081641e+33       1.057183428315e+44       3.523944761049e+43       3.523944761049e+43       1.174648253683e+43       3.946581014145e-08       2.229424158081e+41       2.943259878996e+44       2.943259878996e+44       9.810866262945e+43      -7.794720262448e+52       2.111947275792e-06       6.826502931254e+00 
       8.577320689599e+13       9.639189430286e-26       5.069523467682e-09       1.691824711239e+22       1.309191344201e+04       1.526340673945e-10       1.122935400326e+18       2.927087171726e-09       1.489311912151e+44       1.576267361073e+33       9.464625401901e+33       1.028093147779e+44       3.426977159264e+43       3.426977159264e+43       1.142325719755e+43       3.946581014145e-08       2.168077590915e+41       2.862270853558e+44       2.862270853558e+44       9.540902844827e+43      -7.527541890782e+52       2.212516193687e-06       6.516207343469e+00 
       8.517696811915e+13       9.774610402591e-26       5.105903255753e-09       1.668385562472e+22       1.309191344201e+04       1.537025058663e-10       1.115129493869e+18       2.947576781928e-09       1.448330848536e+44       1.543623818716e+33       9.268618742223e+33       9.998033380031e+43       3.332677793344e+43       3.332677793344e+43       1.110892597781e+43       3.946581014145e-08       2.108419083552e+41       2.783510385065e+44       2.783510385065e+44       9.278367949855e+43      -7.269521549152e+52       2.313085111582e-06       6.232893980710e+00 
       8.458487400115e+13       9.911933904137e-26       5.140464054421e-09       1.645271148112e+22       1.309191344201e+04       1.547784234074e-10       1.107377848926e+18       2.968209819401e-09       1.408477451704e+44       1.511656304350e+33       9.076671261752e+33       9.722919726110e+43       3.240973242037e+43       3.240973242037e+43       1.080324414012e+43       3.946581014145e-08       2.050402186026e+41       2.706917150811e+44       2.706917150811e+44       9.023057169016e+43      -7.020345329237e+52       2.413654029476e-06       5.973190064847e+00 
       8.399689573103e+13       1.005118666356e-25       5.176843842492e-09       1.622476969173e+22       1.309191344201e+04       1.558618723712e-10       1.099680088308e+18       2.988987288137e-09       1.369720691902e+44       1.480350817844e+33       8.888698897346e+33       9.455376313225e+43       3.151792104408e+43       3.151792104408e+43       1.050597368136e+43       3.946581014145e-08       1.993981726525e+41       2.632431515496e+44       2.632431515496e+44       8.774771717973e+43      -6.779710082500e+52       2.514222947371e-06       5.734262462253e+00 
       8.341300469814e+13       1.019239578499e-25       5.213223630562e-09       1.599998588996e+22       1.309191344201e+04       1.569529054778e-10       1.092035837446e+18       3.009910199153e-09       1.332030393213e+44       1.449693649004e+33       8.704619326759e+33       9.195194832743e+43       3.065064944248e+43       3.065064944248e+43       1.021688314749e+43       3.946581014145e-08       1.939113776221e+41       2.559995484789e+44       2.559995484789e+44       8.533318282293e+43      -6.547323051379e+52       2.614791865266e-06       5.513713906012e+00 
       8.283317249071e+13       1.033558875337e-25       5.249603418633e-09       1.577831632393e+22       1.309191344201e+04       1.580515758162e-10       1.084444724375e+18       3.030979570547e-09       1.295377210063e+44       1.419671371562e+33       8.524351932588e+33       8.942172708011e+43       2.980724236004e+43       2.980724236004e+43       9.935747453346e+42       3.946581014145e-08       1.885755615064e+41       2.489552660179e+44       2.489552660179e+44       8.298508866933e+43      -6.322901513114e+52       2.715360783161e-06       5.309502279863e+00 
       8.225737089444e+13       1.048079343977e-25       5.285983206704e-09       1.555971784789e+22       1.309191344201e+04       1.591579368469e-10       1.076906379717e+18       3.052196427541e-09       1.259732604377e+44       1.390270837303e+33       8.347817766968e+33       8.696112936636e+43       2.898704312212e+43       2.898704312212e+43       9.662347707373e+42       3.946581014145e-08       1.833865698523e+41       2.421048195058e+44       2.421048195058e+44       8.070160649868e+43      -6.106172435790e+52       2.815929701055e-06       5.119877198439e+00 
       8.168557189121e+13       1.062803810681e-25       5.324181984179e-09       1.534414791385e+22       1.309191344201e+04       1.602720424048e-10       1.069420436661e+18       3.073561802534e-09       1.225068823354e+44       1.361479170301e+33       8.174939516998e+33       8.456823937092e+43       2.818941312364e+43       2.818941312364e+43       9.396471041213e+42       3.946581014145e-08       1.783403625239e+41       2.354428752020e+44       2.354428752020e+44       7.848095839748e+43      -5.896872146161e+52       2.916498618950e-06       4.943329708838e+00 
       8.111774765760e+13       1.077735141417e-25       5.360561772250e-09       1.513156456330e+22       1.309191344201e+04       1.613939467016e-10       1.061986530944e+18       3.095076735151e-09       1.191358877859e+44       1.333283761285e+33       8.005641470878e+33       8.224119399563e+43       2.741373133188e+43       2.741373133188e+43       9.137910443959e+42       3.946581014145e-08       1.734330105567e+41       2.289642461333e+44       2.289642461333e+44       7.632141537464e+43      -5.694746008867e+52       3.017067536845e-06       4.778552051877e+00 
       8.055387056366e+13       1.092876242418e-25       5.398760549724e-09       1.492192641904e+22       1.309191344201e+04       1.625237043285e-10       1.054604300838e+18       3.116742272297e-09       1.158576521413e+44       1.305672262113e+33       7.839849484756e+33       7.997818140876e+43       2.665939380292e+43       2.665939380292e+43       8.886464600973e+42       3.946581014145e-08       1.686606930987e+41       2.226638880552e+44       2.226638880552e+44       7.422129601536e+43      -5.499548116644e+52       3.117636454739e-06       4.624405211494e+00 
       7.999391317146e+13       1.108230060748e-25       5.436959327199e-09       1.471519267712e+22       1.309191344201e+04       1.636613702588e-10       1.047273387128e+18       3.138559468203e-09       1.126696229756e+44       1.278632580365e+33       7.677490950251e+33       7.777743963435e+43       2.592581321145e+43       2.592581321145e+43       8.641937737150e+42       3.946581014145e-08       1.640196944355e+41       2.165368955248e+44       2.165368955248e+44       7.217896517194e+43      -5.311040991150e+52       3.218205372634e-06       4.479892548634e+00 
