# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.023144999008e-10       8.362854065510e-15       4.306220087134e-13       0.000000000000e+00       7.505697165367e-09       7.193288024815e-10      -2.618151896103e-12 
    3       1.804840278615e-10       1.335106492685e-14       5.728831627956e-13       0.000000000000e+00       4.649668238579e-09       5.007846282052e-10      -2.254545099662e-12 
    4       1.630076458507e-10       1.444204237487e-14       5.998172606330e-13       0.000000000000e+00       3.251072619214e-09       3.755000903146e-10      -1.724966314571e-12 
    5       1.501028265178e-10       1.222294401457e-14       5.594010113891e-13       0.000000000000e+00       2.435961740452e-09       2.948372071919e-10      -1.202141975648e-12 
    6       1.408159270988e-10       8.542638706837e-15       4.862012089950e-13       0.000000000000e+00       1.907572788214e-09       2.388532244772e-10      -7.449750660715e-13 
    7       1.341932724789e-10       5.135343964530e-15       4.034234654757e-13       0.000000000000e+00       1.541226345604e-09       1.979862636773e-10      -3.800560851454e-13 
    8       1.295065507924e-10       2.876058191763e-15       3.249497864443e-13       0.000000000000e+00       1.275070510268e-09       1.670443869236e-10      -1.154392810356e-13 
    9       1.263408845343e-10       1.781877154978e-15       2.585821218787e-13       0.000000000000e+00       1.074902522019e-09       1.429726704751e-10       5.355610331964e-14 
   10       1.242450460907e-10       1.412864661205e-15       2.082062600985e-13       0.000000000000e+00       9.199982775127e-10       1.238662621068e-10       1.403622115429e-13 
   11       1.229693683385e-10       1.301818777294e-15       1.748118701103e-13       0.000000000000e+00       7.847251269170e-10       1.088226114776e-10       1.630537718611e-13 
   12       1.223810230697e-10       1.187883900276e-15       1.569031000789e-13       0.000000000000e+00       6.866332303488e-10       9.616131007143e-11       1.430475139705e-13 
   13       1.222533505762e-10       1.027626628393e-15       1.513723707620e-13       0.000000000000e+00       6.059490231155e-10       8.547445561176e-11       9.834402375294e-14 
   14       1.225150018939e-10       8.845376619714e-16       1.545054748315e-13       0.000000000000e+00       5.387007020503e-10       7.658271882559e-11       4.566231350816e-14 
   15       1.230901527627e-10       8.165340201263e-16       1.626512373062e-13       0.000000000000e+00       4.820111389713e-10       6.904814306951e-11      -3.054224446189e-15 
   16       1.239065128750e-10       8.270251791748e-16       1.728257969708e-13       0.000000000000e+00       4.337431384478e-10       6.259193612045e-11      -4.020741980480e-14 
   17       1.249634398194e-10       8.787203669985e-16       1.829920525262e-13       0.000000000000e+00       3.922802310635e-10       5.693364853303e-11      -6.256232766052e-14 
   18       1.261845177856e-10       9.302863356461e-16       1.918836997660e-13       0.000000000000e+00       3.562500373464e-10       5.198618630170e-11      -7.011836047199e-14 
   19       1.275610185982e-10       9.765272285536e-16       1.992017704487e-13       0.000000000000e+00       3.250871754280e-10       4.767895140925e-11      -6.530678372867e-14 
   20       1.290483272946e-10       1.026892708328e-15       2.050215764882e-13       0.000000000000e+00       2.976136016673e-10       4.381785665984e-11      -5.260768647812e-14 
   21       1.306443691424e-10       1.102548283169e-15       2.098482126992e-13       0.000000000000e+00       2.734062086882e-10       4.037549584270e-11      -3.611359022111e-14 
   22       1.323253675921e-10       1.227467906511e-15       2.144201132939e-13       0.000000000000e+00       2.518908645098e-10       3.732172595907e-11      -2.029045808970e-14 
   23       1.340932777178e-10       1.402707951740e-15       2.193035303594e-13       0.000000000000e+00       2.327774725884e-10       3.460867109696e-11      -7.785531666092e-15 
   24       1.359343055531e-10       1.619982573461e-15       2.249729076881e-13       0.000000000000e+00       2.156309835816e-10       3.215119403989e-11      -4.998019263096e-16 
   25       1.378495474764e-10       1.872856135459e-15       2.314817015310e-13       0.000000000000e+00       2.002531745560e-10       2.992683733765e-11       1.438842884783e-15 
   26       1.398268559636e-10       2.155173249036e-15       2.386485515106e-13       0.000000000000e+00       1.863686839249e-10       2.791283585709e-11      -1.148901402221e-15 
   27       1.418600764929e-10       2.466926191859e-15       2.460651631886e-13       0.000000000000e+00       1.738133069578e-10       2.609841919388e-11      -6.724285613350e-15 
   28       1.439346337681e-10       2.809267889454e-15       2.531758500909e-13       0.000000000000e+00       1.623730787442e-10       2.446221814215e-11      -1.333635343611e-14 
   29       1.460570633939e-10       3.180181024445e-15       2.594854403485e-13       0.000000000000e+00       1.519909753506e-10       2.298855117546e-11      -1.971602303994e-14 
   30       1.482272196756e-10       3.575840100382e-15       2.644254940646e-13       0.000000000000e+00       1.425569742388e-10       2.164596182817e-11      -2.458806946012e-14 
   31       1.504339456689e-10       3.992759853633e-15       2.674208360099e-13       0.000000000000e+00       1.338804895461e-10       2.039210686418e-11      -2.672792044766e-14 
   32       1.526831497554e-10       4.433470054384e-15       2.683305668811e-13       0.000000000000e+00       1.259176208863e-10       1.922524022403e-11      -2.619093611934e-14 
   33       1.549774397033e-10       4.903054473262e-15       2.671744134043e-13       0.000000000000e+00       1.186128829047e-10       1.814989163936e-11      -2.356139746398e-14 
   34       1.573116766321e-10       5.406970399908e-15       2.640340845257e-13       0.000000000000e+00       1.118650423476e-10       1.716338379990e-11      -1.960623971762e-14 
   35       1.596878081604e-10       5.948250181802e-15       2.590911680379e-13       0.000000000000e+00       1.056399914768e-10       1.625831465932e-11      -1.510901998434e-14 
   36       1.621033188997e-10       6.529372213266e-15       2.526111072942e-13       0.000000000000e+00       9.988815567203e-11       1.541953744178e-11      -1.100366548561e-14 
   37       1.645503066561e-10       7.152567850107e-15       2.448661996965e-13       0.000000000000e+00       9.453514846402e-11       1.462877041072e-11      -8.202820494986e-15 
   38       1.670291810777e-10       7.818310326122e-15       2.358873308174e-13       0.000000000000e+00       8.956743968743e-11       1.388542469555e-11      -6.810859781746e-15 
   39       1.695381601584e-10       8.526302638366e-15       2.256324171240e-13       0.000000000000e+00       8.496958902933e-11       1.319186614800e-11      -6.652904249243e-15 
   40       1.720687516287e-10       9.275847468909e-15       2.140518019118e-13       0.000000000000e+00       8.069818558623e-11       1.254747221507e-11      -7.478405800930e-15 
   41       1.746106982447e-10       1.006614681477e-14       2.010694082709e-13       0.000000000000e+00       7.669702583925e-11       1.194930685157e-11      -8.969006778749e-15 
   42       1.771703478228e-10       1.089738315695e-14       1.865208710047e-13       0.000000000000e+00       7.295445959034e-11       1.139509986781e-11      -1.077862005402e-14 
   43       1.797571443989e-10       1.176994475892e-14       1.701938278593e-13       0.000000000000e+00       6.946060235819e-11       1.088075408380e-11      -1.249699681088e-14 
   44       1.823782603412e-10       1.268412490138e-14       1.518421221883e-13       0.000000000000e+00       6.619011901578e-11       1.039924992521e-11      -1.363283338430e-14 
   45       1.850383391365e-10       1.364017533779e-14       1.312418599140e-13       0.000000000000e+00       6.311128980832e-11       9.942817356013e-12      -1.375043956096e-14 
   46       1.877392913614e-10       1.463849639712e-14       1.083844647788e-13       0.000000000000e+00       6.021933942765e-11       9.510746859566e-12      -1.293936360692e-14 
   47       1.904799617925e-10       1.567949600569e-14       8.333780213789e-14       0.000000000000e+00       5.751097942755e-11       9.103537639003e-12      -1.147730056647e-14 
   48       1.932558302853e-10       1.676353547275e-14       5.619428936057e-14       0.000000000000e+00       5.497435638618e-11       8.720626312696e-12      -9.704410328412e-15 
