# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347290741885e-02       2.360277137583e+04 
       1.360170490045e-02       2.362879247908e+04 
       1.373053867659e-02       2.365265072383e+04 
       1.385940885813e-02       2.367434985994e+04 
       1.398831557901e-02       2.369393927043e+04 
       1.411725899584e-02       2.371144158191e+04 
       1.424623928760e-02       2.372689693271e+04 
       1.437525665533e-02       2.374033667833e+04 
       1.450431132182e-02       2.375178332840e+04 
       1.463340353142e-02       2.376127772653e+04 
       1.476253354982e-02       2.376884261650e+04 
       1.489170166384e-02       2.377452316252e+04 
       1.502090818131e-02       2.377833962326e+04 
       1.515015343092e-02       2.378032605408e+04 
       1.527943776212e-02       2.378051209699e+04 
       1.540876154504e-02       2.377892386120e+04 
       1.553812517046e-02       2.377558773414e+04 
       1.566752904973e-02       2.377055159079e+04 
       1.579697361479e-02       2.376382066647e+04 
       1.592645931818e-02       2.375542279100e+04 
       1.605598663305e-02       2.374540430361e+04 
       1.618555605322e-02       2.373376179713e+04 
       1.631516809325e-02       2.372056159264e+04 
       1.644482328855e-02       2.370580359401e+04 
       1.657452219543e-02       2.368953474064e+04 
       1.670426539129e-02       2.367175716564e+04 
       1.683405347470e-02       2.365250870851e+04 
       1.696388706564e-02       2.363182836376e+04 
       1.709376680557e-02       2.360972316142e+04 
       1.722369335775e-02       2.358623185345e+04 
       1.735366740733e-02       2.356135440573e+04 
       1.748368966168e-02       2.353516808860e+04 
       1.761376085058e-02       2.350763528373e+04 
       1.774388172648e-02       2.347882249103e+04 
       1.787405306480e-02       2.344872910876e+04 
       1.800427566425e-02       2.341740780378e+04 
       1.813455034707e-02       2.338485810687e+04 
       1.826487795941e-02       2.335109114551e+04 
       1.839525937170e-02       2.331616492390e+04 
       1.852569547893e-02       2.328007093451e+04 
       1.865618720111e-02       2.324286273869e+04 
       1.878673548362e-02       2.320454027963e+04 
       1.891734129765e-02       2.316513805321e+04 
       1.904800564060e-02       2.312465871481e+04 
       1.917872953656e-02       2.308315215217e+04 
       1.930951403675e-02       2.304060166238e+04 
       1.944036022004e-02       2.299705160598e+04 
       1.957126919339e-02       2.295250140880e+04 
       1.970224209245e-02       2.290702376737e+04 
       1.983328008202e-02       2.286058397249e+04 
       1.996438435668e-02       2.281324688080e+04 
       2.009555614131e-02       2.276498008329e+04 
       2.022679669172e-02       2.271584713365e+04 
       2.035810729529e-02       2.266582903767e+04 
       2.048948927155e-02       2.261496884292e+04 
       2.062094397288e-02       2.256330176207e+04 
       2.075247278519e-02       2.251082694867e+04 
       2.088407712863e-02       2.245756393174e+04 
       2.101575845831e-02       2.240351253963e+04 
       2.114751826504e-02       2.234872377512e+04 
       2.127935807611e-02       2.229318619559e+04 
       2.141127945613e-02       2.223694420253e+04 
       2.154328400780e-02       2.217993112400e+04 
       2.167537337279e-02       2.212236979222e+04 
       2.180754923261e-02       2.206405647502e+04 
       2.193981330953e-02       2.200511746278e+04 
       2.207216736751e-02       2.194553004583e+04 
       2.220461321313e-02       2.188533127641e+04 
       2.233715269666e-02       2.182448823128e+04 
       2.246978771299e-02       2.176309237811e+04 
       2.260252020279e-02       2.170111372711e+04 
       2.273535215350e-02       2.163857548181e+04 
       2.286828560053e-02       2.157553259925e+04 
       2.300132262838e-02       2.151194861365e+04 
       2.313446537186e-02       2.144781971968e+04 
       2.326771601730e-02       2.138321045042e+04 
       2.340107680384e-02       2.131810075096e+04 
       2.353455002474e-02       2.125255198695e+04 
       2.366813802873e-02       2.118653925389e+04 
       2.380184322141e-02       2.112004837436e+04 
       2.393566806670e-02       2.105315241045e+04 
       2.406961508831e-02       2.098583586776e+04 
       2.420368687129e-02       2.091813226571e+04 
       2.433788606360e-02       2.085003049775e+04 
       2.447221537779e-02       2.078156877552e+04 
       2.460667759263e-02       2.071268645357e+04 
       2.474127555489e-02       2.064350431187e+04 
       2.487601218114e-02       2.057395100648e+04 
       2.501089045959e-02       2.050407717928e+04 
       2.514591345205e-02       2.043383807987e+04 
       2.528108429588e-02       2.036337097371e+04 
       2.541640620607e-02       2.029255931194e+04 
       2.555188247734e-02       2.022149565922e+04 
       2.568751648636e-02       2.015015050527e+04 
       2.582331169398e-02       2.007851885325e+04 
       2.595927164762e-02       2.000667441616e+04 
       2.609539998367e-02       1.993456529739e+04 
       2.623170042999e-02       1.986217266465e+04 
       2.636817680855e-02       1.978966489526e+04 
       2.650483303808e-02       1.971685320958e+04 
       2.664167313685e-02       1.964388113039e+04 
       2.677870122559e-02       1.957069323492e+04 
       2.691592153044e-02       1.949733825409e+04 
       2.705333838606e-02       1.942381931216e+04 
       2.719095623882e-02       1.935011807327e+04 
       2.732877965014e-02       1.927622586092e+04 
       2.746681329992e-02       1.920227180153e+04 
       2.760506199009e-02       1.912810448701e+04 
       2.774353064836e-02       1.905383893162e+04 
       2.788222433201e-02       1.897945692746e+04 
       2.802114823192e-02       1.890495054427e+04 
       2.816030767666e-02       1.883031514976e+04 
       2.829970813683e-02       1.875559977724e+04 
       2.843935522949e-02       1.868079463333e+04 
       2.857925472282e-02       1.860589607903e+04 
       2.871941254090e-02       1.853091682409e+04 
       2.885983476876e-02       1.845588381403e+04 
       2.900052765755e-02       1.838078742024e+04 
       2.914149762997e-02       1.830563627704e+04 
       2.928275128589e-02       1.823041642373e+04 
       2.942429540822e-02       1.815509280042e+04 
       2.956613696904e-02       1.807980807448e+04 
       2.970828313589e-02       1.800446663368e+04 
       2.985074127846e-02       1.792912535691e+04 
       2.999351897543e-02       1.785374687239e+04 
       3.013662402172e-02       1.777831655486e+04 
       3.028006443593e-02       1.770290645136e+04 
       3.042384846821e-02       1.762747962334e+04 
       3.056798460842e-02       1.755207783901e+04 
       3.071248159462e-02       1.747668064646e+04 
       3.085734842201e-02       1.740122466574e+04 
       3.100259435221e-02       1.732587254388e+04 
       3.114822892300e-02       1.725049426035e+04 
       3.129426195843e-02       1.717513464263e+04 
       3.144070357953e-02       1.709982734945e+04 
       3.158756421536e-02       1.702450157189e+04 
       3.173485461470e-02       1.694923728223e+04 
       3.188258585820e-02       1.687399249379e+04 
       3.203076937122e-02       1.679885481686e+04 
       3.217941693716e-02       1.672372203104e+04 
       3.232854071151e-02       1.664863464430e+04 
       3.247815323664e-02       1.657357672980e+04 
       3.262826745717e-02       1.649859854399e+04 
       3.277889673629e-02       1.642365394936e+04 
       3.293005487279e-02       1.634874981940e+04 
       3.308175611895e-02       1.627396413216e+04 
       3.323401519946e-02       1.619917947719e+04 
       3.338684733124e-02       1.612451702789e+04 
       3.354026824428e-02       1.604988380117e+04 
       3.369429420370e-02       1.597531148776e+04 
       3.384894203292e-02       1.590084661727e+04 
       3.400422913806e-02       1.582642384664e+04 
       3.416017353376e-02       1.575209001005e+04 
       3.431679387042e-02       1.567781932483e+04 
       3.447410946291e-02       1.560362605681e+04 
       3.463214032098e-02       1.552951663304e+04 
       3.479090718137e-02       1.545548276360e+04 
       3.495043154185e-02       1.538153964647e+04 
       3.511073569716e-02       1.530763427778e+04 
       3.527184277721e-02       1.523380573114e+04 
       3.543377678748e-02       1.516006149000e+04 
       3.559656265190e-02       1.508641940163e+04 
       3.576022625845e-02       1.501284484550e+04 
       3.592479450748e-02       1.493934275229e+04 
       3.609029536320e-02       1.486590352473e+04 
       3.625675790835e-02       1.479252288037e+04 
       3.642421240251e-02       1.471922846067e+04 
       3.659269034419e-02       1.464601497730e+04 
       3.676222453700e-02       1.457286196885e+04 
       3.693284916036e-02       1.449980593061e+04 
       3.710459984493e-02       1.442674669279e+04 
       3.727751375336e-02       1.435382589140e+04 
       3.745162966655e-02       1.428088505975e+04 
       3.762698807621e-02       1.420804512535e+04 
       3.780363128387e-02       1.413526499241e+04 
       3.798160350728e-02       1.406255564747e+04 
       3.816095099461e-02       1.398984515892e+04 
       3.834172214722e-02       1.391721311409e+04 
       3.852396765174e-02       1.384457047784e+04 
       3.870774062246e-02       1.377199582493e+04 
       3.889309675475e-02       1.369945287562e+04 
       3.908009449079e-02       1.362695472417e+04 
       3.926879519862e-02       1.355442747323e+04 
       3.945926336594e-02       1.348195784682e+04 
       3.965156681007e-02       1.340945177238e+04 
       3.984577690560e-02       1.333700993504e+04 
       4.004196883176e-02       1.326451990874e+04 
       4.024022184136e-02       1.319200745787e+04 
       4.044061955366e-02       1.311950331744e+04 
       4.064325027381e-02       1.304697046061e+04 
       4.084820734158e-02       1.297435886587e+04 
       4.105558951286e-02       1.290173298897e+04 
       4.126550137749e-02       1.282903258007e+04 
       4.147805381763e-02       1.275629860799e+04 
       4.169336451150e-02       1.268346531710e+04 
       4.191155848781e-02       1.261053142481e+04 
       4.213276873707e-02       1.253751777265e+04 
       4.235713688697e-02       1.246437419630e+04 
       4.258481394966e-02       1.239110832489e+04 
       4.281596115050e-02       1.231769203518e+04 
       4.305075084874e-02       1.224411227753e+04 
       4.328936756262e-02       1.217037351553e+04 
       4.353200911309e-02       1.209640614290e+04 
       4.377888790284e-02       1.202224596141e+04 
       4.403023234979e-02       1.194787460079e+04 
       4.428628849780e-02       1.187320052749e+04 
       4.454732183077e-02       1.179826688626e+04 
       4.481361932132e-02       1.172303392949e+04 
       4.508549175064e-02       1.164744471773e+04 
       4.536327634260e-02       1.157151954666e+04 
       4.564733976364e-02       1.149517732349e+04 
       4.593808154955e-02       1.141840410877e+04 
       4.623593803226e-02       1.134115616473e+04 
       4.654138685452e-02       1.126344383505e+04 
       4.685495217815e-02       1.118514637101e+04 
       4.717721071406e-02       1.110623037987e+04 
       4.750879872946e-02       1.102670882862e+04 
       4.785042022218e-02       1.094643869632e+04 
       4.820285649468e-02       1.086535760952e+04 
       4.856697741405e-02       1.078347040271e+04 
       4.894375471209e-02       1.070062636924e+04 
       4.933427776471e-02       1.061678029600e+04 
       4.973977239865e-02       1.053180412249e+04 
       5.016162341123e-02       1.044560475966e+04 
       5.060140166449e-02       1.035802245691e+04 
       5.106089683913e-02       1.026895940351e+04 
       5.154215721872e-02       1.017820618097e+04 
       5.204753823639e-02       1.008559671571e+04 
       5.257976197059e-02       9.990864071541e+03 
       5.314199034005e-02       9.893794381202e+03 
       5.373791542608e-02       9.794032867288e+03 
       5.437187112827e-02       9.691241100783e+03 
       5.504897116612e-02       9.584934783572e+03 
       5.577527908755e-02       9.474593762554e+03 
       5.655801600950e-02       9.359506176602e+03 
       5.740581040373e-02       9.238897753835e+03 
       5.832898957742e-02       9.111648727444e+03 
       5.933990124552e-02       8.976499329113e+03 
       6.045322987547e-02       8.831684130844e+03 
       6.168622706597e-02       8.675105840920e+03 
       6.305869663050e-02       8.503997190112e+03 
       6.459245803418e-02       8.314993922873e+03 
       6.630988393562e-02       8.104059926169e+03 
       6.823108336988e-02       7.866742719547e+03 
       7.036963059809e-02       7.598829159680e+03 
       7.272768050538e-02       7.297532538497e+03 
       7.529261181431e-02       6.963015586919e+03 
       7.803770259898e-02       6.599684515215e+03 
       8.092742631676e-02       6.216421208674e+03 
       8.392487015944e-02       5.825445438508e+03 
       8.699768768953e-02       5.440270607548e+03 
       9.012080011488e-02       5.073535944261e+03 
       9.327636407004e-02       4.735418598944e+03 
       9.645240037996e-02       4.432760468598e+03 
       9.964116623938e-02       4.168885028498e+03 
       1.028377764685e-01       3.943869820844e+03 
       1.060391949922e-01       3.755110446724e+03 
       1.092435523549e-01       3.597982177950e+03 
       1.124497038937e-01       3.466510028752e+03 
       1.156569510546e-01       3.354014110767e+03 
       1.188648683169e-01       3.253724285258e+03 
       1.220731966990e-01       3.159342786132e+03 
       1.252817785994e-01       3.065548257110e+03 
       1.284905180615e-01       2.968377154309e+03 
       1.316993565923e-01       2.865462389841e+03 
       1.349082584632e-01       2.756074702851e+03 
       1.381172017809e-01       2.640968550658e+03 
       1.413261730655e-01       2.522066638545e+03 
       1.445351639579e-01       2.402055641646e+03 
       1.477441692210e-01       2.283947794529e+03 
       1.509531855249e-01       2.170667751686e+03 
       1.541622107091e-01       2.064731066011e+03 
