#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.011709160614e-02       1.513023516640e-07      -1.203345660300e+00       2.105248332695e-02       3.772620571090e-10       9.431551427724e-10       9.507080638322e-18       1.886310285545e-10      -9.025092452249e-01       2.105248332695e-02       6.011210428535e-01       6.994098559615e-01      -1.203345659643e+00       2.104787754292e-02       1.970166344094e-04      -9.025092462484e-01       2.106205719413e-02 
       7.013759647071e-02       1.513466044310e-07      -1.203347031161e+00       2.105864062535e-02       3.775931752316e-10       9.439829380790e-10       9.520991821123e-18       1.887965876158e-10      -9.025102733709e-01       2.105864062535e-02       6.011209285830e-01       6.994096571600e-01      -1.203347030379e+00       2.105403079920e-02       1.971317280602e-04      -9.025102745908e-01       2.106822289372e-02 
       7.015810133528e-02       1.513908572016e-07      -1.203348402485e+00       2.106479792642e-02       3.779244871092e-10       9.448112177730e-10       9.534919285663e-18       1.889622435546e-10      -9.025113018638e-01       2.106479792642e-02       6.011208142080e-01       6.994094582849e-01      -1.203348401576e+00       2.106018405579e-02       1.972468553356e-04      -9.025113032803e-01       2.107438860090e-02 
       7.024004313163e-02       1.515677007140e-07      -1.203353883804e+00       2.108940377359e-02       3.792504140245e-10       9.481260350614e-10       9.590739190263e-18       1.896252070123e-10      -9.025154128533e-01       2.108940377359e-02       6.011203568340e-01       6.994086636536e-01      -1.203353882391e+00       2.108477371677e-02       1.977072640646e-04      -9.025154150571e-01       2.109902808969e-02 
       7.032198492798e-02       1.517445442851e-07      -1.203359361000e+00       2.111400944924e-02       3.805794358111e-10       9.514485895278e-10       9.646820153200e-18       1.902897179056e-10      -9.025195207501e-01       2.111400944924e-02       6.011199002844e-01       6.994078707252e-01      -1.203359359080e+00       2.110936316847e-02       1.981682097626e-04      -9.025195237439e-01       2.112366748548e-02 
       7.040392672433e-02       1.519213879149e-07      -1.203364829569e+00       2.113861486880e-02       3.819115545356e-10       9.547788863390e-10       9.703163049826e-18       1.909557772678e-10      -9.025236221765e-01       2.113861486880e-02       6.011194455377e-01       6.994070806258e-01      -1.203364827140e+00       2.113395232628e-02       1.986296924233e-04      -9.025236259630e-01       2.114830670380e-02 
       7.048586852067e-02       1.520982316035e-07      -1.203370289468e+00       2.116322003057e-02       3.832467737513e-10       9.581169343781e-10       9.759768795120e-18       1.916233868756e-10      -9.025277171009e-01       2.116322003057e-02       6.011189926085e-01       6.994062933657e-01      -1.203370286529e+00       2.115854118847e-02       1.990917120392e-04      -9.025277216830e-01       2.117294574305e-02 
       7.056781031702e-02       1.522750753508e-07      -1.203375745178e+00       2.118782501733e-02       3.845850985440e-10       9.614627463600e-10       9.816638345307e-18       1.922925492720e-10      -9.025318088835e-01       2.118782501733e-02       6.011185405330e-01       6.994055078249e-01      -1.203375741727e+00       2.118312983775e-02       1.995542686036e-04      -9.025318142640e-01       2.119758468608e-02 
       7.064975211337e-02       1.524519191569e-07      -1.203381205165e+00       2.121242998670e-02       3.859265353757e-10       9.648163384393e-10       9.873772694301e-18       1.929632676879e-10      -9.025359038737e-01       2.121242998670e-02       6.011180874850e-01       6.994047218870e-01      -1.203381201200e+00       2.120771843172e-02       2.000173621125e-04      -9.025359100553e-01       2.122222369063e-02 
       7.087980034745e-02       1.529484012067e-07      -1.203396532982e+00       2.128150688999e-02       3.897092197985e-10       9.742730494962e-10       1.003559800080e-17       1.948546098992e-10      -9.025473997361e-01       2.128150688999e-02       6.011168155411e-01       6.994025192087e-01      -1.203396527564e+00       2.127674915862e-02       2.013203478943e-04      -9.025474081818e-01       2.129139656870e-02 
       7.110984858153e-02       1.534448837195e-07      -1.203411811764e+00       2.135058209228e-02       3.935165122924e-10       9.837912807311e-10       1.019953747303e-17       1.967582561462e-10      -9.025588588227e-01       2.135058209228e-02       6.011155539478e-01       6.994003340860e-01      -1.203411804880e+00       2.134577788425e-02       2.026275656507e-04      -9.025588695546e-01       2.136056837036e-02 
