#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       8.821332521302e-01       1.906646772418e-06      -1.440352597943e+00       2.430842245517e-01       6.917146959701e-07       1.729286739925e-06       2.768089834769e-12       3.458573479850e-07      -1.080264448586e+00       2.430842254232e-01       5.865977418729e-01       6.772580090903e-01      -1.437755126858e+00       2.344201588273e-01       2.885699357657e-02      -1.084410987822e+00       2.617647413160e-01 
       8.971868239877e-01       1.939242706314e-06      -1.448247692114e+00       2.464771394304e-01       7.255551311288e-07       1.813887827822e-06       3.003636988098e-12       3.627775655644e-07      -1.086185769228e+00       2.464771403780e-01       5.861027618725e-01       6.765125255779e-01      -1.445471999185e+00       2.373802535983e-01       2.976960132780e-02      -1.090620700792e+00       2.661173289087e-01 
       9.122403958451e-01       1.971840622643e-06      -1.456257450356e+00       2.498326952281e-01       7.603648484712e-07       1.900912121178e-06       3.254455539079e-12       3.801824242356e-07      -1.092193087924e+00       2.498326962570e-01       5.855997458594e-01       6.757553077035e-01      -1.453294715880e+00       2.402897777507e-01       3.069228628310e-02      -1.096931095938e+00       2.704642041862e-01 
       9.272939677025e-01       2.004440521403e-06      -1.464381008366e+00       2.531503531285e-01       7.961478501356e-07       1.990369625339e-06       3.521216813125e-12       3.980739250678e-07      -1.098285756448e+00       2.531503542441e-01       5.850887018421e-01       6.749863827336e-01      -1.461222146266e+00       2.431480736641e-01       3.162479241025e-02      -1.103342004884e+00       2.748052865043e-01 
       9.423475395599e-01       2.037042402596e-06      -1.472617409782e+00       2.564295589403e-01       8.329074958452e-07       2.082268739613e-06       3.804605240058e-12       4.164537479226e-07      -1.104463057528e+00       2.564295601484e-01       5.845696552885e-01       6.742057982045e-01      -1.469253065270e+00       2.459544731919e-01       3.256686054147e-02      -1.109853197080e+00       2.791404763454e-01 
       9.574011114173e-01       2.069646266222e-06      -1.480965737340e+00       2.596697747853e-01       8.706465919920e-07       2.176616479980e-06       4.105318398891e-12       4.353232959960e-07      -1.110724303215e+00       2.596697760918e-01       5.840426205789e-01       6.734135891358e-01      -1.477386284678e+00       2.487083294050e-01       3.351822841155e-02      -1.116464478113e+00       2.834696869569e-01 
       9.724546832748e-01       2.102252112280e-06      -1.489425072122e+00       2.628704696588e-01       9.093673582987e-07       2.273418395747e-06       4.424066524453e-12       4.546836791493e-07      -1.117068804322e+00       2.628704710700e-01       5.835076098830e-01       6.726097882582e-01      -1.485620612486e+00       2.514090072077e-01       3.447863072929e-02      -1.123175659100e+00       2.877928348641e-01 
       9.888035513433e-01       2.137665799173e-06      -1.498736907668e+00       2.663011760449e-01       9.525337144815e-07       2.381334286204e-06       4.791512955860e-12       4.762668572407e-07      -1.124052681005e+00       2.663011775771e-01       5.829175539405e-01       6.717237438704e-01      -1.494676546416e+00       2.542810860972e-01       3.553159291463e-02      -1.130577212322e+00       2.924809943115e-01 
       1.005152419412e+00       2.173081824336e-06      -1.508177272004e+00       2.696839517981e-01       9.968610070139e-07       2.492152517535e-06       5.182024475843e-12       4.984305035069e-07      -1.131132954283e+00       2.696839534594e-01       5.823181417178e-01       6.708241330624e-01      -1.503848653955e+00       2.570888885462e-01       3.659454722561e-02      -1.138096050789e+00       2.971617741671e-01 
       1.021501287480e+00       2.208500187768e-06      -1.517744948518e+00       2.730181357008e-01       1.042349638367e-06       2.605874095917e-06       5.596557803690e-12       5.211748191834e-07      -1.138308711697e+00       2.730181374997e-01       5.817093872747e-01       6.699109969691e-01      -1.513135360933e+00       2.598316403127e-01       3.766714215055e-02      -1.145731929577e+00       3.018350716775e-01 
       1.037850155549e+00       2.243920889471e-06      -1.527438633625e+00       2.763030537308e-01       1.088999072340e-06       2.722497680851e-06       6.036084148250e-12       5.444995361701e-07      -1.145578975559e+00       2.763030556761e-01       5.810913201842e-01       6.689843948132e-01      -1.522535003819e+00       2.625085615495e-01       3.874902227705e-02      -1.153484547621e+00       3.065007660036e-01 
       1.054199023618e+00       2.279343929443e-06      -1.537257030281e+00       2.795380436607e-01       1.136807912855e-06       2.842019782138e-06       6.501588848257e-12       5.684039564276e-07      -1.152942773083e+00       2.795380457618e-01       5.804639651625e-01       6.680443805770e-01      -1.532045923396e+00       2.651188914761e-01       3.983982839205e-02      -1.161353617759e+00       3.111587427489e-01 
       1.070547891686e+00       2.314769307686e-06      -1.547198846405e+00       2.827224551475e-01       1.185773898362e-06       2.964434745906e-06       6.994070560583e-12       5.928869491811e-07      -1.160399135212e+00       2.827224574140e-01       5.798273424318e-01       6.670910034348e-01      -1.541666463346e+00       2.676618885394e-01       4.093919757454e-02      -1.169338865469e+00       3.158088939790e-01 
       1.086896759755e+00       2.350197024198e-06      -1.557262761821e+00       2.858556407508e-01       1.235893857444e-06       3.089734643609e-06       7.514540170621e-12       6.179469287218e-07      -1.167947071812e+00       2.858556431929e-01       5.791814749696e-01       6.661243160356e-01      -1.551394937342e+00       2.701368215008e-01       4.204676327041e-02      -1.177440003975e+00       3.204511091703e-01 
       1.105188062369e+00       2.389836734527e-06      -1.568665440084e+00       2.892995722662e-01       1.293331338501e-06       3.233328346253e-06       8.131280792005e-12       6.466656692506e-07      -1.176499080556e+00       2.892995749173e-01       5.784479465059e-01       6.650270693673e-01      -1.562405076766e+00       2.728242406568e-01       4.329517951391e-02      -1.186640640717e+00       3.256353253651e-01 
       1.123479364984e+00       2.429479371761e-06      -1.580217337692e+00       2.926776764148e-01       1.352201027022e-06       3.380502567555e-06       8.785781248959e-12       6.761005135111e-07      -1.185163003813e+00       2.926776792887e-01       5.777029184233e-01       6.639133156337e-01      -1.573545726243e+00       2.754245643678e-01       4.455286880232e-02      -1.195985531318e+00       3.308093025485e-01 
       1.141770667598e+00       2.469124935899e-06      -1.591916565008e+00       2.959890829055e-01       1.412494440229e-06       3.531236100573e-06       9.479503048988e-12       7.062472201146e-07      -1.193937424355e+00       2.959890860167e-01       5.769464170739e-01       6.627831232223e-01      -1.584814476393e+00       2.779368385885e-01       4.581930241270e-02      -1.205474281996e+00       3.359728972733e-01 
       1.160061970213e+00       2.508773426941e-06      -1.603761137279e+00       2.992329104766e-01       1.474201534833e-06       3.685503837083e-06       1.021391956724e-11       7.371007674166e-07      -1.202820853617e+00       2.992329138403e-01       5.761784845211e-01       6.616365789700e-01      -1.596208820828e+00       2.803601103384e-01       4.709394653441e-02      -1.215106440842e+00       3.411259460640e-01 
       1.178353272827e+00       2.548424844888e-06      -1.615749066328e+00       3.024082938844e-01       1.537310813764e-06       3.843277034410e-06       1.099051480322e-11       7.686554068819e-07      -1.211811800468e+00       3.024082975166e-01       5.753991585506e-01       6.604737652586e-01      -1.607726248135e+00       2.826934547909e-01       4.837626239742e-02      -1.224881566427e+00       3.462682922896e-01 
       1.196644575441e+00       2.588079189739e-06      -1.627878362817e+00       3.055143851739e-01       1.601809323455e-06       4.004523308637e-06       1.181078139255e-11       8.009046617273e-07      -1.220908772904e+00       3.055143890911e-01       5.746084722244e-01       6.592947595132e-01      -1.619364244432e+00       2.849359766418e-01       4.966570643624e-02      -1.234799229324e+00       3.513997873181e-01 
       1.214935878056e+00       2.627736461494e-06      -1.640147001526e+00       3.085503430997e-01       1.667682588898e-06       4.169206472245e-06       1.267621806600e-11       8.338412944489e-07      -1.230110252009e+00       3.085503473193e-01       5.738064615340e-01       6.580996429753e-01      -1.631120258953e+00       2.870867996226e-01       5.096173048017e-02      -1.244858985905e+00       3.565202798240e-01 
       1.233714384823e+00       2.668453082753e-06      -1.652885215933e+00       3.115933281898e-01       1.736723786689e-06       4.341809466722e-06       1.361327406414e-11       8.683618933443e-07      -1.239663912897e+00       3.115933327387e-01       5.729713498650e-01       6.568560239714e-01      -1.643309459139e+00       2.891986150370e-01       5.229854042092e-02      -1.255334029095e+00       3.617655511804e-01 
       1.252492891589e+00       2.709172788914e-06      -1.665765857994e+00       3.145606196325e-01       1.807178042037e-06       4.517945105094e-06       1.460114935725e-11       9.035890210187e-07      -1.249324394532e+00       3.145606245305e-01       5.721243879428e-01       6.555956091933e-01      -1.655617487369e+00       2.912119726389e-01       5.364110042789e-02      -1.265957846256e+00       3.669988944445e-01 
       1.271271398356e+00       2.749895579977e-06      -1.678786653279e+00       3.174513394983e-01       1.879024644599e-06       4.697561611498e-06       1.564147031191e-11       9.395123222996e-07      -1.259089991091e+00       3.174513447662e-01       5.712656171131e-01       6.543184906881e-01      -1.668041499252e+00       2.931259977152e-01       5.498880324090e-02      -1.276729935718e+00       3.722201465436e-01 
       1.290049905123e+00       2.790621455941e-06      -1.691945302175e+00       3.202646218796e-01       1.952241159403e-06       4.880602898508e-06       1.673585927799e-11       9.761205797015e-07      -1.268958977865e+00       3.202646275389e-01       5.703950790388e-01       6.530247613334e-01      -1.680578625474e+00       2.949398416349e-01       5.634103721784e-02      -1.287649790242e+00       3.774291454821e-01 
       1.308828411890e+00       2.831350416808e-06      -1.705239476980e+00       3.229996119119e-01       2.026803408138e-06       5.067008520346e-06       1.788593150144e-11       1.013401704069e-06      -1.278929609079e+00       3.229996179851e-01       5.695128164100e-01       6.517145156513e-01      -1.693225969240e+00       2.966526809512e-01       5.769718653944e-02      -1.298716894640e+00       3.826257292413e-01 
       1.327606918656e+00       2.872082462577e-06      -1.718666822359e+00       3.256554658935e-01       2.102685456919e-06       5.256713642298e-06       1.909329197189e-11       1.051342728460e-06      -1.289000118232e+00       3.256554724041e-01       5.686188729185e-01       6.503878497628e-01      -1.705980607088e+00       2.982637175948e-01       5.905663139979e-02      -1.309930725903e+00       3.878097357779e-01 
       1.346385425423e+00       2.912817593247e-06      -1.732224956997e+00       3.282313518377e-01       2.179859607485e-06       5.449649018713e-06       2.035953218687e-11       1.089929803743e-06      -1.299168719337e+00       3.282313588100e-01       5.677132929672e-01       6.490448610371e-01      -1.718839590896e+00       2.997721794963e-01       6.041874819349e-02      -1.321290754231e+00       3.929810034574e-01 
       1.366999643807e+00       2.957538379149e-06      -1.747256216110e+00       3.309659971726e-01       2.266030655816e-06       5.665076639540e-06       2.181922152525e-11       1.133015327908e-06      -1.310442163820e+00       3.309660046808e-01       5.667058412044e-01       6.475519086669e-01      -1.733072234018e+00       3.013091127705e-01       6.191635076137e-02      -1.333928992618e+00       3.986429362304e-01 
       1.387613862190e+00       3.002262882568e-06      -1.762438971213e+00       3.336022213809e-01       2.353681770509e-06       5.884204426272e-06       2.335381687191e-11       1.176840885254e-06      -1.321829230308e+00       3.336022294568e-01       5.656844803815e-01       6.460395356162e-01      -1.747423081441e+00       3.027205903277e-01       6.341558287648e-02      -1.346742047325e+00       4.042891130999e-01 
       1.408228080574e+00       3.046991103504e-06      -1.777769966568e+00       3.361389734667e-01       2.442768876957e-06       6.106922192391e-06       2.496533758588e-11       1.221384438478e-06      -1.333327476997e+00       3.361389821434e-01       5.646492722741e-01       6.445078759088e-01      -1.761888136228e+00       3.040057004184e-01       6.491560549751e-02      -1.359729189299e+00       4.099193217884e-01 
       1.428842298958e+00       3.091723041957e-06      -1.793245917490e+00       3.385752225860e-01       2.533245296780e-06       6.333113241951e-06       2.665576205506e-11       1.266622648390e-06      -1.344934440374e+00       3.385752318979e-01       5.636002782130e-01       6.429570636515e-01      -1.776463376615e+00       3.051635725271e-01       6.641557528002e-02      -1.372889684895e+00       4.155333530515e-01 
       1.449456517341e+00       3.136458697928e-06      -1.808863506466e+00       3.409099566705e-01       2.625061725348e-06       6.562654313369e-06       2.842702152306e-11       1.312530862674e-06      -1.356647632304e+00       3.409099666534e-01       5.625375600599e-01       6.413872341365e-01      -1.791144752704e+00       3.061933760616e-01       6.791464490321e-02      -1.386222792603e+00       4.211309991263e-01 
       1.470070735725e+00       3.181198071416e-06      -1.824619382217e+00       3.431421820483e-01       2.718166216294e-06       6.795415540734e-06       3.028099377807e-11       1.359083108147e-06      -1.368464539331e+00       3.431421927395e-01       5.614611805386e-01       6.397985242067e-01      -1.805928186114e+00       3.070943200296e-01       6.941196339810e-02      -1.399727761988e+00       4.267120531785e-01 
       1.490684954109e+00       3.225941162421e-06      -1.840510160090e+00       3.452709235374e-01       2.812504170256e-06       7.031260425640e-06       3.221949668506e-11       1.406252085128e-06      -1.380382622964e+00       3.452709349753e-01       5.603712032738e-01       6.381910722862e-01      -1.820809570951e+00       3.078656531782e-01       7.090667647309e-02      -1.413403833625e+00       4.322763092262e-01 
       1.511941686278e+00       3.272082720544e-06      -1.857033886252e+00       3.473566298165e-01       2.911013607632e-06       7.277534019080e-06       3.430879595078e-11       1.455506803816e-06      -1.392775417837e+00       3.473566420665e-01       5.592330815904e-01       6.365140396897e-01      -1.836252990365e+00       3.085245412829e-01       7.244434184343e-02      -1.427684538307e+00       4.379961855291e-01 
       1.533198418447e+00       3.318228231533e-06      -1.873693639307e+00       3.493302564632e-01       3.010707938462e-06       7.526769846154e-06       3.649167751656e-11       1.505353969231e-06      -1.405270232898e+00       3.493302695695e-01       5.580806414010e-01       6.348173823301e-01      -1.851791610782e+00       3.090441222281e-01       7.397738232297e-02      -1.442145509022e+00       4.436977587533e-01 
       1.554455150617e+00       3.364377695391e-06      -1.890485602389e+00       3.511907978245e-01       3.111518380691e-06       7.778795951727e-06       3.876988864599e-11       1.555759190345e-06      -1.417864205498e+00       3.511908118330e-01       5.569139550714e-01       6.331012566971e-01      -1.867420848081e+00       3.094237070767e-01       7.550485233194e-02      -1.456785884868e+00       4.493808066010e-01 
       1.575711882786e+00       3.410531112115e-06      -1.907405924012e+00       3.529372700646e-01       3.213373118057e-06       8.033432795142e-06       4.114507707207e-11       1.606686559028e-06      -1.430554447022e+00       3.529372850230e-01       5.557330958884e-01       6.313658208899e-01      -1.883136092831e+00       3.096626528323e-01       7.702580404272e-02      -1.471604795406e+00       4.550451079055e-01 
       1.596968614955e+00       3.456688481708e-06      -1.924450718706e+00       3.545687113206e-01       3.316197293924e-06       8.290493234810e-06       4.361878239050e-11       1.658098646962e-06      -1.443338043371e+00       3.545687272782e-01       5.545381380699e-01       6.296112346102e-01      -1.898932711624e+00       3.097603625916e-01       7.853928776457e-02      -1.486601360703e+00       4.606904426080e-01 
       1.618225347124e+00       3.502849804167e-06      -1.941616067719e+00       3.560841818747e-01       3.419913006590e-06       8.549782516476e-06       4.619242724313e-11       1.709956503295e-06      -1.456212055482e+00       3.560841988826e-01       5.533291567639e-01       6.278376591429e-01      -1.914806048455e+00       3.097162857002e-01       8.004435232917e-02      -1.501774691408e+00       4.663165917531e-01 
       1.639482079294e+00       3.549015079494e-06      -1.958898020199e+00       3.574827645246e-01       3.524439307906e-06       8.811098269765e-06       4.886730832031e-11       1.762219653953e-06      -1.469173520215e+00       3.574827826356e-01       5.521062279431e-01       6.260452572189e-01      -1.930751426585e+00       3.095299180958e-01       8.154004547827e-02      -1.517123889189e+00       4.719233376883e-01 
       1.662819689513e+00       3.599704148655e-06      -1.978001305784e+00       3.588825874689e-01       3.640031529057e-06       9.100078822642e-06       5.192200506119e-11       1.820015764528e-06      -1.483500984841e+00       3.588826068541e-01       5.507476102726e-01       6.240559041266e-01      -1.948335129317e+00       3.091609017333e-01       8.317023033319e-02      -1.534177122498e+00       4.780563444174e-01 
       1.686157299732e+00       3.650397982476e-06      -1.997235033944e+00       3.601392902610e-01       3.756384138631e-06       9.390960346577e-06       5.510146200749e-11       1.878192069315e-06      -1.497926281429e+00       3.601393109887e-01       5.493723748241e-01       6.220442739509e-01      -1.965993773681e+00       3.086192847665e-01       8.478670902295e-02      -1.551440038079e+00       4.841654204972e-01 
       1.709494909952e+00       3.701096580959e-06      -2.016593850770e+00       3.612517553196e-01       3.873377332424e-06       9.683443331060e-06       5.840678965582e-11       1.936688666212e-06      -1.512445394548e+00       3.612517774607e-01       5.479806251288e-01       6.200105874441e-01      -1.983721098400e+00       3.079045961954e-01       8.638822022322e-02      -1.568911411915e+00       4.902502843335e-01 
       1.732832520171e+00       3.751799944102e-06      -2.036072359995e+00       3.622188987840e-01       3.990886883953e-06       9.977217209883e-06       6.183885736961e-11       1.995443441977e-06      -1.527054277001e+00       3.622189224118e-01       5.465724659346e-01       6.179550673792e-01      -2.001510820496e+00       3.070164333633e-01       8.797350340290e-02      -1.586590007360e+00       4.963106562464e-01 
       1.756170130390e+00       3.802508071907e-06      -2.055665124477e+00       3.630396708935e-01       4.108784152416e-06       1.027196038104e-05       6.539827736539e-11       2.054392076208e-06      -1.541748850932e+00       3.630396960840e-01       5.451480031368e-01       6.158779384481e-01      -2.019356637854e+00       3.059544621930e-01       8.954129945002e-02      -1.604474575506e+00       5.023462586088e-01 
       1.779507740609e+00       3.853220964373e-06      -2.075366668162e+00       3.637130565913e-01       4.226936095979e-06       1.056734023995e-05       6.908538842451e-11       2.113468047990e-06      -1.556525009302e+00       3.637130834230e-01       5.437073436056e-01       6.137794270410e-01      -2.037252232245e+00       3.047184176263e-01       9.109035129757e-02      -1.622563855902e+00       5.083568162159e-01 
       1.802845350829e+00       3.903938621500e-06      -2.095171478826e+00       3.642380765195e-01       4.345205292900e-06       1.086301323225e-05       7.290023938913e-11       2.172602646450e-06      -1.571378617946e+00       3.642381050736e-01       5.422505948385e-01       6.116597608331e-01      -2.055191273146e+00       3.033081044342e-01       9.261940454880e-02      -1.640856577862e+00       5.143420570541e-01 
       1.826734541332e+00       3.955859916381e-06      -2.115545534966e+00       3.646208517520e-01       4.466243147224e-06       1.116560786806e-05       7.693728624267e-11       2.233121573612e-06      -1.586659160756e+00       3.646208821560e-01       5.407428656426e-01       6.094683259103e-01      -2.073592676400e+00       3.016838310525e-01       9.416257753230e-02      -1.659791016063e+00       5.204422543051e-01 
       1.850623731836e+00       4.007786203809e-06      -2.136015984520e+00       3.648461976795e-01       4.587098401071e-06       1.146774600268e-05       8.110728072249e-11       2.293549200535e-06      -1.602011998670e+00       3.648462300242e-01       5.392185106424e-01       6.072552145238e-01      -2.092026137517e+00       2.998767579481e-01       9.568214681662e-02      -1.678935889298e+00       5.265153510536e-01 
       1.874512922340e+00       4.059717483784e-06      -2.156576791819e+00       3.649131750673e-01       4.707609421009e-06       1.176902355252e-05       8.540921690584e-11       2.353804710505e-06      -1.617432604942e+00       3.649132094464e-01       5.376776501619e-01       6.050206782070e-01      -2.110484827769e+00       2.978868966135e-01       9.717677969880e-02      -1.698289792121e+00       5.325610595076e-01 
       1.898402112844e+00       4.111653756304e-06      -2.177221883607e+00       3.648208831792e-01       4.827609820523e-06       1.206902455131e-05       8.984169264679e-11       2.413804910262e-06      -1.632916424629e+00       3.648209196894e-01       5.361204059256e-01       6.027649705633e-01      -2.128961911702e+00       2.957143334592e-01       9.864514913936e-02      -1.717851306019e+00       5.385790937556e-01 
       1.922291303348e+00       4.163595021372e-06      -2.197945154031e+00       3.645684618058e-01       4.946928510442e-06       1.236732127610e-05       9.440288961804e-11       2.473464255221e-06      -1.648458878346e+00       3.645685005467e-01       5.345469002497e-01       6.004883463314e-01      -2.147450553286e+00       2.933592315175e-01       1.000859344559e-01      -1.737619002279e+00       5.445691715811e-01 
       1.946180493852e+00       4.215541278986e-06      -2.218740472372e+00       3.641550947989e-01       5.065389776908e-06       1.266347444227e-05       9.909055360407e-11       2.532694888454e-06      -1.664055368055e+00       3.641551358733e-01       5.329572546315e-01       5.981910597903e-01      -2.165943924785e+00       2.908218336290e-01       1.014978220295e-01      -1.757591446905e+00       5.505310177926e-01 
       1.970069684356e+00       4.267492529146e-06      -2.239601679089e+00       3.635800077245e-01       5.182813285371e-06       1.295703321343e-05       1.039019731102e-10       2.591406642685e-06      -1.679701274102e+00       3.635800512382e-01       5.313515909517e-01       5.958733660914e-01      -2.184435203938e+00       2.881024597243e-01       1.028795060125e-01      -1.777767196761e+00       5.564643616809e-01 
       1.996126287359e+00       4.324162891871e-06      -2.262423396876e+00       3.627674709937e-01       5.309489479074e-06       1.327372369768e-05       1.092872626585e-10       2.654744739537e-06      -1.696817563613e+00       3.627675172924e-01       5.295821370512e-01       5.933224348524e-01      -2.204593727925e+00       2.849293214143e-01       1.043505848809e-01      -1.800003523194e+00       5.629031938287e-01 
       2.022182890362e+00       4.380839194165e-06      -2.285308017758e+00       3.617607425872e-01       5.434464395174e-06       1.358616098794e-05       1.148111492768e-10       2.717232197587e-06      -1.713981030518e+00       3.617607918045e-01       5.277939444090e-01       5.907478778448e-01      -2.224732769222e+00       2.815407497303e-01       1.057825163580e-01      -1.822478051102e+00       5.693074298507e-01 
       2.048239493364e+00       4.437521436026e-06      -2.308247412513e+00       3.605589720084e-01       5.557485272730e-06       1.389371318182e-05       1.204680667925e-10       2.778742636365e-06      -1.731185577907e+00       3.605590242821e-01       5.259871795966e-01       5.881500369685e-01      -2.244843487597e+00       2.779374547410e-01       1.071736431336e-01      -1.845188848725e+00       5.756767198511e-01 
       2.074296096367e+00       4.494209617455e-06      -2.331233417113e+00       3.591613673929e-01       5.678293018172e-06       1.419573254543e-05       1.262516730343e-10       2.839146509086e-06      -1.748425082760e+00       3.591614228649e-01       5.241620102295e-01       5.855292556964e-01      -2.264917063053e+00       2.741202526678e-01       1.085223228517e-01      -1.868133970543e+00       5.820107188417e-01 
       2.100352699370e+00       4.550903738451e-06      -2.354257839691e+00       3.575671984385e-01       5.796622324300e-06       1.449155581075e-05       1.321548166008e-10       2.898311162150e-06      -1.765693401182e+00       3.575672572548e-01       5.223186039056e-01       5.828858778579e-01      -2.284944704440e+00       2.700900680588e-01       1.098269291574e-01      -1.891311461098e+00       5.883090894406e-01 
       2.126409302373e+00       4.607603799016e-06      -2.377312454914e+00       3.557757924223e-01       5.912201685954e-06       1.478050421489e-05       1.381695009324e-10       2.956100842977e-06      -1.782984364177e+00       3.557758547334e-01       5.204571299686e-01       5.802202495587e-01      -2.304917645434e+00       2.658479290121e-01       1.110858527226e-01      -1.914719349364e+00       5.945714976723e-01 
       2.152465905376e+00       4.664309799148e-06      -2.400388986905e+00       3.537865234107e-01       6.024753294591e-06       1.506188323648e-05       1.442868448615e-10       3.012376647296e-06      -1.800291764841e+00       3.537865893709e-01       5.185777638299e-01       5.775327239071e-01      -2.324827129047e+00       2.613949555554e-01       1.122975022176e-01      -1.938355634530e+00       6.007976019751e-01 
       2.179116465261e+00       4.722314549388e-06      -2.424005569133e+00       3.515466421102e-01       6.136442609080e-06       1.534110652270e-05       1.506396135386e-10       3.068221304540e-06      -1.818004203322e+00       3.515467119672e-01       5.166372319163e-01       5.747616528585e-01      -2.345115717901e+00       2.566236579234e-01       1.134862295662e-01      -1.962764876358e+00       6.071277266827e-01 
       2.205767025146e+00       4.780325513066e-06      -2.447627509061e+00       3.490986536457e-01       6.244357757086e-06       1.561089439272e-05       1.570780173371e-10       3.122178878543e-06      -1.835720660183e+00       3.490987275700e-01       5.146783520028e-01       5.719684203659e-01      -2.365319534076e+00       2.516345189639e-01       1.146221975536e-01      -1.987408789344e+00       6.134191795130e-01 
       2.232417585031e+00       4.838342690182e-06      -2.471245898503e+00       3.464420956383e-01       6.348182529556e-06       1.587045632389e-05       1.635894712951e-10       3.174091264778e-06      -1.853434454291e+00       3.464421738053e-01       5.127013098286e-01       5.691534026320e-01      -2.385429359048e+00       2.464290851107e-01       1.157037684694e-01      -2.012285209714e+00       6.196716246630e-01 
       2.259068144916e+00       4.896366080734e-06      -2.494851772452e+00       3.435765502979e-01       6.447594085481e-06       1.611898521370e-05       1.701602607059e-10       3.223797042740e-06      -1.871138861894e+00       3.435766328873e-01       5.107063003827e-01       5.663169861846e-01      -2.405435989659e+00       2.410089927095e-01       1.167293286758e-01      -2.037391933650e+00       6.258847106849e-01 
       2.285718704801e+00       4.954395684724e-06      -2.518436153356e+00       3.405016688093e-01       6.542263492112e-06       1.635565873028e-05       1.767755111063e-10       3.271131746056e-06      -1.888827149835e+00       3.405017560058e-01       5.086935184337e-01       5.634595572993e-01      -2.425330283990e+00       2.353759912755e-01       1.176972896094e-01      -2.062726748888e+00       6.320580947327e-01 
       2.312369264686e+00       5.012431502152e-06      -2.541990081158e+00       3.372171885492e-01       6.631856193947e-06       1.657964048487e-05       1.834191575999e-10       3.315928096973e-06      -1.906492598073e+00       3.372172805418e-01       5.066631523106e-01       5.605814951171e-01      -2.445103192941e+00       2.295319595423e-01       1.186060888754e-01      -2.088287455639e+00       6.381914596541e-01 
       2.339019824571e+00       5.070473533017e-06      -2.565504547245e+00       3.337228917505e-01       6.716031356152e-06       1.679007839038e-05       1.900738834383e-10       3.358015678076e-06      -1.924128450156e+00       3.337229887329e-01       5.046153994548e-01       5.576831887763e-01      -2.464745695699e+00       2.234788629207e-01       1.194541913209e-01      -2.114071815435e+00       6.442844725487e-01 
       2.367929286992e+00       5.133442234504e-06      -2.590956982309e+00       3.296949903302e-01       6.800812168176e-06       1.700203042044e-05       1.972835306317e-10       3.400406084088e-06      -1.943217779338e+00       3.296950929498e-01       5.023746525337e-01       5.545167875185e-01      -2.485895224627e+00       2.166787141017e-01       1.203037957471e-01      -2.142291925535e+00       6.508479146344e-01 
       2.396838749413e+00       5.196418247370e-06      -2.616340854946e+00       3.254199192014e-01       6.878360444537e-06       1.719590111134e-05       2.044588064202e-10       3.439180222269e-06      -1.962255686867e+00       3.254200276974e-01       5.001139330384e-01       5.513275211845e-01      -2.506869446049e+00       2.096377881319e-01       1.210783206748e-01      -2.170769679692e+00       6.573630834100e-01 
       2.425748211834e+00       5.259401571615e-06      -2.641644649956e+00       3.208976745071e-01       6.948218991723e-06       1.737054747931e-05       2.115723228361e-10       3.474109495861e-06      -1.981233536349e+00       3.208977891248e-01       4.978334937958e-01       5.481158866074e-01      -2.527657147732e+00       2.023590242930e-01       1.217759235296e-01      -2.199502186069e+00       6.638295855221e-01 
       2.454657674255e+00       5.322392207238e-06      -2.666856814080e+00       3.161283221579e-01       7.009922824695e-06       1.752480706174e-05       2.185947254005e-10       3.504961412348e-06      -2.000142662847e+00       3.161284431483e-01       4.955335969765e-01       5.448823904650e-01      -2.548247193807e+00       1.948454820278e-01       1.223948051682e-01      -2.228486511802e+00       6.702470131220e-01 
       2.483567136676e+00       5.385390154241e-06      -2.691965806319e+00       3.111120273675e-01       7.063000015996e-06       1.765750003999e-05       2.254946507477e-10       3.531500007998e-06      -2.018974410619e+00       3.111121549874e-01       4.932145034754e-01       5.416275375073e-01      -2.568628576989e+00       1.871003683846e-01       1.229332112539e-01      -2.257719718312e+00       6.766149733789e-01 
       2.512476599097e+00       5.448395412622e-06      -2.716960119586e+00       3.058490669480e-01       7.106972245474e-06       1.776743061368e-05       2.322386772364e-10       3.553486122737e-06      -2.037720149358e+00       3.058492014602e-01       4.908764688595e-01       5.383518260895e-01      -2.588790442054e+00       1.791270481667e-01       1.233894337119e-01      -2.287198875100e+00       6.829331007818e-01 
       2.541386061518e+00       5.511407982382e-06      -2.741828210584e+00       3.003397804467e-01       7.141353945019e-06       1.785338486255e-05       2.387912301402e-10       3.570676972509e-06      -2.056371221598e+00       3.003399221195e-01       4.885197602633e-01       5.350557665910e-01      -2.608722017451e+00       1.709289928703e-01       1.237618121060e-01      -2.316921004724e+00       6.892010083113e-01 
       2.572876335652e+00       5.580054143315e-06      -2.768759198521e+00       2.940588866830e-01       7.167315495017e-06       1.791828873754e-05       2.456665576185e-10       3.583657747509e-06      -2.076569467140e+00       2.940590364678e-01       4.859317273346e-01       5.314429040163e-01      -2.630158428450e+00       1.617475860043e-01       1.240701409643e-01      -2.349569471833e+00       6.959708804700e-01 
