# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.177906853285e-10       6.407489806362e-15       5.328144301482e-13       2.567182041787e-19       1.022869242624e-08       1.878598553625e-10      -2.420835999787e-12 
    3       1.158546837867e-10       1.136707566672e-14       6.406108154744e-13       5.136792887355e-19       6.303456861749e-09       1.506343771335e-10      -2.153691556624e-12 
    4       1.126393959401e-10       1.413856842766e-14       6.561397635220e-13       8.566638381547e-19       4.382826383795e-09       1.218774345216e-10      -1.769375650148e-12 
    5       1.097637490435e-10       1.407374464593e-14       6.170313193594e-13       1.285973598578e-18       3.264664544821e-09       1.005584917954e-10      -1.372993730876e-12 
    6       1.075966613893e-10       1.180524623842e-14       5.489352540753e-13       1.801967430754e-18       2.544859102108e-09       8.440766738069e-11      -1.000925062116e-12 
    7       1.061167618398e-10       8.564563847910e-15       4.701298310635e-13       2.405050119703e-18       2.050254370920e-09       7.179306164120e-11      -6.738931586554e-13 
    8       1.052541832014e-10       5.486892631987e-15       3.917583976963e-13       3.095659918419e-18       1.692689598904e-09       6.179527202890e-11      -4.026198014770e-13 
    9       1.049784793637e-10       3.238526549711e-15       3.203665600924e-13       3.874255291974e-18       1.423719492578e-09       5.379871599283e-11      -1.912941819855e-13 
   10       1.051050463692e-10       1.961948948812e-15       2.598675807501e-13       4.741301356439e-18       1.215758396077e-09       4.728233982102e-11      -3.904277452791e-14 
   11       1.055758054609e-10       1.436673945461e-15       2.123108262084e-13       5.697256515986e-18       1.009958841189e-09       4.218709728494e-11       5.807621938075e-14 
   12       1.063534281826e-10       1.311406140352e-15       1.781277801780e-13       6.742559790879e-18       8.811604628207e-10       3.748782288658e-11       1.100260589634e-13 
   13       1.073195365449e-10       1.291138897176e-15       1.566207372847e-13       7.877619299408e-18       7.756209181139e-10       3.354787571473e-11       1.254565144613e-13 
   14       1.084813014681e-10       1.223777677768e-15       1.462583219868e-13       9.102802309231e-18       6.879720782585e-10       3.041073333515e-11       1.147849639812e-13 
   15       1.098036633333e-10       1.091516955792e-15       1.447764051354e-13       1.041842721003e-17       6.143198376701e-10       2.754996672118e-11       8.710002709985e-14 
   16       1.112028767120e-10       9.491954436792e-16       1.496258087516e-13       1.182475768234e-17       5.517892880273e-10       2.512839721161e-11       5.159289520801e-14 
   17       1.126992593429e-10       8.576389970302e-16       1.583715464164e-13       1.332199924996e-17       4.982227423162e-10       2.305200990448e-11       1.522750263140e-14 
   18       1.142655266640e-10       8.444315928381e-16       1.688148520077e-13       1.491029716308e-17       4.517849359373e-10       2.127329807662e-11      -1.672805313437e-14 
   19       1.159173124782e-10       8.943926033779e-16       1.795885340761e-13       1.658974362695e-17       4.117351902249e-10       1.973916569948e-11      -4.137276317794e-14 
   20       1.176372889292e-10       9.728076315942e-16       1.893889322643e-13       1.836036911077e-17       3.764978017513e-10       1.833323327240e-11      -5.693069391954e-14 
   21       1.194128227736e-10       1.054267119173e-15       1.977196718241e-13       2.022216537104e-17       3.455079362255e-10       1.704622273617e-11      -6.340612782525e-14 
   22       1.212077373043e-10       1.117924977353e-15       2.044197596227e-13       2.217507525417e-17       3.180178472714e-10       1.588480124167e-11      -6.205936251895e-14 
   23       1.230443545944e-10       1.172434257884e-15       2.096925431734e-13       2.421902118663e-17       2.936424974689e-10       1.484221075076e-11      -5.469872341243e-14 
   24       1.249390052468e-10       1.238476005815e-15       2.139477168149e-13       2.635389491108e-17       2.718099441680e-10       1.389319170357e-11      -4.378409087711e-14 
   25       1.268717086565e-10       1.333308347211e-15       2.176190002063e-13       2.857959208494e-17       2.522589182767e-10       1.301775203466e-11      -3.140379254507e-14 
   26       1.288020394484e-10       1.471621730403e-15       2.211940896454e-13       3.089599948397e-17       2.346316522487e-10       1.219537613858e-11      -1.969901918634e-14 
   27       1.307478938988e-10       1.652147979023e-15       2.250533696402e-13       3.330302625613e-17       2.187137903066e-10       1.144719278886e-11      -1.001711742105e-14 
   28       1.327337449115e-10       1.867740254311e-15       2.295082523878e-13       3.580059604497e-17       2.042278545694e-10       1.079787162908e-11      -3.378558852707e-15 
   29       1.347631489858e-10       2.114559221907e-15       2.345681338145e-13       3.838868684060e-17       1.910979257235e-10       1.023358504423e-11       1.863746301251e-17 
   30       1.368187752538e-10       2.388505721655e-15       2.400975926416e-13       4.106730726964e-17       1.791808369785e-10       9.717159765442e-12       3.579367367318e-16 
   31       1.388738924309e-10       2.685115690872e-15       2.458757527840e-13       4.383649786850e-17       1.682308638845e-10       9.208424783011e-12      -1.944800116547e-15 
   32       1.409355637928e-10       3.004573233233e-15       2.515846792664e-13       4.669636591106e-17       1.581905161614e-10       8.715482077453e-12      -6.144454742961e-15 
   33       1.430152925739e-10       3.348540772872e-15       2.568022408428e-13       4.964707158663e-17       1.489881700053e-10       8.262148838017e-12      -1.118850124852e-14 
   34       1.451182881723e-10       3.718141141352e-15       2.610639527257e-13       5.268882279964e-17       1.404941814321e-10       7.867931021280e-12      -1.592042144368e-14 
   35       1.472487054564e-10       4.111398372636e-15       2.640970897189e-13       5.582187113228e-17       1.326644020687e-10       7.524256634120e-12      -1.978083290557e-14 
   36       1.494046215715e-10       4.524833170758e-15       2.656626046512e-13       5.904652257460e-17       1.254352126716e-10       7.209178536121e-12      -2.233766121694e-14 
   37       1.515796666377e-10       4.955436122363e-15       2.655413027204e-13       6.236312420500e-17       1.187115994903e-10       6.899789437011e-12      -2.321982803738e-14 
   38       1.537764736473e-10       5.405327255278e-15       2.637040586418e-13       6.577199865413e-17       1.124758401671e-10       6.595437909405e-12      -2.253430873812e-14 
   39       1.559965045763e-10       5.878664543841e-15       2.601994951848e-13       6.927349416137e-17       1.067078984519e-10       6.301789042389e-12      -2.059285951321e-14 
   40       1.582357183609e-10       6.380469152085e-15       2.551115299516e-13       7.286800604665e-17       1.013523809562e-10       6.024567722406e-12      -1.780945453687e-14 
   41       1.604877302637e-10       6.915622863813e-15       2.485531540606e-13       7.655594273378e-17       9.633777468915e-11       5.768414847462e-12      -1.465083399363e-14 
   42       1.627559009639e-10       7.485331849938e-15       2.406394554061e-13       8.033760316066e-17       9.164910186365e-11       5.533086515633e-12      -1.145168948924e-14 
   43       1.650442208066e-10       8.089606961461e-15       2.315099284866e-13       8.421326461320e-17       8.727372815132e-11       5.315962681309e-12      -8.551286351701e-15 
   44       1.673536091622e-10       8.728207573911e-15       2.213381978544e-13       8.818321682301e-17       8.317956391739e-11       5.112944553869e-12      -6.348000145765e-15 
   45       1.696830751653e-10       9.400769571664e-15       2.102780556397e-13       9.224772233278e-17       7.932648929302e-11       4.919652168465e-12      -5.193129702638e-15 
   46       1.720343574604e-10       1.010727352208e-14       1.982780132914e-13       9.640688229259e-17       7.570835017529e-11       4.735701158082e-12      -5.026965571374e-15 
   47       1.744081347063e-10       1.084768860796e-14       1.852144285956e-13       1.006607313864e-16       7.232088430510e-11       4.561518966974e-12      -5.639344616402e-15 
   48       1.768024450643e-10       1.162183256230e-14       1.709411462318e-13       1.050092727122e-16       6.914905825420e-11       4.397116192707e-12      -6.766550551359e-15 
   49       1.792124556207e-10       1.242936360467e-14       1.552881188250e-13       1.094524759674e-16       6.616626663419e-11       4.242052729036e-12      -8.088203656224e-15 
   50       1.816328954511e-10       1.326994824406e-14       1.380878042280e-13       1.139902595663e-16       6.334233411951e-11       4.095608448434e-12      -9.286137013866e-15 
   51       1.840666683364e-10       1.414383709228e-14       1.192660036575e-13       1.186224354817e-16       6.067193999864e-11       3.957428416605e-12      -1.024708147164e-14 
   52       1.865181793036e-10       1.505143141006e-14       9.877329694697e-14       1.233487462942e-16       5.815252492975e-11       3.826994290037e-12      -1.090962090686e-14 
   53       1.889907725775e-10       1.599312110821e-14       7.655935122801e-14       1.281688774413e-16       5.577578509865e-11       3.703411426526e-12      -1.120682550810e-14 
   54       1.914866263509e-10       1.696928496012e-14       5.257284909895e-14       1.330824546465e-16       5.352728567788e-11       3.585384653442e-12      -1.106605850499e-14 
   55       1.940069769192e-10       1.798022369747e-14       2.677897256383e-14       1.380890785969e-16       5.139085796632e-11       3.471603587612e-12      -1.044102370086e-14 
   56       1.965530973595e-10       1.902593934816e-14      -7.828943553222e-16       1.431884449544e-16       4.936395550585e-11       3.362066200727e-12      -9.417673753490e-15 
   57       1.991253776581e-10       2.010630145321e-14      -3.004265948123e-14       1.483802496545e-16       4.744543569704e-11       3.257041612219e-12      -8.134273257009e-15 
   58       2.017229262608e-10       2.122110703024e-14      -6.091522350795e-14       1.536641531747e-16       4.563091454023e-11       3.156681250215e-12      -6.752502783000e-15 
   59       2.043434776752e-10       2.237007817098e-14      -9.329986784108e-14       1.590397794151e-16       4.391256647175e-11       3.061010576364e-12      -5.458521745477e-15 
   60       2.069833000734e-10       2.355285963866e-14      -1.270796424380e-13       1.645067145783e-16       4.227892420030e-11       2.969920810664e-12      -4.464031265871e-15 
   61       2.096387366686e-10       2.476908463714e-14      -1.621507920392e-13       1.700645787538e-16       4.071806134348e-11       2.883220952905e-12      -3.953509983352e-15 
   62       2.123114431690e-10       2.601859480454e-14      -1.985201381050e-13       1.757132619788e-16       3.922842795674e-11       2.800826212855e-12      -3.909677184104e-15 
   63       2.150041673158e-10       2.730126556086e-14      -2.362285684886e-13       1.814527394183e-16       3.781010302983e-11       2.722597383296e-12      -4.250560778520e-15 
   64       2.177191790913e-10       2.861694205891e-14      -2.753232620563e-13       1.872830045002e-16       3.646153531286e-11       2.648278039613e-12      -4.879235080768e-15 
   65       2.204582301593e-10       2.996543894479e-14      -3.158580296230e-13       1.932040701027e-16       3.517945048626e-11       2.577488177786e-12      -5.683175782038e-15 
   66       2.232225133069e-10       3.134654011835e-14      -3.578936548884e-13       1.992159697417e-16       3.395875833076e-11       2.509717852385e-12      -6.533614923782e-15 
   67       2.260126218848e-10       3.275999849368e-14      -4.014982353717e-13       2.053187587576e-16       3.279245989746e-11       2.444320814558e-12      -7.284895870967e-15 
   68       2.288288947259e-10       3.420548962888e-14      -4.467308970190e-13       2.115125292462e-16       3.167351689691e-11       2.380681849157e-12      -7.807856805611e-15 
   69       2.316726227187e-10       3.568246224016e-14      -4.935883440733e-13       2.177974557090e-16       3.060110722534e-11       2.318772380494e-12      -8.099277971602e-15 
   70       2.345450149788e-10       3.719025682852e-14      -5.420480415111e-13       2.241737608283e-16       2.957547603279e-11       2.258696535219e-12      -8.193554463271e-15 
   71       2.374468048533e-10       3.872814773652e-14      -5.920838003225e-13       2.306417040529e-16       2.859604377395e-11       2.200525519084e-12      -8.130851135906e-15 
   72       2.403782192209e-10       4.029534172889e-14      -6.436656932221e-13       2.372015831370e-16       2.766136356287e-11       2.144295697371e-12      -7.957327873642e-15 
   73       2.433389477908e-10       4.189097657325e-14      -6.967599703580e-13       2.438537356788e-16       2.676907852752e-11       2.090006675318e-12      -7.725364857333e-15 
   74       2.463281124033e-10       4.351411962075e-14      -7.513289750218e-13       2.505985406592e-16       2.591587916442e-11       2.037619378541e-12      -7.493787832438e-15 
