# Matter power spectrum P(k) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.812692660982e-02       2.519108339325e+04 
       1.828975468998e-02       2.503817201990e+04 
       1.845262515801e-02       2.488187441812e+04 
       1.861553848227e-02       2.472258404396e+04 
       1.877849515347e-02       2.456048315508e+04 
       1.894149568463e-02       2.439554321300e+04 
       1.910454061111e-02       2.422775634035e+04 
       1.926763049063e-02       2.405733840252e+04 
       1.943076590335e-02       2.388417788655e+04 
       1.959394745191e-02       2.370861110950e+04 
       1.975717576160e-02       2.353056786654e+04 
       1.992045148042e-02       2.335014189594e+04 
       2.008377527925e-02       2.316738745173e+04 
       2.024714785200e-02       2.298237839164e+04 
       2.041056991582e-02       2.279519735849e+04 
       2.057404221128e-02       2.260600764005e+04 
       2.073756550259e-02       2.241469071808e+04 
       2.090114057784e-02       2.222141800396e+04 
       2.106476824926e-02       2.202625323733e+04 
       2.122844935352e-02       2.182923519433e+04 
       2.139218475198e-02       2.163057995221e+04 
       2.155597533102e-02       2.143014422227e+04 
       2.171982200239e-02       2.122813778798e+04 
       2.188372570353e-02       2.102469963509e+04 
       2.204768739797e-02       2.082094631641e+04 
       2.221170807567e-02       2.061465569724e+04 
       2.237578875346e-02       2.040701490775e+04 
       2.253993047543e-02       2.019807487936e+04 
       2.270413431339e-02       1.998793745074e+04 
       2.286840136734e-02       1.977669053084e+04 
       2.303273276591e-02       1.956435105262e+04 
       2.319712966688e-02       1.935101161948e+04 
       2.336159325767e-02       1.913672906795e+04 
       2.352612475590e-02       1.892155395889e+04 
       2.369072540995e-02       1.870500982998e+04 
       2.385539649946e-02       1.848826923541e+04 
       2.402013933604e-02       1.827081567467e+04 
       2.418495526376e-02       1.805283582603e+04 
       2.434984565986e-02       1.783429862411e+04 
       2.451481193541e-02       1.761521510467e+04 
       2.467985553591e-02       1.739477766715e+04 
       2.484497794209e-02       1.717489833427e+04 
       2.501018067054e-02       1.695454936890e+04 
       2.517546527451e-02       1.673415241390e+04 
       2.534083334466e-02       1.651359989539e+04 
       2.550628650984e-02       1.629287833535e+04 
       2.567182643794e-02       1.607213588262e+04 
       2.583745483670e-02       1.585133858789e+04 
       2.600317345456e-02       1.563062187752e+04 
       2.616898408162e-02       1.541002498625e+04 
       2.633488855051e-02       1.518957254465e+04 
       2.650088873732e-02       1.496939121256e+04 
       2.666698656266e-02       1.474958805684e+04 
       2.683318399259e-02       1.452993629727e+04 
       2.699948303968e-02       1.431072205970e+04 
       2.716588576410e-02       1.409195530513e+04 
       2.733239427471e-02       1.387360051080e+04 
       2.749901073020e-02       1.365585334526e+04 
       2.766573734024e-02       1.343864592488e+04 
       2.783257636670e-02       1.322212465917e+04 
       2.799953012492e-02       1.300626995232e+04 
       2.816660098494e-02       1.279117379581e+04 
       2.833379137284e-02       1.257684516942e+04 
       2.850110377212e-02       1.236339167061e+04 
       2.866854072506e-02       1.215086668290e+04 
       2.883610483421e-02       1.193920185461e+04 
       2.900379876384e-02       1.172854751292e+04 
       2.917162524147e-02       1.151877119013e+04 
       2.933958705949e-02       1.131020569594e+04 
       2.950768707675e-02       1.110268865850e+04 
       2.967592822028e-02       1.089633342361e+04 
       2.984431348698e-02       1.069121614857e+04 
       3.001284594543e-02       1.048738852302e+04 
       3.018152873772e-02       1.028470229816e+04 
       3.035036508138e-02       1.008342265611e+04 
       3.051935827131e-02       9.883414308038e+03 
       3.068851168182e-02       9.685576607407e+03 
       3.085782876872e-02       9.488417150471e+03 
       3.102731307147e-02       9.292771453876e+03 
       3.119696821539e-02       9.098673707451e+03 
       3.136679791401e-02       8.905988917149e+03 
       3.153680597140e-02       8.714966542827e+03 
       3.170699628461e-02       8.525283666680e+03 
       3.187737284625e-02       8.337460119136e+03 
       3.204793974707e-02       8.151274467405e+03 
       3.221870117870e-02       7.966431540719e+03 
       3.238966143639e-02       7.784026152724e+03 
       3.256082492194e-02       7.603086150964e+03 
       3.273219614671e-02       7.423516837639e+03 
       3.290377973465e-02       7.246100223586e+03 
       3.307558042554e-02       7.070585415305e+03 
       3.324760307830e-02       6.896822638318e+03 
       3.341985267439e-02       6.725047501788e+03 
       3.359233432137e-02       6.555196738146e+03 
       3.376505325658e-02       6.387267760687e+03 
       3.393801485090e-02       6.221333992509e+03 
       3.411122461274e-02       6.057369576496e+03 
       3.428468819210e-02       5.895403342636e+03 
       3.445841138478e-02       5.735471349852e+03 
       3.463240013678e-02       5.577569232716e+03 
       3.480666054884e-02       5.421804858924e+03 
       3.498119888116e-02       5.268080110350e+03 
       3.515602155828e-02       5.116406856672e+03 
       3.533113517416e-02       4.966892363405e+03 
       3.550654649745e-02       4.819506428982e+03 
       3.568226247696e-02       4.674299380694e+03 
       3.585829024733e-02       4.531239594263e+03 
       3.603463713494e-02       4.390362843006e+03 
       3.621131066405e-02       4.251675819271e+03 
       3.638831856316e-02       4.115186606540e+03 
