# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.263325407219e-10       8.785695234937e-15       4.097328437269e-13       2.157351739574e-19       7.039276415500e-09       7.929545441721e-10      -2.662351810211e-12 
    3       1.981666819662e-10       1.367593063060e-14       5.604819871592e-13       4.316512942191e-19       4.406962910764e-09       5.496557987880e-10      -2.264292136610e-12 
    4       1.765749232306e-10       1.431701548893e-14       5.900046949661e-13       7.198150595282e-19       3.085906701016e-09       4.108284192414e-10      -1.698131550505e-12 
    5       1.608877799025e-10       1.166705225353e-14       5.493605640854e-13       1.080451620233e-18       2.312870056703e-09       3.218080508339e-10      -1.147769139755e-12 
    6       1.496139334648e-10       7.827630546342e-15       4.752174786690e-13       1.513829063318e-18       1.812550939475e-09       2.601953932065e-10      -6.761247046114e-13 
    7       1.415596559236e-10       4.544315070037e-15       3.917236242914e-13       2.020250270308e-18       1.466497700687e-09       2.153326744107e-10      -3.100825467286e-13 
    8       1.358624878380e-10       2.539165232011e-15       3.133339975218e-13       2.600043865622e-18       1.214843932198e-09       1.814586966353e-10      -5.530707650460e-14 
    9       1.318684498160e-10       1.659695245096e-15       2.484297900597e-13       3.253554598976e-18       1.024798207856e-09       1.551919511531e-10       9.674204434855e-14 
   10       1.291834563785e-10       1.386022167286e-15       2.008479929780e-13       3.981133525058e-18       8.772082171967e-10       1.343886777384e-10       1.637828598323e-13 
   11       1.274703821649e-10       1.273161572042e-15       1.708143548891e-13       4.783128348887e-18       7.497341916910e-10       1.180336651618e-10       1.679157532150e-13 
   12       1.264600051127e-10       1.129333907494e-15       1.561390705107e-13       5.659874295770e-18       6.563092042087e-10       1.041253300225e-10       1.329819856340e-13 
   13       1.260283119948e-10       9.638228499954e-16       1.533017474868e-13       6.611685841036e-18       5.794233006171e-10       9.269214017630e-11       7.941814289011e-14 
   14       1.260416048496e-10       8.486068495416e-16       1.582755724661e-13       7.638849597683e-18       5.153030994474e-10       8.292194373510e-11       2.327505594892e-14 
   15       1.264669262416e-10       8.182814218091e-16       1.672672040587e-13       8.741618611282e-18       4.612146416428e-10       7.468751657769e-11      -2.351472295377e-14 
   16       1.271021318382e-10       8.508012676872e-16       1.774471657112e-13       9.920208252892e-18       4.151355696429e-10       6.760278305271e-11      -5.484261604049e-14 
   17       1.279874035808e-10       9.022482325328e-16       1.870719313505e-13       1.117479383472e-17       3.755353408345e-10       6.143642554336e-11      -6.922849487258e-14 
   18       1.290946779885e-10       9.454321905036e-16       1.951657843589e-13       1.250550916983e-17       3.411108268074e-10       5.604922247213e-11      -6.887520558946e-14 
   19       1.303959178114e-10       9.899998230544e-16       2.016978367978e-13       1.391245188614e-17       3.113243900033e-10       5.136228520686e-11      -5.767354935700e-14 
   20       1.318087716073e-10       1.058586012329e-15       2.070347977928e-13       1.539567712909e-17       2.850554365387e-10       4.719360384980e-11      -4.125394367566e-14 
   21       1.333432399889e-10       1.167950040060e-15       2.118143989023e-13       1.695521416221e-17       2.619022808573e-10       4.347818514978e-11      -2.395911381321e-14 
   22       1.349990403397e-10       1.330590737865e-15       2.168167923953e-13       1.859105896624e-17       2.413181874978e-10       4.013699569884e-11      -9.959978349839e-15 
   23       1.367635141188e-10       1.541343217221e-15       2.224830459696e-13       2.030319444348e-17       2.230268420458e-10       3.716735198052e-11      -1.087130506008e-15 
   24       1.385967317354e-10       1.788145718914e-15       2.290745421758e-13       2.209158296722e-17       2.066130678419e-10       3.454650709629e-11       1.898096255850e-15 
   25       1.405050891508e-10       2.067598751909e-15       2.364685208042e-13       2.395619046471e-17       1.918881138243e-10       3.220876192345e-11      -3.394098489643e-16 
   26       1.424892214319e-10       2.378390046375e-15       2.442890289218e-13       2.589697730043e-17       1.785895926932e-10       3.005753140703e-11      -6.226899505757e-15 
   27       1.445370978539e-10       2.719398841538e-15       2.519110318835e-13       2.791391965286e-17       1.665617086162e-10       2.808571118422e-11      -1.363331523836e-14 
   28       1.466234319770e-10       3.089135605856e-15       2.585853933979e-13       3.000700366562e-17       1.556010461789e-10       2.629857137635e-11      -2.018135327538e-14 
   29       1.487580221080e-10       3.486010119062e-15       2.638641988869e-13       3.217625145024e-17       1.456531939447e-10       2.468792257193e-11      -2.490017317834e-14 
   30       1.509493329529e-10       3.907912980486e-15       2.673403301076e-13       3.442170549463e-17       1.366125533320e-10       2.322336019554e-11      -2.718934341746e-14 
   31       1.531936300348e-10       4.353452657005e-15       2.686356895005e-13       3.674342876518e-17       1.282964008448e-10       2.186174970845e-11      -2.661192569010e-14 
   32       1.554925419643e-10       4.826973191968e-15       2.677457474666e-13       3.914152498322e-17       1.206628845874e-10       2.059648218722e-11      -2.368222037162e-14 
   33       1.578390009946e-10       5.335554518347e-15       2.648310427828e-13       4.161613112322e-17       1.136592284185e-10       1.942419716379e-11      -1.940508668014e-14 
   34       1.602184579307e-10       5.886249356177e-15       2.601103568554e-13       4.416741313807e-17       1.071888598580e-10       1.833547634432e-11      -1.492394403146e-14 
   35       1.626347441551e-10       6.480585883657e-15       2.537761533988e-13       4.679555815827e-17       1.012192774014e-10       1.733059581622e-11      -1.092050547149e-14 
   36       1.650913625198e-10       7.118138010727e-15       2.460573830060e-13       4.950078462324e-17       9.570310319007e-11       1.640798743239e-11      -8.024035335638e-15 
   37       1.675863176345e-10       7.798253215009e-15       2.371685489202e-13       5.228333250432e-17       9.056917946160e-11       1.556127766934e-11      -6.789676697599e-15 
   38       1.701209180878e-10       8.521156369476e-15       2.270448037686e-13       5.514341273073e-17       8.580456589390e-11       1.478558037648e-11      -7.058048380939e-15 
   39       1.726925617536e-10       9.287170696418e-15       2.155188260199e-13       5.808124458079e-17       8.139445645861e-11       1.407236266102e-11      -8.378144551839e-15 
   40       1.752914818786e-10       1.009640433237e-14       2.023884498779e-13       6.109707132053e-17       7.729723099082e-11       1.340713649252e-11      -1.016729297204e-14 
   41       1.779059388785e-10       1.094887554143e-14       1.874392235798e-13       6.419113592735e-17       7.345901442520e-11       1.277397593391e-11      -1.181793895169e-14 
   42       1.805415133556e-10       1.184497095430e-14       1.705271022537e-13       6.736359483256e-17       6.986868149977e-11       1.217200732490e-11      -1.308136157021e-14 
   43       1.832069138524e-10       1.278511299261e-14       1.515183431102e-13       7.061457884670e-17       6.651681821365e-11       1.160346806669e-11      -1.379377668337e-14 
   44       1.859083357833e-10       1.376962924480e-14       1.302658670734e-13       7.394421649861e-17       6.337920998235e-11       1.106902597265e-11      -1.377037553309e-14 
   45       1.886494934775e-10       1.479877517156e-14       1.066497156375e-13       7.735261004421e-17       6.042551649192e-11       1.056812439325e-11      -1.288221512436e-14 
   46       1.914324263149e-10       1.587282067059e-14       8.071480088664e-14       8.083975532133e-17       5.765116647205e-11       1.010047666515e-11      -1.131658757118e-14 
   47       1.942564293220e-10       1.699198191760e-14       5.257292511449e-14       8.440559765912e-17       5.505299321498e-11       9.664775877075e-12      -9.392840520983e-15 
   48       1.971174752755e-10       1.815639375453e-14       2.236657641465e-14       8.805005213263e-17       5.261961350495e-11       9.258134395221e-12      -7.494696940803e-15 
   49       2.000079371717e-10       1.936610685659e-14      -9.729523746836e-15       9.177300202850e-17       5.033081640942e-11       8.875969352850e-12      -6.073768958048e-15 
   50       2.029197205606e-10       2.062112233571e-14      -4.355509660524e-14       9.557429515893e-17       4.816365975432e-11       8.513318629403e-12      -5.527001689706e-15 
   51       2.058553067674e-10       2.192151319624e-14      -7.912286103038e-14       9.945373518369e-17       4.611412842587e-11       8.169475565368e-12      -5.781634644794e-15 
   52       2.088192274999e-10       2.326733095011e-14      -1.165003414636e-13       1.034110852804e-16       4.418029845826e-11       7.844414350094e-12      -6.603656675356e-15 
   53       2.118148026831e-10       2.465857001605e-14      -1.557661104713e-13       1.074460684934e-16       4.235585462871e-11       7.537423412285e-12      -7.711668156703e-15 
   54       2.148440233933e-10       2.609516664837e-14      -1.970105105201e-13       1.115583660985e-16       4.062979490454e-11       7.247058226733e-12      -8.774462121731e-15 
   55       2.179080106019e-10       2.757691940348e-14      -2.403169955485e-13       1.157476529243e-16       3.898978826516e-11       6.971592880633e-12      -9.489205452043e-15 
   56       2.210087930514e-10       2.910322985659e-14      -2.856990742500e-13       1.200137173406e-16       3.743390207402e-11       6.710614252736e-12      -9.844267471921e-15 
   57       2.241477659914e-10       3.067329559716e-14      -3.331489663944e-13       1.243563682126e-16       3.596127035341e-11       6.463741199813e-12      -9.917446786307e-15 
   58       2.273250614905e-10       3.228617900938e-14      -3.826555780187e-13       1.287754003640e-16       3.456854577876e-11       6.230133337813e-12      -9.801797429484e-15 
   59       2.305394538043e-10       3.394080314400e-14      -4.342044681297e-13       1.332705943814e-16       3.324974646502e-11       6.008463280791e-12      -9.606350261350e-15 
   60       2.337882647432e-10       3.563594759013e-14      -4.877778154066e-13       1.378417164185e-16       3.199610275291e-11       5.796888879834e-12      -9.456834363685e-15 
   61       2.370686718090e-10       3.737038826452e-14      -5.433565522301e-13       1.424885724259e-16       3.079849167922e-11       5.593567160093e-12      -9.466559021018e-15 
   62       2.403821898072e-10       3.914336278479e-14      -6.009274018440e-13       1.472111855090e-16       2.965572555180e-11       5.398393738770e-12      -9.639790138773e-15 
   63       2.437310318323e-10       4.095420270405e-14      -6.604773688617e-13       1.520096582138e-16       2.856786042068e-11       5.211606352491e-12      -9.947867052973e-15 
   64       2.471167461348e-10       4.280219924044e-14      -7.219917460913e-13       1.568841231152e-16       2.753370286466e-11       5.033267247605e-12      -1.035690721596e-14 
   65       2.505401659984e-10       4.468660371539e-14      -7.854541500059e-13       1.618347443480e-16       2.655073888280e-11       4.863252606778e-12      -1.082758081056e-14 
   66       2.540013596156e-10       4.660662799174e-14      -8.508465562135e-13       1.668617191382e-16       2.561506278604e-11       4.701241975592e-12      -1.131488536431e-14 
   67       2.574995799653e-10       4.856144491198e-14      -9.181493349278e-13       1.719652793342e-16       2.472130608878e-11       4.546707689140e-12      -1.176792036360e-14 
   68       2.610338897333e-10       5.055001813641e-14      -9.873351655512e-13       1.771456880010e-16       2.386406955283e-11       4.399071940511e-12      -1.214059098698e-14 
   69       2.646052951575e-10       5.257055064026e-14      -1.058349269278e-12       1.824032249779e-16       2.304271521924e-11       4.258238578189e-12      -1.242674163419e-14 
   70       2.682149564984e-10       5.462092474132e-14      -1.131125216414e-12       1.877382011319e-16       2.225742208738e-11       4.124150565392e-12      -1.263176919113e-14 
   71       2.718635189817e-10       5.669885895782e-14      -1.205590573962e-12       1.931509644153e-16       2.150773679641e-11       3.996625699208e-12      -1.276237695562e-14 
   72       2.755510799387e-10       5.880190408346e-14      -1.281666784551e-12       1.986419012707e-16       2.079254096065e-11       3.875350324711e-12      -1.282662876864e-14 
   73       2.792771559480e-10       6.092743926238e-14      -1.359269045358e-12       2.042114380359e-16       2.011001850497e-11       3.759873049071e-12      -1.283400314566e-14 
   74       2.830406499766e-10       6.307266806426e-14      -1.438306187037e-12       2.098600423487e-16       1.945762300010e-11       3.649598455671e-12      -1.279544740792e-14 
   75       2.868398185206e-10       6.523461455929e-14      -1.518680552642e-12       2.155882245522e-16       1.883204499804e-11       3.543780818217e-12      -1.272343181373e-14 
   76       2.906729763447e-10       6.741041656154e-14      -1.600301039764e-12       2.213964726778e-16       1.823003190105e-11       3.441704138900e-12      -1.262942073519e-14 
   77       2.945408317000e-10       6.959827577088e-14      -1.683125240281e-12       2.272850406024e-16       1.765109237865e-11       3.343274060762e-12      -1.251563414585e-14 
   78       2.984445192248e-10       7.179667456813e-14      -1.767124800727e-12       2.332541236338e-16       1.709522806034e-11       3.248522974698e-12      -1.238187516633e-14 
   79       3.023848826778e-10       7.400409635113e-14      -1.852273087238e-12       2.393039215472e-16       1.656210981523e-11       3.157430845741e-12      -1.222798088801e-14 
   80       3.063624572040e-10       7.621902770345e-14      -1.938545334399e-12       2.454346386284e-16       1.605106256937e-11       3.069922747900e-12      -1.205382353868e-14 
   81       3.103774516014e-10       7.843996056309e-14      -2.025918794090e-12       2.516464837163e-16       1.556105012298e-11       2.985866399003e-12      -1.185931164833e-14 
   82       3.144297305868e-10       8.066539439118e-14      -2.114372884340e-12       2.579396702462e-16       1.509065996770e-11       2.905069695529e-12      -1.164439121481e-14 
   83       3.185187970618e-10       8.289383834067e-14      -2.203889338168e-12       2.643144162923e-16       1.463808810384e-11       2.827278247450e-12      -1.140904686957e-14 
   84       3.226440478107e-10       8.512364983964e-14      -2.294439118223e-12       2.707709481850e-16       1.420157623416e-11       2.752238680432e-12      -1.115390370496e-14 
   85       3.268056281402e-10       8.735251484472e-14      -2.385940342200e-12       2.773095119567e-16       1.378083987757e-11       2.679905999868e-12      -1.088214483622e-14 
   86       3.310036870656e-10       8.957788500024e-14      -2.478293622821e-12       2.839303638807e-16       1.337585027036e-11       2.610266243487e-12      -1.059791534600e-14 
   87       3.352381035318e-10       9.179713299075e-14      -2.571394609395e-12       2.906337671677e-16       1.298639557156e-11       2.543272430684e-12      -1.030576098177e-14 
   88       3.395084732751e-10       9.400755196034e-14      -2.665133914241e-12       2.974199920682e-16       1.261207328314e-11       2.478843202691e-12      -1.001063941680e-14 
   89       3.438140956848e-10       9.620635493198e-14      -2.759397039111e-12       3.042893159758e-16       1.225228267021e-11       2.416861462749e-12      -9.717931510934e-15 
   90       3.481539606651e-10       9.839067422697e-14      -2.854064301619e-12       3.112420235304e-16       1.190621718131e-11       2.357173016277e-12      -9.433452571530e-15 
   91       3.525267354967e-10       1.005575608842e-13      -2.949010761660e-12       3.182784067207e-16       1.157285686855e-11       2.299585211054e-12      -9.163463614306e-15 
   92       3.569307516982e-10       1.027039840796e-13      -3.044106147836e-12       3.253987649872e-16       1.125096080789e-11       2.243865577380e-12      -8.914682624219e-15 
   93       3.613644066167e-10       1.048269870505e-13      -3.139225005305e-12       3.326034753920e-16       1.093936058271e-11       2.189797149317e-12      -8.692819661562e-15 
   94       3.658274658265e-10       1.069241829564e-13      -3.234279044994e-12       3.398932149751e-16       1.063790768995e-11       2.137356899624e-12      -8.497905696411e-15 
   95       3.703199332310e-10       1.089933328691e-13      -3.329189546314e-12       3.472687721864e-16       1.034665527267e-11       2.086561752129e-12      -8.328278781798e-15 
   96       3.748416464420e-10       1.110321974594e-13      -3.423877635086e-12       3.547309808493e-16       1.006556635193e-11       2.037413717893e-12      -8.181988729045e-15 
   97       3.793922693344e-10       1.130385385648e-13      -3.518264350269e-12       3.622807212257e-16       9.794510379608e-12       1.989899313432e-12      -8.056788105702e-15 
   98       3.839712846005e-10       1.150101207570e-13      -3.612270710697e-12       3.699189210805e-16       9.533259791303e-12       1.943988978938e-12      -7.950123233487e-15 
   99       3.885779863045e-10       1.169447129097e-13      -3.705817781808e-12       3.776465567469e-16       9.281486559200e-12       1.899636496506e-12      -7.859125186227e-15 
  100       3.932114724377e-10       1.188400897666e-13      -3.798826742377e-12       3.854646541904e-16       9.038758744935e-12       1.856778408357e-12      -7.780600787790e-15 
  101       3.978706374724e-10       1.206940335084e-13      -3.891218951250e-12       3.933742900741e-16       8.804537052468e-12       1.815333435064e-12      -7.711023610034e-15 
  102       4.025541649167e-10       1.225043353210e-13      -3.982916014072e-12       4.013765928233e-16       8.578171380953e-12       1.775201893773e-12      -7.646524970736e-15 
  103       4.072605198694e-10       1.242687969633e-13      -4.073839850022e-12       4.094727436903e-16       8.358897377612e-12       1.736265116431e-12      -7.582884931539e-15 
  104       4.119881920926e-10       1.259852635137e-13      -4.163910197787e-12       4.176638819287e-16       8.146009110794e-12       1.698412694557e-12      -7.516366768037e-15 
  105       4.167364786641e-10       1.276517232738e-13      -4.253036606058e-12       4.259508034351e-16       7.939411078862e-12       1.661629658127e-12      -7.446368149110e-15 
  106       4.215047936619e-10       1.292662243462e-13      -4.341125480436e-12       4.343342231938e-16       7.739134690363e-12       1.625920043515e-12      -7.373112978083e-15 
  107       4.262924224509e-10       1.308268465467e-13      -4.428082585697e-12       4.428148675429e-16       7.545167309179e-12       1.591279845912e-12      -7.296840165235e-15 
  108       4.310985169902e-10       1.323317033157e-13      -4.513813084392e-12       4.513934741851e-16       7.357450742781e-12       1.557696743343e-12      -7.217803894661e-15 
  109       4.359220911412e-10       1.337789436276e-13      -4.598221575427e-12       4.600707921990e-16       7.175879730486e-12       1.525149820670e-12      -7.136273891134e-15 
  110       4.407620159746e-10       1.351667539014e-13      -4.681212132665e-12       4.688475820497e-16       7.000300431718e-12       1.493609293607e-12      -7.052535686973e-15 
  111       4.456170150781e-10       1.364933599114e-13      -4.762688343513e-12       4.777246156002e-16       6.830508914258e-12       1.463036232729e-12      -6.966890888899e-15 
  112       4.504856598640e-10       1.377570286970e-13      -4.842553347515e-12       4.867026761222e-16       6.666249642509e-12       1.433382287484e-12      -6.879657444909e-15 
  113       4.553663648767e-10       1.389560704731e-13      -4.920709874943e-12       4.957825583075e-16       6.507213965748e-12       1.404589410200e-12      -6.791169911131e-15 
  114       4.602573831002e-10       1.400888405407e-13      -4.997060285392e-12       5.049650682782e-16       6.353038606384e-12       1.376589580098e-12      -6.701779718693e-15 
  115       4.651568012657e-10       1.411537411971e-13      -5.071506606367e-12       5.142510235988e-16       6.203304148218e-12       1.349304527302e-12      -6.611855440584e-15 
  116       4.700627566828e-10       1.421492880061e-13      -5.143952547382e-12       5.236412347491e-16       6.057626625352e-12       1.322663309756e-12      -6.521729588901e-15 
  117       4.749741276725e-10       1.430743136672e-13      -5.214309737533e-12       5.331364469678e-16       5.915948153885e-12       1.296658058419e-12      -6.431531097733e-15 
  118       4.798899186572e-10       1.439277926357e-13      -5.282492322297e-12       5.427373913261e-16       5.778278961204e-12       1.271294522912e-12      -6.341332879680e-15 
  119       4.848090434433e-10       1.447087814329e-13      -5.348415111332e-12       5.524448024815e-16       5.644606765963e-12       1.246574708205e-12      -6.251203269429e-15 
  120       4.897303224880e-10       1.454164211257e-13      -5.411993634539e-12       5.622594185242e-16       5.514896089509e-12       1.222496756469e-12      -6.161205817855e-15 
  121       4.946524801651e-10       1.460499398057e-13      -5.473144198119e-12       5.721819808246e-16       5.389087567316e-12       1.199054828944e-12      -6.071399086121e-15 
  122       4.995741420313e-10       1.466086550684e-13      -5.531783940631e-12       5.822132338806e-16       5.267097260410e-12       1.176238987799e-12      -5.981836439774e-15 
  123       5.044938320926e-10       1.470919764932e-13      -5.587830889055e-12       5.923539251643e-16       5.148815966795e-12       1.154035077988e-12      -5.892565842851e-15 
  124       5.094099700702e-10       1.474994081221e-13      -5.641204014844e-12       6.026048049694e-16       5.034108532888e-12       1.132424609119e-12      -5.803629651972e-15 
  125       5.143208686667e-10       1.478305509396e-13      -5.691823289989e-12       6.129666262581e-16       4.922813164940e-12       1.111384637309e-12      -5.715064410444e-15 
  126       5.192247308325e-10       1.480851053516e-13      -5.739609743074e-12       6.234401445087e-16       4.814740740469e-12       1.090887647045e-12      -5.626900642359e-15 
  127       5.241196470319e-10       1.482628736651e-13      -5.784485515339e-12       6.340261175619e-16       4.709674119686e-12       1.070901433049e-12      -5.539162646695e-15 
  128       5.290035925091e-10       1.483637625676e-13      -5.826373916732e-12       6.447253054687e-16       4.607367456924e-12       1.051388982137e-12      -5.451868291414e-15 
  129       5.338746002973e-10       1.483878089803e-13      -5.865199948039e-12       6.555384649954e-16       4.507598822628e-12       1.032316758892e-12      -5.365033895518e-15 
  130       5.387313075102e-10       1.483352555599e-13      -5.900891812948e-12       6.664663327825e-16       4.410336058632e-12       1.013680841299e-12      -5.278689918092e-15 
  131       5.435724640920e-10       1.482064882032e-13      -5.933379678566e-12       6.775096400409e-16       4.315587900845e-12       9.954834423101e-13      -5.192866609272e-15 
  132       5.483967609847e-10       1.480020160369e-13      -5.962595283041e-12       6.886691175388e-16       4.223351995560e-12       9.777247056033e-13      -5.107588908738e-15 
  133       5.532028286521e-10       1.477224740634e-13      -5.988471994946e-12       6.999454954104e-16       4.133614592352e-12       9.604026475797e-13      -5.022876276230e-15 
  134       5.579892356036e-10       1.473686258080e-13      -6.010944872679e-12       7.113395029654e-16       4.046350236976e-12       9.435130993585e-13      -4.938742522047e-15 
  135       5.627544869175e-10       1.469413659651e-13      -6.029950723857e-12       7.228518684970e-16       3.961521464268e-12       9.270496487722e-13      -4.855195637558e-15 
  136       5.674970227654e-10       1.464417230451e-13      -6.045428164707e-12       7.344833190915e-16       3.879078491042e-12       9.110035823629e-13      -4.772237625708e-15 
  137       5.722152169354e-10       1.458708620211e-13      -6.057317679458e-12       7.462345804371e-16       3.798958908994e-12       8.953638273776e-13      -4.689864331525e-15 
  138       5.769073753560e-10       1.452300869752e-13      -6.065561679742e-12       7.581063766323e-16       3.721087377595e-12       8.801168937639e-13      -4.608065272631e-15 
  139       5.815717346198e-10       1.445208437456e-13      -6.070104563979e-12       7.700994299956e-16       3.645375316994e-12       8.652468161657e-13      -4.526823469742e-15 
  140       5.862064605076e-10       1.437447225725e-13      -6.070892776780e-12       7.822144608734e-16       3.571720600915e-12       8.507350959190e-13      -4.446115277182e-15 
  141       5.908096465113e-10       1.429034607457e-13      -6.067874868332e-12       7.944521874500e-16       3.500007249561e-12       8.365606430472e-13      -4.365910213389e-15 
  142       5.953793123588e-10       1.419989452503e-13      -6.061001553796e-12       8.068133255555e-16       3.430105122506e-12       8.226997182571e-13      -4.286170791416e-15 
  143       5.999134025365e-10       1.410332154140e-13      -6.050225772701e-12       8.192985884754e-16       3.361869611600e-12       8.091258749343e-13      -4.206852349448e-15 
  144       6.044099328758e-10       1.400084277845e-13      -6.035502879719e-12       8.319085952269e-16       3.295171837832e-12       7.958156663938e-13      -4.127916218078e-15 
  145       6.088674497119e-10       1.389267412722e-13      -6.016791112790e-12       8.446435856016e-16       3.229993245457e-12       7.827665242231e-13      -4.049371043009e-15 
  146       6.132846133962e-10       1.377904256631e-13      -5.994051284265e-12       8.575036765356e-16       3.166339793214e-12       7.699805404460e-13      -3.971235232985e-15 
  147       6.176600536792e-10       1.366019007780e-13      -5.967246713292e-12       8.704889504088e-16       3.104212157135e-12       7.574588358866e-13      -3.893523896808e-15 
  148       6.219923690852e-10       1.353637389029e-13      -5.936343285958e-12       8.835994543273e-16       3.043605598755e-12       7.452015352984e-13      -3.816248750489e-15 
  149       6.262801262873e-10       1.340786672182e-13      -5.901309515439e-12       8.968351994065e-16       2.984509833322e-12       7.332077424936e-13      -3.739418024406e-15 
  150       6.305218594815e-10       1.327495702282e-13      -5.862116602153e-12       9.101961600538e-16       2.926908898006e-12       7.214755154727e-13      -3.663036370457e-15 
  151       6.347160697620e-10       1.313794921907e-13      -5.818738493904e-12       9.236822732517e-16       2.870781020108e-12       7.100018415536e-13      -3.587104769220e-15 
  152       6.388612244955e-10       1.299716395471e-13      -5.771151946036e-12       9.372934378403e-16       2.816098485269e-12       6.987826125008e-13      -3.511620437101e-15 
  153       6.429557566958e-10       1.285293833509e-13      -5.719336581575e-12       9.510295138003e-16       2.762827505683e-12       6.878125996549e-13      -3.436576733498e-15 
  154       6.469980643987e-10       1.270562616983e-13      -5.663274951383e-12       9.648903215360e-16       2.710928088299e-12       6.770854290617e-13      -3.361963067949e-15 
  155       6.509865100365e-10       1.255559821573e-13      -5.602952594308e-12       9.788756411577e-16       2.660353903037e-12       6.665935566018e-13      -3.287764807292e-15 
  156       6.549194198128e-10       1.240324241971e-13      -5.538358097326e-12       9.929852117654e-16       2.611052150996e-12       6.563282431197e-13      -3.213963182819e-15 
  157       6.587950830769e-10       1.224896416181e-13      -5.469483155697e-12       1.007218730731e-15       2.562963432660e-12       6.462795295530e-13      -3.140535197429e-15 
  158       6.626117516991e-10       1.209318649811e-13      -5.396322633110e-12       1.021575852980e-15       2.516021616113e-12       6.364362120618e-13      -3.067453532788e-15 
