# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347290741885e-02       2.349585229317e+04 
       1.360170490045e-02       2.352083066221e+04 
       1.373053867659e-02       2.354365367689e+04 
       1.385940885813e-02       2.356432543871e+04 
       1.398831557901e-02       2.358289532719e+04 
       1.411725899584e-02       2.359938607958e+04 
       1.424623928760e-02       2.361383789099e+04 
       1.437525665533e-02       2.362628230443e+04 
       1.450431132182e-02       2.363674207111e+04 
       1.463340353142e-02       2.364525808367e+04 
       1.476253354982e-02       2.365185319513e+04 
       1.489170166384e-02       2.365657257185e+04 
       1.502090818131e-02       2.365943670196e+04 
       1.515015343092e-02       2.366047979938e+04 
       1.527943776212e-02       2.365973161976e+04 
       1.540876154504e-02       2.365721835325e+04 
       1.553812517046e-02       2.365296648324e+04 
       1.566752904973e-02       2.364702392217e+04 
       1.579697361479e-02       2.363939622715e+04 
       1.592645931818e-02       2.363011136383e+04 
       1.605598663305e-02       2.361921561277e+04 
       1.618555605322e-02       2.360670585984e+04 
       1.631516809325e-02       2.359264829308e+04 
       1.644482328855e-02       2.357704317448e+04 
       1.657452219543e-02       2.355993742297e+04 
       1.670426539129e-02       2.354133342396e+04 
       1.683405347470e-02       2.352126899897e+04 
       1.696388706564e-02       2.349978316863e+04 
       1.709376680557e-02       2.347688326247e+04 
       1.722369335775e-02       2.345260805282e+04 
       1.735366740733e-02       2.342695777348e+04 
       1.748368966168e-02       2.340000934448e+04 
       1.761376085058e-02       2.337172575324e+04 
       1.774388172648e-02       2.334217330112e+04 
       1.787405306480e-02       2.331135170656e+04 
       1.800427566425e-02       2.327931347468e+04 
       1.813455034707e-02       2.324605838143e+04 
       1.826487795941e-02       2.321159775674e+04 
       1.839525937170e-02       2.317598943880e+04 
       1.852569547893e-02       2.313922529575e+04 
       1.865618720111e-02       2.310135868826e+04 
       1.878673548362e-02       2.306238979971e+04 
       1.891734129765e-02       2.302235309691e+04 
       1.904800564060e-02       2.298125151194e+04 
       1.917872953656e-02       2.293913478809e+04 
       1.930951403675e-02       2.289598662236e+04 
       1.944036022004e-02       2.285185120261e+04 
       1.957126919339e-02       2.280672821949e+04 
       1.970224209245e-02       2.276068997794e+04 
       1.983328008202e-02       2.271370237581e+04 
       1.996438435668e-02       2.266582989961e+04 
       2.009555614131e-02       2.261704066362e+04 
       2.022679669172e-02       2.256739785408e+04 
       2.035810729529e-02       2.251688293218e+04 
       2.048948927155e-02       2.246553879005e+04 
       2.062094397288e-02       2.241340051703e+04 
       2.075247278519e-02       2.236046748111e+04 
       2.088407712863e-02       2.230675923689e+04 
       2.101575845831e-02       2.225227586830e+04 
       2.114751826504e-02       2.219706810359e+04 
       2.127935807611e-02       2.214112483992e+04 
       2.141127945613e-02       2.208449019849e+04 
       2.154328400780e-02       2.202709843398e+04 
       2.167537337279e-02       2.196917021754e+04 
       2.180754923261e-02       2.191050424494e+04 
       2.193981330953e-02       2.185122564130e+04 
       2.207216736751e-02       2.179131212486e+04 
       2.220461321313e-02       2.173080052837e+04 
       2.233715269666e-02       2.166965852052e+04 
       2.246978771299e-02       2.160797675212e+04 
       2.260252020279e-02       2.154572575993e+04 
       2.273535215350e-02       2.148292864732e+04 
       2.286828560053e-02       2.141963990575e+04 
       2.300132262838e-02       2.135582369091e+04 
       2.313446537186e-02       2.129147644977e+04 
       2.326771601730e-02       2.122666212141e+04 
       2.340107680384e-02       2.116136104186e+04 
       2.353455002474e-02       2.109563399085e+04 
       2.366813802873e-02       2.102945654990e+04 
       2.380184322141e-02       2.096281490472e+04 
       2.393566806670e-02       2.089578136465e+04 
       2.406961508831e-02       2.082834076365e+04 
       2.420368687129e-02       2.076052634200e+04 
       2.433788606360e-02       2.069232729922e+04 
       2.447221537779e-02       2.062378152172e+04 
       2.460667759263e-02       2.055482928874e+04 
       2.474127555489e-02       2.048558993465e+04 
       2.487601218114e-02       2.041599317380e+04 
       2.501089045959e-02       2.034608913253e+04 
       2.514591345205e-02       2.027583381221e+04 
       2.528108429588e-02       2.020536275174e+04 
       2.541640620607e-02       2.013456108003e+04 
