# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.326212236469e+13       8.690109267140e-26       4.969479050487e-09       1.876595376781e+22       1.910636450125e+04       2.048673568305e-10       1.781900104060e+18       2.869287227214e-09       2.081614238068e+44       1.805113329564e+33       4.112273803912e+33       4.339565124443e-08       1.439995970030e+44       3.521610208157e+44       1.958824105663e-06       1.433565615564e+01 
       9.261382558559e+13       8.812196612234e-26       5.005858838558e-09       1.850596348679e+22       1.910636450125e+04       2.063014283283e-10       1.769513509494e+18       2.889372237804e-09       2.024334923495e+44       1.767730525803e+33       4.027111104095e+33       4.339565124443e-08       1.400371922191e+44       3.424706845743e+44       2.154706516229e-06       1.303241468695e+01 
       9.197003533823e+13       8.935999162439e-26       5.038600647822e-09       1.824957520474e+22       1.910636450125e+04       2.077455383266e-10       1.757213018365e+18       2.909597843469e-09       1.968631751041e+44       1.731121897267e+33       3.943712072210e+33       4.339565124443e-08       1.361838200436e+44       3.330469951534e+44       2.350588926796e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014672e-26       5.074980435893e-09       1.799673901827e+22       1.910636450125e+04       2.091997570949e-10       1.744998032140e+18       2.929965028373e-09       1.914461350357e+44       1.695271411255e+33       3.862040183764e+33       4.339565124443e-08       1.324364802505e+44       3.238826152918e+44       2.546471337362e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604387e-26       5.111360223964e-09       1.774740571538e+22       1.910636450125e+04       2.106641553945e-10       1.732867956445e+18       2.950474783571e-09       1.861781544502e+44       1.660163367095e+33       3.782059670662e+33       4.339565124443e-08       1.287922551705e+44       3.149704096262e+44       2.742353747928e-06       1.023975439689e+01 
       9.006539160943e+13       9.317940710332e-26       5.147740012035e-09       1.750152676584e+22       1.910636450125e+04       2.121388044823e-10       1.720822201038e+18       2.971128107056e-09       1.810551317112e+44       1.625782389265e+33       3.703735505545e+33       4.339565124443e-08       1.252483074190e+44       3.063034391356e+44       2.938236158494e-06       9.557104103761e+00 
       8.943931639467e+13       9.448848459372e-26       5.180481821299e-09       1.725905431182e+22       1.910636450125e+04       2.136237761137e-10       1.708860179780e+18       2.991926003806e-09       1.760730780460e+44       1.592113420664e+33       3.627033386450e+33       4.339565124443e-08       1.218018776871e+44       2.978749557383e+44       3.134118569060e-06       8.959785097276e+00 
       8.881759324198e+13       9.581595331377e-26       5.216861609370e-09       1.701994115848e+22       1.910636450125e+04       2.151191425465e-10       1.696981310605e+18       3.012869485832e-09       1.712281144399e+44       1.559141716010e+33       3.551919721785e+33       4.339565124443e-08       1.184502825932e+44       2.896783970383e+44       3.330000979627e-06       8.432738915083e+00 
       8.820019189868e+13       9.716207164188e-26       5.253241397440e-09       1.678414076488e+22       1.910636450125e+04       2.166249765443e-10       1.685185015497e+18       3.033959572233e-09       1.665164686165e+44       1.526852835389e+33       3.478361615621e+33       4.339565124443e-08       1.151909125938e+44       2.817073812153e+44       3.525883390193e-06       7.964253419801e+00 
       8.758708232243e+13       9.852710158637e-26       5.293259164318e-09       1.655160723484e+22       1.910636450125e+04       2.181413513801e-10       1.673470720454e+18       3.055197289239e-09       1.619344721000e+44       1.495232637930e+33       3.406326853285e+33       4.339565124443e-08       1.120212299515e+44       2.739557020564e+44       3.721765800759e-06       7.545082187179e+00 
