# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.399689573103e+13       1.071295680413e-25       5.518813850358e-09       1.522251902313e+22       1.344542322611e+04       1.600704777134e-10       1.129373812783e+18       3.185782214353e-09       1.369720691902e+44       1.480350817844e+33       8.888698897346e+33       4.066036797913e-08       9.475301620897e+43       2.317250854095e+44       2.317250854095e+44       7.724169513306e+43      -5.599317276233e+52       1.771663050839e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313427e-25       5.557012627833e-09       1.501162076303e+22       1.344542322611e+04       1.611909710574e-10       1.121523150728e+18       3.208082689853e-09       1.332030393213e+44       1.449693649004e+33       8.704619326759e+33       4.066036797913e-08       9.214571860169e+43       2.253487579331e+44       2.253487579331e+44       7.511625264098e+43      -5.407390379316e+52       1.842529572873e-06       5.513713906011e+00 
       8.283317249071e+13       1.101608392784e-25       5.595211405307e-09       1.480364436337e+22       1.344542322611e+04       1.623193078548e-10       1.113727061299e+18       3.230539268682e-09       1.295377210063e+44       1.419671371562e+33       8.524351932588e+33       4.066036797913e-08       8.961016542097e+43       2.191478864372e+44       2.191478864372e+44       7.304929547576e+43      -5.222042129750e+52       1.913396094906e-06       5.309502279862e+00 
       8.225737089444e+13       1.117084889094e-25       5.635229172185e-09       1.459854934365e+22       1.344542322611e+04       1.634555430098e-10       1.105985165143e+18       3.253153043563e-09       1.259732604377e+44       1.390270837303e+33       8.347817766968e+33       4.066036797913e-08       8.714438249143e+43       2.131176429389e+44       2.131176429389e+44       7.103921430972e+43      -5.043047032296e+52       1.984262616940e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814701e-25       5.673427949660e-09       1.439629578418e+22       1.344542322611e+04       1.645997318109e-10       1.098297085544e+18       3.275925114867e-09       1.225068823353e+44       1.361479170301e+33       8.174939516998e+33       4.066036797913e-08       8.474644996064e+43       2.072533323055e+44       2.072533323055e+44       6.908444409866e+43      -4.870187320984e+52       2.055129138973e-06       4.943329708837e+00 
       8.111774765760e+13       1.148693224269e-25       5.713445716538e-09       1.419684431835e+22       1.344542322611e+04       1.657519299335e-10       1.090662448405e+18       3.298856590671e-09       1.191358877859e+44       1.333283761285e+33       8.005641470878e+33       4.066036797913e-08       8.241450080431e+43       2.015503885995e+44       2.015503885995e+44       6.718346286339e+43      -4.703252694171e+52       2.125995661007e-06       4.778552051876e+00 
       8.055387056366e+13       1.164831215377e-25       5.753463483416e-09       1.400015612495e+22       1.344542322611e+04       1.669121934431e-10       1.083080882230e+18       3.321948586806e-09       1.158576521413e+44       1.305672262113e+33       7.839849484756e+33       4.066036797913e-08       8.014671937264e+43       1.960043715231e+44       1.960043715231e+44       6.533479050465e+43      -4.542040058688e+52       2.196862183040e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929121e-25       5.793481250294e-09       1.380619292061e+22       1.344542322611e+04       1.680805787972e-10       1.075552018103e+18       3.345202226913e-09       1.126696229756e+44       1.278632580365e+33       7.677490950251e+33       4.066036797913e-08       7.794133997669e+43       1.906109629612e+44       1.906109629612e+44       6.353698765076e+43      -4.386353282760e+52       2.267728705073e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550729e-25       5.835318006575e-09       1.361491695235e+22       1.344542322611e+04       1.692571428488e-10       1.068075489675e+18       3.368618642501e-09       1.095693180972e+44       1.252152874049e+33       7.518494762662e+33       4.066036797913e-08       7.579664551354e+43       1.853659636195e+44       1.853659636195e+44       6.178865453690e+43      -4.236002957388e+52       2.338595227107e-06       4.344138228978e+00 
       7.888564869297e+13       1.214618310177e-25       5.875335773453e-09       1.342629099023e+22       1.344542322611e+04       1.704419428487e-10       1.060650933143e+18       3.392198972999e-09       1.065543236164e+44       1.226221546413e+33       7.362791289818e+33       4.066036797913e-08       7.371096612945e+43       1.802652897544e+44       1.802652897544e+44       6.008842991528e+43      -4.090806165916e+52       2.409461749140e-06       4.216369457537e+00 
       7.833728767921e+13       1.231682482816e-25       5.917172529735e-09       1.324027832012e+22       1.344542322611e+04       1.716350364486e-10       1.053277987233e+18       3.415944365810e-09       1.036222920661e+44       1.200827240866e+33       7.210312341594e+33       4.066036797913e-08       7.168267791965e+43       1.753049699941e+44       1.753049699941e+44       5.843498999524e+43      -3.950586261493e+52       2.480328271174e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390017e-25       5.957190296613e-09       1.305684273651e+22       1.344542322611e+04       1.728364817038e-10       1.045956293180e+18       3.439855976370e-09       1.007709405738e+44       1.175958836007e+33       7.060991140035e+33       4.066036797913e-08       6.971020166400e+43       1.704811422460e+44       1.704811422460e+44       5.682704741260e+43      -3.815172652161e+52       2.551194793207e-06       3.982126709896e+00 
       7.725197468684e+13       1.266533399810e-25       5.999027052894e-09       1.287594853554e+22       1.344542322611e+04       1.740463370757e-10       1.038685494717e+18       3.463934968204e-09       9.799804908440e+43       1.151605440751e+33       6.914762290123e+33       4.066036797913e-08       6.779200159740e+43       1.657900506899e+44       1.657900506899e+44       5.526335022727e+43      -3.684400593317e+52       2.622061315241e-06       3.874501663683e+00 
       7.671496989756e+13       1.284326927544e-25       6.040863809176e-09       1.269756050797e+22       1.344542322611e+04       1.752646614352e-10       1.031465238051e+18       3.488182512982e-09       9.530145863146e+43       1.127756389561e+33       6.771561751126e+33       4.066036797913e-08       6.592658421409e+43       1.612280428534e+44       1.612280428534e+44       5.374268094852e+43      -3.558110987284e+52       2.692927837274e-06       3.772541093586e+00 
       7.618169801148e+13       1.302370436549e-25       6.084519554861e-09       1.252164393236e+22       1.344542322611e+04       1.764915140653e-10       1.024295171848e+18       3.512599790572e-09       9.267906965640e+43       1.104401237776e+33       6.631326808560e+33       4.066036797913e-08       6.411249710473e+43       1.567915667689e+44       1.567915667689e+44       5.226385558704e+43      -3.436150189746e+52       2.763794359308e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667438812e-25       6.126356311142e-09       1.234816456834e+22       1.344542322611e+04       1.777269546637e-10       1.017174947217e+18       3.537187989106e-09       9.012884037369e+43       1.081529757039e+33       6.493996046719e+33       4.066036797913e-08       6.234832782562e+43       1.524771682069e+44       1.524771682069e+44       5.082572273311e+43      -3.318369822833e+52       2.834660881341e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221495660e-25       6.170012056828e-09       1.217708864990e+22       1.344542322611e+04       1.789710433464e-10       1.010104217694e+18       3.561948305030e-09       8.764878518120e+43       1.059131930816e+33       6.359509321780e+33       4.066036797913e-08       6.063270279898e+43       1.482814879876e+44       1.482814879876e+44       4.942716266006e+43      -3.204626594597e+52       2.905527403374e-06       3.496501501372e+00 
       7.460402118627e+13       1.358036218453e-25       6.211848813109e-09       1.200838287884e+22       1.344542322611e+04       1.802238406498e-10       1.003082639219e+18       3.586881943165e-09       8.523697311413e+43       1.037197950008e+33       6.227807735460e+33       4.066036797913e-08       5.896428624344e+43       1.442012593648e+44       1.442012593648e+44       4.806708645252e+43      -3.094782124685e+52       2.976393925408e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115269286e-25       6.255504558794e-09       1.184201441828e+22       1.344542322611e+04       1.814854075344e-10       9.961098701282e+17       3.611990116767e-09       8.289152634162e+43       1.015718208658e+33       6.098833609226e+33       4.066036797913e-08       5.734177913402e+43       1.402333054828e+44       1.402333054828e+44       4.674443515855e+43      -2.988702775985e+52       3.047260447441e-06       3.333873524564e+00 
       7.357043021222e+13       1.396462361704e-25       6.299160304479e-09       1.167795088628e+22       1.344542322611e+04       1.827558053871e-10       9.891855711302e+17       3.637274047584e-09       8.061061870467e+43       9.946832997422e+32       5.972530459031e+33       4.066036797913e-08       5.576391819074e+43       1.363745369024e+44       1.363745369024e+44       4.545817896514e+43      -2.886259492045e+52       3.118126969475e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081261423e-25       6.344635039568e-09       1.151616034953e+22       1.344542322611e+04       1.840350960248e-10       9.823094052932e+17       3.662734965916e-09       7.839247429430e+43       9.740840110497e+32       5.848842970579e+33       4.066036797913e-08       5.422947489502e+43       1.326219491961e+44       1.326219491961e+44       4.420731639644e+43      -2.787327640058e+52       3.188993491508e-06       3.185701367917e+00 
       7.255115897971e+13       1.435975787065e-25       6.388290785253e-09       1.135661131714e+22       1.344542322611e+04       1.853233416970e-10       9.754810380270e+17       3.688374110678e-09       7.623536606878e+43       9.539113211497e+32       5.727716975100e+33       4.066036797913e-08       5.273725453312e+43       1.289726206086e+44       1.289726206086e+44       4.299087353397e+43      -2.691786859235e+52       3.259860013541e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149810897e-25       6.433765520342e-09       1.119927273449e+22       1.344542322611e+04       1.866206050889e-10       9.687001370675e+17       3.714192729452e-09       7.413761450905e+43       9.341563954397e+32       5.609099425625e+33       4.066036797913e-08       5.128609526601e+43       1.254237097816e+44       1.254237097816e+44       4.180790325835e+43      -2.599520914376e+52       3.330726535575e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259590e-25       6.477421266027e-09       1.104411397723e+22       1.344542322611e+04       1.879269493245e-10       9.619663724603e+17       3.740192078558e-09       7.209758631097e+43       9.148105822763e+32       5.492938373757e+33       4.066036797913e-08       4.987486722468e+43       1.219724535421e+44       1.219724535421e+44       4.065748451189e+43      -2.510417554457e+52       3.401593057608e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352114980e-25       6.522896001115e-09       1.089110484526e+22       1.344542322611e+04       1.892424379698e-10       9.552794165445e+17       3.766373423108e-09       7.011369311369e+43       8.958654091864e+32       5.379182946919e+33       4.066036797913e-08       4.850247163052e+43       1.186161647505e+44       1.186161647505e+44       3.953872158140e+43      -2.424368376062e+52       3.472459579642e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388414843e-25       6.568370736204e-09       1.074021555690e+22       1.344542322611e+04       1.905671350355e-10       9.486389439369e+17       3.792738037069e-09       6.818439026289e+43       8.773125791568e+32       5.267783326073e+33       4.066036797913e-08       4.716783993974e+43       1.153522302088e+44       1.153522302088e+44       3.845074340088e+43      -2.341268691503e+52       3.543326101675e-06       2.867131231126e+00 
       7.006433458241e+13       1.539720253683e-25       6.615664460696e-09       1.059141674308e+22       1.344542322611e+04       1.919011049808e-10       9.420446315163e+17       3.819287203328e-09       6.630817560821e+43       8.591439670002e+32       5.158690723903e+33       4.066036797913e-08       4.586993301144e+43       1.121781086257e+44       1.121781086257e+44       3.739270287322e+43      -2.261017401455e+52       3.614192623709e-06       2.810912971692e+00 
       6.957729352772e+13       1.561351783527e-25       6.661139195785e-09       1.044467944161e+22       1.344542322611e+04       1.932444127157e-10       9.354961584074e+17       3.846022213751e-09       6.448358833359e+43       8.413516157974e+32       5.051857363451e+33       4.066036797913e-08       4.460774029851e+43       1.090913286380e+44       1.090913286380e+44       3.636377621070e+43      -2.183516871957e+52       3.685059145742e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287214734e-25       6.708432920277e-09       1.029997509155e+22       1.344542322611e+04       1.945971236047e-10       9.289932059657e+17       3.872944369247e-09       6.270920781994e+43       8.239277334117e+32       4.947236457189e+33       4.066036797913e-08       4.338027906086e+43       1.060894868866e+44       1.060894868866e+44       3.536316229360e+43      -2.108672815633e+52       3.755925667775e-06       2.704840784081e+00 
       6.861334464875e+13       1.605530816814e-25       6.755726644769e-09       1.015727552766e+22       1.344542322611e+04       1.959593034699e-10       9.225354577613e+17       3.900054979832e-09       6.098365253900e+43       8.068646890772e+32       4.844782186530e+33       4.066036797913e-08       4.218659360024e+43       1.031702461449e+44       1.031702461449e+44       3.439008204641e+43      -2.036394176979e+52       3.826792189809e-06       2.654751139932e+00 
       6.813638991932e+13       1.628086919259e-25       6.803020369262e-09       1.001655297492e+22       1.344542322611e+04       1.973310185942e-10       9.161225995644e+17       3.927355364690e-09       5.930557897776e+43       7.901550100563e+32       4.744449681764e+33       4.066036797913e-08       4.102575451612e+43       1.003313334994e+44       1.003313334994e+44       3.344377783129e+43      -1.966593021587e+52       3.897658711842e-06       2.606482937388e+00 
       6.766275066466e+13       1.650959912387e-25       6.850314093754e-09       9.877780043098e+21       1.344542322611e+04       1.987123357243e-10       9.097543193291e+17       3.954846852243e-09       5.767368059232e+43       7.737913783676e+32       4.646195002403e+33       4.066036797913e-08       3.989685798209e+43       9.757053857983e+43       9.757053857983e+43       3.252351285814e+43      -1.899184429162e+52       3.968525233876e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248196e-25       6.897607818246e-09       9.740929721444e+21       1.344542322611e+04       2.001033220744e-10       9.034303071788e+17       3.982530780208e-09       5.608668679066e+43       7.577666275802e+32       4.549975117942e+33       4.066036797913e-08       3.879902504213e+43       9.488571183810e+43       9.488571183810e+43       3.162857061093e+43      -1.834086390209e+52       4.039391755909e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441229e-25       6.946720532142e-09       9.605975373424e+21       1.344542322611e+04       2.015040453289e-10       8.971502553911e+17       4.010408495669e-09       5.454336194339e+43       7.420737396759e+32       4.455747889012e+33       4.066036797913e-08       3.773140092625e+43       9.227476287483e+43       9.227476287483e+43       3.075825428988e+43      -1.771219706257e+52       4.110258277943e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525069454e-25       6.994014256634e-09       9.472890731539e+21       1.344542322611e+04       2.029145736462e-10       8.909138583824e+17       4.038481355139e-09       5.304250442161e+43       7.267058419756e+32       4.363472048922e+33       4.066036797913e-08       3.669315438497e+43       8.973565881167e+43       8.973565881167e+43       2.991188626886e+43      -1.710507893511e+52       4.181124799976e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710775154e-25       7.043126970530e-09       9.341649892205e+21       1.344542322611e+04       2.043349756618e-10       8.847208126935e+17       4.066750724624e-09       5.158294566141e+43       7.116562041288e+32       4.273107185593e+33       4.066036797913e-08       3.568347704214e+43       8.726642270854e+43       8.726642270854e+43       2.908880756785e+43      -1.651877089798e+52       4.251991322009e-06       2.389276025939e+00 
       6.534348545226e+13       1.770236265834e-25       7.092239684425e-09       9.212227310719e+21       1.344542322611e+04       2.057653204914e-10       8.785708169747e+17       4.095217979696e-09       5.016354925399e+43       6.969182351668e+32       4.184613723852e+33       4.066036797913e-08       3.470158276548e+43       8.486513202435e+43       8.486513202435e+43       2.828837733982e+43      -1.595255964705e+52       4.322857844043e-06       2.350107566498e+00 
       6.488926062786e+13       1.795106315133e-25       7.143171387725e-09       9.084597796281e+21       1.344542322611e+04       2.072056777348e-10       8.724635719709e+17       4.123884505554e-09       4.878321006083e+43       6.824854806157e+32       4.097952908107e+33       4.066036797913e-08       3.374670705457e+43       8.252991712019e+43       8.252991712019e+43       2.750997237180e+43      -1.540575632802e+52       4.393724366076e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763754e-25       7.192284101620e-09       8.958736507094e+21       1.344542322611e+04       2.086561174790e-10       8.663987805074e+17       4.152751697093e-09       4.744085335330e+43       6.683516196699e+32       4.013086785368e+33       4.066036797913e-08       3.281810644556e+43       8.025895980354e+43       8.025895980354e+43       2.675298659962e+43      -1.487769569834e+52       4.464590888110e-06       2.275500977086e+00 
       6.399026144483e+13       1.845899520409e-25       7.243215804920e-09       8.834618945530e+21       1.344542322611e+04       2.101167103013e-10       8.603761474750e+17       4.181820958972e-09       4.613543397580e+43       6.545104624239e+32       3.929978188630e+33       4.066036797913e-08       3.191505793234e+43       7.805049191272e+43       7.805049191272e+43       2.601683063605e+43      -1.436773531785e+52       4.535457410143e-06       2.239946274319e+00 
       6.354544334144e+13       1.871832562771e-25       7.294147508219e-09       8.712220953358e+21       1.344542322611e+04       2.115875272734e-10       8.543953798163e+17       4.211093705684e-09       4.486593553207e+43       6.409559471614e+32       3.848590720595e+33       4.066036797913e-08       3.103685840358e+43       7.590279394014e+43       7.590279394014e+43       2.530093131188e+43      -1.387525476724e+52       4.606323932177e-06       2.205485562406e+00 
       6.310371732019e+13       1.898129938445e-25       7.345079211518e-09       8.591518707045e+21       1.344542322611e+04       2.130686399643e-10       8.484561865107e+17       4.240571361624e-09       4.363136959379e+43       6.276821377005e+32       3.768888737729e+33       4.066036797913e-08       3.018282409532e+43       7.381419369350e+43       7.381419369350e+43       2.460473122970e+43      -1.339965489318e+52       4.677190454210e-06       2.172069114491e+00 
       6.266506188699e+13       1.924796765950e-25       7.396010914817e-09       8.472488713116e+21       1.344542322611e+04       2.145601204441e-10       8.425582785608e+17       4.270255361155e-09       4.243077493099e+43       6.146832207940e+32       3.690837334656e+33       4.066036797913e-08       2.935229005858e+43       7.178306499388e+43       7.178306499388e+43       2.392768832986e+43      -1.294035707944e+52       4.748056976244e-06       2.139650172484e+00 
       6.222945569711e+13       1.951838235715e-25       7.448761607520e-09       8.355107803585e+21       1.344542322611e+04       2.160620412872e-10       8.367013689780e+17       4.300147148682e-09       4.126321676367e+43       6.019535035837e+32       3.614402328868e+33       4.066036797913e-08       2.854460964164e+43       6.980782640953e+43       6.980782640953e+43       2.326927546844e+43      -1.249680254293e+52       4.818923498277e-06       2.108184728771e+00 
