# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.558503632210e-26       4.634785000235e-09       2.157545946652e+22       1.344542322611e+04       1.344542322611e-10       1.344542322611e+18       2.675958164810e-09       2.751560535470e+44       2.497899375840e+33       1.499852275560e+34       4.066036797913e-08       1.903443976270e+44       4.655004511915e+44       4.655004511915e+44       1.551668170580e+44      -1.339118148794e+53       5.079590464106e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049739e-26       4.667526809499e-09       2.127654528186e+22       1.344542322611e+04       1.353954118869e-10       1.335195950954e+18       2.694689871964e-09       2.675846458098e+44       2.446169392658e+33       1.468791243342e+34       4.066036797913e-08       1.851067333040e+44       4.526913791310e+44       4.526913791310e+44       1.508971263713e+44      -1.293217411574e+53       7.086652203371e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322395e-26       4.700268618762e-09       2.098177236195e+22       1.344542322611e+04       1.363431797701e-10       1.325914549111e+18       2.713552701067e-09       2.602215788102e+44       2.395510706096e+33       1.438373466288e+34       4.066036797913e-08       1.800131926217e+44       4.402347714486e+44       4.402347714486e+44       1.467449238106e+44      -1.248890006536e+53       1.417330440674e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409250e-26       4.733010428026e-09       2.069108333222e+22       1.344542322611e+04       1.372975820285e-10       1.316697665452e+18       2.732547569975e-09       2.530611196824e+44       2.345901130250e+33       1.408585622974e+34       4.066036797913e-08       1.750598097619e+44       4.281209294608e+44       4.281209294608e+44       1.427069764814e+44      -1.206082004824e+53       2.125995661010e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563832e-26       4.765752237290e-09       2.040442161298e+22       1.344542322611e+04       1.382586651027e-10       1.307544851492e+18       2.751675402964e-09       2.460976933110e+44       2.297318938674e+33       1.379414667854e+34       4.066036797913e-08       1.702427280332e+44       4.163404213602e+44       4.163404213602e+44       1.387801404480e+44      -1.164741326096e+53       2.834660881346e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338257e-26       4.800313035958e-09       2.012173140843e+22       1.344542322611e+04       1.392264757585e-10       1.298455661859e+18       2.770937130785e-09       2.393258779894e+44       2.249742854860e+33       1.350847825546e+34       4.066036797913e-08       1.655581968676e+44       4.048840748728e+44       4.048840748728e+44       1.349613582857e+44      -1.124817675158e+53       3.543326101683e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587429e-26       4.833054845221e-09       1.984295769576e+22       1.344542322611e+04       1.402010610888e-10       1.289429654279e+18       2.790333690700e-09       2.327404011992e+44       2.203152042927e+33       1.322872585241e+34       4.066036797913e-08       1.610025689010e+44       3.937429701157e+44       3.937429701157e+44       1.312476567001e+44      -1.086262480776e+53       4.251991322019e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473291e-26       4.867615643889e-09       1.956804621450e+22       1.344542322611e+04       1.411824685164e-10       1.280466389552e+18       2.809866026535e-09       2.263361355047e+44       2.157526098491e+33       1.295476695219e+34       4.066036797913e-08       1.565722971328e+44       3.829084326526e+44       3.829084326526e+44       1.276361442125e+44      -1.049028836586e+53       4.960656542355e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469138e-26       4.900357453153e-09       1.929694345589e+22       1.344542322611e+04       1.421707457960e-10       1.271565431531e+18       2.829535088721e-09       2.201080945604e+44       2.112845039730e+33       1.268648157486e+34       4.066036797913e-08       1.522639321645e+44       3.723720267397e+44       3.723720267397e+44       1.241240089083e+44      -1.013071444024e+53       5.669321762691e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713363994e-26       4.934918251820e-09       1.902959665252e+22       1.344542322611e+04       1.431659410166e-10       1.262726347102e+18       2.849341834342e-09       2.140514292293e+44       2.069089298634e+33       1.242375222521e+34       4.066036797913e-08       1.480741195137e+44       3.621255487575e+44       3.621255487575e+44       1.207085162477e+44      -9.783465572180e+52       6.377986983027e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267045e-26       4.969479050487e-09       1.876595376803e+22       1.344542322611e+04       1.441681026037e-10       1.253948706159e+18       2.869287227182e-09       2.081614238068e+44       2.026239712435e+33       1.216646384126e+34       4.066036797913e-08       1.439995970030e+44       3.521610208240e+44       3.521610208240e+44       1.173870069366e+44      -9.448119297674e+52       7.086652203363e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612137e-26       5.004039849155e-09       1.850596348701e+22       1.344542322611e+04       1.451772793219e-10       1.245232081588e+18       2.889372237772e-09       2.024334923495e+44       1.984277515214e+33       1.191450374391e+34       4.066036797913e-08       1.400371922191e+44       3.424706845824e+44       3.424706845824e+44       1.141568948562e+44      -9.124267633437e+52       7.795317423698e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162341e-26       5.040419637226e-09       1.824957520496e+22       1.344542322611e+04       1.461935202772e-10       1.236576049243e+18       2.909597843437e-09       1.968631751041e+44       1.943184329682e+33       1.166776158758e+34       4.066036797913e-08       1.361838200436e+44       3.330469951613e+44       3.330469951613e+44       1.110156650492e+44      -8.811516580562e+52       8.503982644034e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014572e-26       5.074980435893e-09       1.799673901849e+22       1.344542322611e+04       1.472168749191e-10       1.227980187927e+18       2.929965028341e-09       1.914461350357e+44       1.902942159133e+33       1.142612931186e+34       4.066036797913e-08       1.324364802505e+44       3.238826152995e+44       3.238826152995e+44       1.079608717621e+44      -8.509485645180e+52       9.212647864370e-07       1.102742781203e+01 
       9.069584935070e+13       9.188846604286e-26       5.109541234560e-09       1.774740571559e+22       1.344542322611e+04       1.482473930435e-10       1.219444079372e+18       2.950474783539e-09       1.861781544502e+44       1.863533379564e+33       1.118950109422e+34       4.066036797913e-08       1.287922551705e+44       3.149704096338e+44       3.149704096338e+44       1.049901365402e+44      -8.217807375551e+52       9.921313084705e-07       1.023975439688e+01 
       9.006539160943e+13       9.317940710229e-26       5.145921022631e-09       1.750152676606e+22       1.344542322611e+04       1.492851247948e-10       1.210967308214e+18       2.971128107024e-09       1.810551317112e+44       1.824940731950e+33       1.095777330365e+34       4.066036797913e-08       1.252483074190e+44       3.063034391430e+44       3.063034391430e+44       1.021011463767e+44      -7.936126915016e+52       1.062997830504e-06       9.557104103756e+00 
       8.943931639467e+13       9.448848459267e-26       5.182300810702e-09       1.725905431203e+22       1.344542322611e+04       1.503301206684e-10       1.202549461980e+18       2.991926003773e-09       1.760730780460e+44       1.787147314695e+33       1.073084445527e+34       4.066036797913e-08       1.218018776871e+44       2.978749557456e+44       2.978749557456e+44       9.929165191103e+43      -7.664101570284e+52       1.133864352538e-06       8.959785097271e+00 
       8.881759324197e+13       9.581595331271e-26       5.218680598773e-09       1.701994115869e+22       1.344542322611e+04       1.513824315131e-10       1.194190131063e+18       3.012869485799e-09       1.712281144399e+44       1.750136576221e+33       1.050861516591e+34       4.066036797913e-08       1.184502825932e+44       2.896783970454e+44       2.896783970454e+44       9.655946567772e+43      -7.401400394502e+52       1.204730874571e-06       8.432738915078e+00 
       8.820019189868e+13       9.716207164080e-26       5.255060386844e-09       1.678414076509e+22       1.344542322611e+04       1.524421085337e-10       1.185888908702e+18       3.033959572199e-09       1.665164686165e+44       1.713892307724e+33       1.029098811052e+34       4.066036797913e-08       1.151909125938e+44       2.817073812223e+44       2.817073812223e+44       9.390246040343e+43      -7.147703784634e+52       1.275597396605e-06       7.964253419796e+00 
       8.758708232243e+13       9.852710158528e-26       5.291440174915e-09       1.655160723505e+22       1.344542322611e+04       1.535092032934e-10       1.177645390965e+18       3.055197289205e-09       1.619344721000e+44       1.678398636077e+33       1.007786797965e+34       4.066036797913e-08       1.120212299515e+44       2.739557020632e+44       2.739557020632e+44       9.131856735048e+43      -6.902703092624e+52       1.346463918638e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883544e-26       5.329638952389e-09       1.632229530826e+22       1.344542322611e+04       1.545837677165e-10       1.169459176728e+18       3.076583670229e-09       1.574785573594e+44       1.643640016871e+33       9.869161437605e+33       4.066036797913e-08       1.089387667592e+44       2.664173241301e+44       2.664173241301e+44       8.880577470620e+43      -6.666100249893e+52       1.417330440672e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628133e-25       5.366018740460e-09       1.609616035149e+22       1.344542322611e+04       1.556658540905e-10       1.161329867655e+18       3.098119755920e-09       1.531452550306e+44       1.609601227618e+33       9.664777081641e+33       4.066036797913e-08       1.059411230189e+44       2.590863780608e+44       2.590863780608e+44       8.636212601650e+43      -6.437607404716e+52       1.488196962705e-06       6.826502931253e+00 
       8.577320689599e+13       1.027383367258e-25       5.404217517935e-09       1.587315834983e+22       1.344542322611e+04       1.567555150691e-10       1.153257068177e+18       3.119806594212e-09       1.489311912151e+44       1.576267361073e+33       9.464625401901e+33       4.066036797913e-08       1.030259647727e+44       2.519571559988e+44       2.519571559988e+44       8.398571866260e+43      -6.216946572011e+52       1.559063484739e-06       6.516207343468e+00 
       8.517696811915e+13       1.041817076185e-25       5.440597306006e-09       1.565324589821e+22       1.344542322611e+04       1.578528036746e-10       1.145240385479e+18       3.141645240371e-09       1.448330848536e+44       1.543623818716e+33       9.268618742223e+33       4.066036797913e-08       1.001910222855e+44       2.450241071498e+44       2.450241071498e+44       8.167470237968e+43      -6.003849295147e+52       1.629930006772e-06       6.232893980709e+00 
       8.458487400114e+13       1.056453564288e-25       5.478796083480e-09       1.543638019288e+22       1.344542322611e+04       1.589577733003e-10       1.137279429473e+18       3.163636757054e-09       1.408477451704e+44       1.511656304350e+33       9.076671261752e+33       4.066036797913e-08       9.743408827823e+43       2.382818334592e+44       2.382818334592e+44       7.942727781622e+43      -5.798056319338e+52       1.700796528806e-06       5.973190064846e+00 
