# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=7.75386e-06 to 1.63211 h/Mpc,
# number of wavenumbers equal to 556
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       7.753863804827e-06       6.674512254704e+10       6.674512254438e+10       8.899346520660e+10       8.899346432729e+10       0.000000000000e+00       6.675931072390e+10 
       1.856717941020e-05       1.166929298473e+10       1.166929297854e+10       1.555891166744e+10       1.555890785574e+10       0.000000000000e+00       1.167177346333e+10 
       2.940539212795e-05       4.673750727981e+09       4.673750710169e+09       6.231300301199e+09       6.231290699012e+09       0.000000000000e+00       4.674743998098e+09 
       4.028903453577e-05       2.506254596998e+09       2.506254562883e+09       3.340982870091e+09       3.340964879704e+09       0.000000000000e+00       2.506786903501e+09 
       5.123886720149e-05       1.563043712900e+09       1.563043657403e+09       2.082945445065e+09       2.082916483139e+09       0.000000000000e+00       1.563375239340e+09 
       6.227600928128e-05       1.069553078905e+09       1.069552996721e+09       1.424433469323e+09       1.424390994757e+09       0.000000000000e+00       1.069779356536e+09 
       7.342207198469e-05       7.793933851529e+08       7.793932711386e+08       1.036929541408e+09       1.036871064732e+09       0.000000000000e+00       7.795575706964e+08 
       8.469929618955e-05       5.944630998992e+08       5.944629489382e+08       7.896295746012e+08       7.895526581373e+08       0.000000000000e+00       5.945874950761e+08 
       9.613069549933e-05       4.694024355967e+08       4.694022424384e+08       6.220535429516e+08       6.219557973010e+08       0.000000000000e+00       4.694996996451e+08 
       1.077402060497e-04       3.809036995978e+08       3.809034593272e+08       5.031245136250e+08       5.030036432826e+08       0.000000000000e+00       3.809815372950e+08 
       1.195528443845e-04       3.159958050427e+08       3.159955089659e+08       4.155446882055e+08       4.153983892564e+08       0.000000000000e+00       3.160591607881e+08 
       1.315948747309e-04       2.669841080570e+08       2.669837494941e+08       3.490579341247e+08       3.488841374938e+08       0.000000000000e+00       2.670362934168e+08 
       1.438939870015e-04       2.290789596475e+08       2.290785342810e+08       2.972762976698e+08       2.970730626657e+08       0.000000000000e+00       2.291222676732e+08 
       1.564794868327e-04       1.991672639459e+08       1.991667630139e+08       2.560498895358e+08       2.558154202831e+08       0.000000000000e+00       1.992033251896e+08 
       1.693824989129e-04       1.751561824000e+08       1.751556026397e+08       2.225891076753e+08       2.223218812318e+08       0.000000000000e+00       1.751861848223e+08 
       1.826361847652e-04       1.555959537090e+08       1.555952852916e+08       1.949634173672e+08       1.946621364141e+08       0.000000000000e+00       1.556207767299e+08 
       1.962759759862e-04       1.394570110329e+08       1.394562484701e+08       1.718028621561e+08       1.714665968008e+08       0.000000000000e+00       1.394773184184e+08 
       2.103398237027e-04       1.259918997809e+08       1.259910316054e+08       1.521147601352e+08       1.517429275223e+08       0.000000000000e+00       1.260081971791e+08 
       2.248684646451e-04       1.146470080725e+08       1.146460259069e+08       1.351667606449e+08       1.347592808553e+08       0.000000000000e+00       1.146596882194e+08 
       2.399057037287e-04       1.050051079670e+08       1.050040041454e+08       1.204104974344e+08       1.199678598730e+08       0.000000000000e+00       1.050144803346e+08 
       2.554987123222e-04       9.674753756369e+07       9.674630291300e+07       1.074306383398e+08       1.069539722072e+08       0.000000000000e+00       9.675384968307e+07 
       2.716983404247e-04       8.962704108411e+07       8.962566619644e+07       9.590984922557e+07       9.540103509602e+07       0.000000000000e+00       8.963049592041e+07 
       2.885594396973e-04       8.344958301823e+07       8.344805836036e+07       8.560405521048e+07       8.506582522167e+07       0.000000000000e+00       8.345035180941e+07 
       3.061411926364e-04       7.806099748448e+07       7.805931328189e+07       7.632587248914e+07       7.576190267230e+07       0.000000000000e+00       7.805923045738e+07 
       3.245074410566e-04       7.333770426435e+07       7.333585045385e+07       6.793187360003e+07       6.734688115868e+07       0.000000000000e+00       7.333353917237e+07 
       3.437270043903e-04       6.917961574548e+07       6.917758244063e+07       6.031317596775e+07       5.971298674365e+07       0.000000000000e+00       6.917318507627e+07 
       3.638739750607e-04       6.550493049178e+07       6.550270850934e+07       5.338810590712e+07       5.277967205707e+07       0.000000000000e+00       6.549636732255e+07 
       3.850279742860e-04       6.224633280480e+07       6.224391221511e+07       4.709804662347e+07       4.648946957356e+07       0.000000000000e+00       6.223577583235e+07 
       4.072743471635e-04       5.934792308541e+07       5.934529584000e+07       4.140058914508e+07       4.080097084890e+07       0.000000000000e+00       5.933552044414e+07 
       4.307042708504e-04       5.676298829852e+07       5.676014693608e+07       3.626648399644e+07       3.568576637780e+07       0.000000000000e+00       5.674889965773e+07 
       4.554147443325e-04       5.445214410313e+07       5.444908060145e+07       3.167465297067e+07       3.112328662464e+07       0.000000000000e+00       5.443654076790e+07 
       4.815084230721e-04       5.238210673121e+07       5.237882102278e+07       2.760829866432e+07       2.709676573599e+07       0.000000000000e+00       5.236517295357e+07 
       5.090932573759e-04       5.052442572726e+07       5.052091792796e+07       2.404991390393e+07       2.358813248154e+07       0.000000000000e+00       5.050635264680e+07 
       5.382818905460e-04       4.885459424963e+07       4.885085914604e+07       2.097687699202e+07       2.057345354712e+07       0.000000000000e+00       4.883557224141e+07 
       5.691907729658e-04       4.735158530473e+07       4.734762991784e+07       1.835746795424e+07       1.801883451938e+07       0.000000000000e+00       4.733180108746e+07 
       6.019389526475e-04       4.599706926818e+07       4.599290676644e+07       1.614769401729e+07       1.587729249171e+07       0.000000000000e+00       4.597669428908e+07 
       6.366465129622e-04       4.477483428066e+07       4.477047274377e+07       1.429020921827e+07       1.408779687665e+07       0.000000000000e+00       4.475401124280e+07 
       6.734326456057e-04       4.367083117427e+07       4.366628915018e+07       1.271659387391e+07       1.257786297127e+07       0.000000000000e+00       4.364967023897e+07 
       7.124133720730e-04       4.267241412947e+07       4.266771140717e+07       1.135275547682e+07       1.126946207900e+07       0.000000000000e+00       4.265098562427e+07 
       7.536989596679e-04       4.176851689811e+07       4.176368677357e+07       1.012847222796e+07       1.008918900743e+07       0.000000000000e+00       4.174685671358e+07 
       7.973911163748e-04       4.094881429896e+07       4.094387519983e+07       8.988512905391e+06       8.980000369946e+06       0.000000000000e+00       4.092692468297e+07 
       8.435800888618e-04       4.020441896966e+07       4.019940289467e+07       7.903412262672e+06       7.912449240293e+06       0.000000000000e+00       4.018229318921e+07 
       8.923418236702e-04       3.952712527212e+07       3.952206520924e+07       6.874414267287e+06       6.889643320512e+06       0.000000000000e+00       3.950476340798e+07 
       9.437353762849e-04       3.890941924958e+07       3.890434173490e+07       5.929384452131e+06       5.942670015521e+06       0.000000000000e+00       3.888684281792e+07 
       9.978007594598e-04       3.834456305143e+07       3.833949236013e+07       5.108023932147e+06       5.114883646660e+06       0.000000000000e+00       3.832182344676e+07 
       1.054557406006e-03       3.782644784463e+07       3.782140388112e+07       4.440030519886e+06       4.439020410105e+06       0.000000000000e+00       3.780361875587e+07 
       1.114003381099e-03       3.734952347256e+07       3.734451834601e+07       3.925476472384e+06       3.916925258196e+06       0.000000000000e+00       3.732668025996e+07 
       1.176115418656e-03       3.690855885565e+07       3.690358788635e+07       3.528552097422e+06       3.513397309576e+06       0.000000000000e+00       3.688575241946e+07 
       1.240849783726e-03       3.649935810718e+07       3.649442402161e+07       3.191286034595e+06       3.170693798197e+06       0.000000000000e+00       3.647660737146e+07 
       1.308143889286e-03       3.611769668204e+07       3.611278375430e+07       2.861953991753e+06       2.837778524987e+06       0.000000000000e+00       3.609498483348e+07 
       1.377918532921e-03       3.575999569511e+07       3.575508255136e+07       2.521908721064e+06       2.497262680600e+06       0.000000000000e+00       3.573729491737e+07 
