# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.114110439710e-10       5.849566033340e-15       5.667960510626e-13       2.691702524474e-19       1.165788739337e-08      -6.157733104727e-11      -2.366821708621e-12 
    3       1.092679171162e-10       1.066132901791e-14       6.634690755774e-13       5.386315730428e-19       7.068484940969e-09      -1.365591025585e-11      -2.110315576341e-12 
    4       1.069439866290e-10       1.376920835849e-14       6.752854587581e-13       8.983556951854e-19       4.886573963515e-09       2.933788384153e-12      -1.760121308824e-12 
    5       1.049783201455e-10       1.431841249377e-14       6.365385566168e-13       1.348702130686e-18       3.630890962401e-09       9.220562887882e-12      -1.398217367069e-12 
    6       1.035163232692e-10       1.262423715944e-14       5.702527018642e-13       1.890096615680e-18       2.824425214988e-09       1.155321753349e-11      -1.053737116206e-12 
    7       1.025720263072e-10       9.682693702722e-15       4.930863173286e-13       2.523016723890e-18       2.271241569328e-09       1.220651799708e-11      -7.448752132874e-13 
    8       1.021426889803e-10       6.567059032462e-15       4.153043023445e-13       3.247975912404e-18       1.872981720192e-09       1.209292861956e-11      -4.816027335553e-13 
    9       1.021069546894e-10       4.037391435778e-15       3.432931297193e-13       4.065506625687e-18       1.574922121788e-09       1.157490493262e-11      -2.686479743553e-13 
   10       1.024258786863e-10       2.403248460296e-15       2.808394195164e-13       4.976143119054e-18       1.344637903774e-09       1.085626162535e-11      -1.067742172338e-13 
   11       1.030549963856e-10       1.592481195768e-15       2.298722707103e-13       5.980404671816e-18       1.105986371504e-09       1.095341546960e-11       5.754205757021e-15 
   12       1.039257538351e-10       1.325457230668e-15       1.911903580511e-13       7.078779842486e-18       9.638564215739e-10       9.986241738548e-12       7.536869166730e-14 
   13       1.049598289156e-10       1.294598236036e-15       1.646885396741e-13       8.271712374427e-18       8.475633693393e-10       9.292427872807e-12       1.093823765711e-13 
   14       1.061707102803e-10       1.283122975279e-15       1.493132319630e-13       9.559589292054e-18       7.510949835301e-10       8.559689294113e-12       1.149702733456e-13 
   15       1.075040107170e-10       1.202586732023e-15       1.432830756629e-13       1.094273163772e-17       6.701250752078e-10       8.043557527332e-12       1.008021854600e-13 
   16       1.088989346451e-10       1.066203350510e-15       1.445462317877e-13       1.242138819150e-17       6.014625950698e-10       7.581948008795e-12       7.426209838357e-14 
   17       1.104078227826e-10       9.328853492762e-16       1.509314537376e-13       1.399573239462e-17       5.426994924933e-10       7.129507966319e-12       4.210225664487e-14 
   18       1.119799857109e-10       8.580446350988e-16       1.602577482664e-13       1.566586100323e-17       4.917983922370e-10       6.729438856683e-12       1.005705691297e-14 
   19       1.136183815465e-10       8.538186586631e-16       1.710053650118e-13       1.743180537317e-17       4.479454954442e-10       6.394816917992e-12      -1.830422514008e-14 
   20       1.153047271597e-10       9.107078103899e-16       1.815641654025e-13       1.929352090159e-17       4.093913197466e-10       6.117884927538e-12      -4.007368550217e-14 
   21       1.170352687515e-10       1.000069313709e-15       1.911548023652e-13       2.125091931050e-17       3.755090282266e-10       5.869950340571e-12      -5.415546562184e-14 
