# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.326212236469e+13       8.690109267083e-26       4.969479050487e-09       1.876595376794e+22       1.515460971389e+04       1.624947977768e-10       1.413351065526e+18       2.869287227192e-09       2.081614238068e+44       1.083067997738e+34       4.112273803912e+28       3.733861180667e-08       1.439995970030e+44       3.521610208206e+44       9.464906672842e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612177e-26       5.004039849155e-09       1.850596348692e+22       1.515460971389e+04       1.636322613613e-10       1.403526380860e+18       2.889372237782e-09       2.024334923495e+44       1.060638315482e+34       4.027111104095e+28       3.733861180667e-08       1.400371922191e+44       3.424706845791e+44       1.041139734013e-06       1.303241468694e+01 
       9.197003533823e+13       8.935999162381e-26       5.040419637226e-09       1.824957520487e+22       1.515460971389e+04       1.647776871908e-10       1.393769990923e+18       2.909597843446e-09       1.968631751041e+44       1.038673138360e+34       3.943712072210e+28       3.733861180667e-08       1.361838200436e+44       3.330469951581e+44       1.135788800741e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014613e-26       5.074980435893e-09       1.799673901840e+22       1.515460971389e+04       1.659311310011e-10       1.384081420977e+18       2.929965028350e-09       1.914461350357e+44       1.017162846753e+34       3.862040183764e+28       3.733861180667e-08       1.324364802505e+44       3.238826152964e+44       1.230437867469e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604327e-26       5.109541234560e-09       1.774740571550e+22       1.515460971389e+04       1.670926489181e-10       1.374460199579e+18       2.950474783548e-09       1.861781544502e+44       9.960980202568e+33       3.782059670662e+28       3.733861180667e-08       1.287922551705e+44       3.149704096307e+44       1.325086934198e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710271e-26       5.145921022631e-09       1.750152676597e+22       1.515460971389e+04       1.682622974606e-10       1.364905858569e+18       2.971128107032e-09       1.810551317112e+44       9.754694335593e+33       3.703735505545e+28       3.733861180667e-08       1.252483074190e+44       3.063034391400e+44       1.419736000926e-06       9.557104103758e+00 
       8.943931639467e+13       9.448848459310e-26       5.182300810702e-09       1.725905431194e+22       1.515460971389e+04       1.694401335428e-10       1.355417933038e+18       2.991926003781e-09       1.760730780460e+44       9.552680523983e+33       3.627033386450e+28       3.733861180667e-08       1.218018776871e+44       2.978749557426e+44       1.514385067654e-06       8.959785097273e+00 
       8.881759324197e+13       9.581595331314e-26       5.218680598773e-09       1.701994115861e+22       1.515460971389e+04       1.706262144776e-10       1.345995961309e+18       3.012869485807e-09       1.712281144399e+44       9.354850296058e+33       3.551919721785e+28       3.733861180667e-08       1.184502825932e+44       2.896783970425e+44       1.609034134383e-06       8.432738915080e+00 
       8.820019189868e+13       9.716207164124e-26       5.255060386844e-09       1.678414076500e+22       1.515460971389e+04       1.718205979789e-10       1.336639484915e+18       3.033959572207e-09       1.665164686165e+44       9.161117012335e+33       3.478361615621e+28       3.733861180667e-08       1.151909125938e+44       2.817073812194e+44       1.703683201111e-06       7.964253419798e+00 
       8.758708232243e+13       9.852710158572e-26       5.291440174915e-09       1.655160723496e+22       1.515460971389e+04       1.730233421648e-10       1.327348048575e+18       3.055197289212e-09       1.619344721000e+44       8.971395827581e+33       3.406326853285e+28       3.733861180667e-08       1.120212299515e+44       2.739557020604e+44       1.798332267839e-06       7.545082187177e+00 
       8.697823467967e+13       9.991130883590e-26       5.329638952389e-09       1.632229530818e+22       1.515460971389e+04       1.742345055599e-10       1.318121200173e+18       3.076583670236e-09       1.574785573594e+44       8.785603653655e+33       3.335783887247e+28       3.733861180667e-08       1.089387667592e+44       2.664173241274e+44       1.892981334568e-06       7.167828077818e+00 
       8.637361934426e+13       1.013149628137e-25       5.366018740460e-09       1.609616035140e+22       1.515460971389e+04       1.754541470989e-10       1.308958490738e+18       3.098119755928e-09       1.531452550306e+44       8.603659123123e+33       3.266701823311e+28       3.733861180667e-08       1.059411230189e+44       2.590863780581e+44       1.987630401296e-06       6.826502931255e+00 
