# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495051227000e-10       7.308367370656e-15       4.815629289994e-13       2.389018922573e-19       8.629684192676e-09       4.852350221643e-10      -2.515759502241e-12 
    3       1.409080331477e-10       1.238747891358e-14       6.069035062693e-13       4.780360014646e-19       5.411992642396e-09       3.468026583838e-10      -2.211454345707e-12 
    4       1.324408762131e-10       1.446576455194e-14       6.278236810020e-13       7.972345298616e-19       3.777106112696e-09       2.638671575044e-10      -1.764129241858e-12 
    5       1.257342316792e-10       1.338056512545e-14       5.879819569623e-13       1.196784657584e-18       2.822370939260e-09       2.092937745984e-10      -1.309600406641e-12 
    6       1.207927527417e-10       1.032628189854e-14       5.174283962737e-13       1.677026793051e-18       2.205521521401e-09       1.708714047492e-10      -8.949578183598e-13 
    7       1.173218009639e-10       6.845425410961e-15       4.365635357537e-13       2.238343290272e-18       1.778490300199e-09       1.425099888261e-10      -5.445156543350e-13 
    8       1.149988335808e-10       4.046463941581e-15       3.576919602939e-13       2.881145946508e-18       1.468562825942e-09       1.208411998862e-10      -2.690613718905e-13 
    9       1.135804914230e-10       2.340626760941e-15       2.880867470046e-13       3.605862774610e-18       1.236009139858e-09       1.038424281987e-10      -7.020952182431e-14 
   10       1.128528832464e-10       1.576298112149e-15       2.318022556770e-13       4.412924571531e-18       1.056762295221e-09       9.025662696017e-11       5.737549860140e-14 
   11       1.126745699410e-10       1.351246631691e-15       1.905722941477e-13       5.302751810543e-18       8.887915021701e-10       7.947272932820e-11       1.232792241528e-13 
   12       1.129401388823e-10       1.294632678993e-15       1.640704121135e-13       6.275742369221e-18       7.766155397665e-10       7.025936326588e-11       1.421479264898e-13 
   13       1.135262382529e-10       1.208133554954e-15       1.505283438448e-13       7.332260569038e-18       6.845328741069e-10       6.272355643380e-11       1.277443632467e-13 
   14       1.143347556499e-10       1.063434445365e-15       1.473950374538e-13       8.472627946848e-18       6.079179570277e-10       5.618805322568e-11       9.282942003085e-14 
   15       1.153726151046e-10       9.203733155798e-16       1.516570886935e-13       9.697116105901e-18       5.434290108856e-10       5.072721638384e-11       4.963953992301e-14 
   16       1.166034970986e-10       8.404526819301e-16       1.602701962736e-13       1.100594190730e-17       4.885987299812e-10       4.610158633513e-11       7.281512017382e-15 
   17       1.179395550485e-10       8.411429695739e-16       1.707571298554e-13       1.239926516553e-17       4.415632987162e-10       4.210941202013e-11      -2.788548816854e-14 
   18       1.193886883909e-10       8.949829254956e-16       1.812487072185e-13       1.387718768178e-17       4.007376526524e-10       3.856045820607e-11      -5.230378922836e-14 
   19       1.209588021759e-10       9.692834409261e-16       1.907647699216e-13       1.543976215040e-17       3.654765809717e-10       3.542651783597e-11      -6.508944752650e-14 
   20       1.225917137074e-10       1.030537699224e-15       1.985626309838e-13       1.708698390361e-17       3.344193069019e-10       3.265804808813e-11      -6.707225885957e-14 
   21       1.242998077750e-10       1.081644570736e-15       2.047211069446e-13       1.881881612526e-17       3.070783214669e-10       3.021127909786e-11      -6.039872729605e-14 
   22       1.260840533400e-10       1.140689840547e-15       2.096918371200e-13       2.063517998730e-17       2.828004784371e-10       2.800398134597e-11      -4.842649458653e-14 
   23       1.279331543128e-10       1.227072776149e-15       2.139227704431e-13       2.253598462246e-17       2.612522461474e-10       2.600371007780e-11      -3.409567129189e-14 
   24       1.298140768090e-10       1.359409369386e-15       2.179345356510e-13       2.452111721415e-17       2.419355590978e-10       2.417552177407e-11      -2.049360057633e-14 
   25       1.317441380513e-10       1.538128237844e-15       2.222208755214e-13       2.659047794352e-17       2.246234998931e-10       2.252952428543e-11      -9.461346562661e-15 
   26       1.337364976907e-10       1.756230925943e-15       2.272261194703e-13       2.874396786294e-17       2.090030899017e-10       2.106948503014e-11      -2.340230764988e-15 
   27       1.357722296148e-10       2.007295065074e-15       2.329722756100e-13       3.098151952128e-17       1.948870660947e-10       1.976266817205e-11       6.612356636817e-16 
   28       1.378153497427e-10       2.284898777761e-15       2.392776862762e-13       3.330308922284e-17       1.820321198387e-10       1.855801744750e-11      -8.759395536681e-17 
   29       1.398754952401e-10       2.588556376714e-15       2.458384156441e-13       3.570869231098e-17       1.703726780832e-10       1.745076355001e-11      -3.785819452759e-15 
   30       1.419668829821e-10       2.919513099397e-15       2.522178056340e-13       3.819838344348e-17       1.597836267492e-10       1.644172822432e-11      -9.206910450072e-15 
   31       1.440933502919e-10       3.278394612231e-15       2.579010812589e-13       4.077225650308e-17       1.500490720679e-10       1.552246931599e-11      -1.491004600945e-14 
   32       1.462578023643e-10       3.663088633499e-15       2.625163321835e-13       4.343046817468e-17       1.411188217345e-10       1.468402318580e-11      -2.001587287055e-14 
   33       1.484535751692e-10       4.069968970762e-15       2.656855966938e-13       4.617323161506e-17       1.329298050840e-10       1.390952621862e-11      -2.369405276144e-14 
   34       1.506678462461e-10       4.495884830457e-15       2.670418852313e-13       4.900081020977e-17       1.253675165271e-10       1.317812483689e-11      -2.518319547836e-14 
   35       1.529073249517e-10       4.943424362264e-15       2.665030564869e-13       5.191349916501e-17       1.183933092402e-10       1.249010165737e-11      -2.459285468338e-14 
   36       1.551798970576e-10       5.417558653732e-15       2.640956476951e-13       5.491164538070e-17       1.119512885697e-10       1.184966442261e-11      -2.239316391765e-14 
   37       1.574880372159e-10       5.923450004418e-15       2.598905160409e-13       5.799563243668e-17       1.059576775239e-10       1.125812481038e-11      -1.915798449972e-14 
   38       1.598321077866e-10       6.463425247848e-15       2.540189917101e-13       6.116579700469e-17       1.003970259615e-10       1.071433854898e-11      -1.536639155296e-14 
   39       1.622069163151e-10       7.039048655842e-15       2.466676695360e-13       6.442249012968e-17       9.525172163117e-11       1.021386064290e-11      -1.155077293688e-14 
   40       1.645999400608e-10       7.651933780318e-15       2.380784830516e-13       6.776610268676e-17       9.047272356483e-11       9.748418335414e-12      -8.359215171663e-15 
   41       1.669970402058e-10       8.303446181232e-15       2.284802355066e-13       7.119702693501e-17       8.599665546477e-11       9.308564068393e-12      -6.393425617458e-15 
   42       1.694035166607e-10       8.993692832016e-15       2.178481794418e-13       7.471552037434e-17       8.181036911935e-11       8.893441180727e-12      -5.641836906956e-15 
   43       1.718287345436e-10       9.722205405989e-15       2.060719182745e-13       7.832180159700e-17       7.790278380037e-11       8.503659444576e-12      -5.874005997968e-15 
   44       1.742800534113e-10       1.048819099402e-14       1.930190341219e-13       8.201608689421e-17       7.424551215010e-11       8.138483865887e-12      -6.789526079334e-15 
   45       1.767624131891e-10       1.129081687677e-14       1.785448539928e-13       8.579855311327e-17       7.080300634855e-11       7.796299823753e-12      -8.058651787802e-15 
   46       1.792775490469e-10       1.213021235170e-14       1.625288560580e-13       8.966921401468e-17       6.756986083110e-11       7.476445724511e-12      -9.469260745540e-15 
   47       1.818241052954e-10       1.300673321695e-14       1.448465300029e-13       9.362800620880e-17       6.454231773666e-11       7.177732321341e-12      -1.081617414359e-14 
   48       1.843975136831e-10       1.392068154682e-14       1.253581524094e-13       9.767482016975e-17       6.170701531722e-11       6.897830332805e-12      -1.185799521882e-14 
   49       1.869897277167e-10       1.487230370091e-14       1.039078991015e-13       1.018094976853e-16       5.904027371276e-11       6.633188688511e-12      -1.231520866580e-14 
   50       1.895924908021e-10       1.586179783412e-14       8.036692537981e-14       1.060318258286e-16       5.651522859461e-11       6.380064784063e-12      -1.195872610129e-14 
   51       1.922088028514e-10       1.688934344874e-14       5.477845176055e-14       1.103415228618e-16       5.412717186375e-11       6.138134597581e-12      -1.090826637089e-14 
   52       1.948441069129e-10       1.795507642264e-14       2.725052575430e-14       1.147382440976e-16       5.187385481672e-11       5.907721181118e-12      -9.411681920603e-15 
   53       1.975029303581e-10       1.905907870241e-14      -2.083350624366e-15       1.192215823944e-16       4.974790472742e-11       5.688739571121e-12      -7.763891310911e-15 
   54       2.001887854995e-10       2.020137675961e-14      -3.306303943474e-14       1.237910654419e-16       4.773647993342e-11       5.480667363946e-12      -6.309234913434e-15 
   55       2.029041747847e-10       2.138195868277e-14      -6.554072182386e-14       1.284462079582e-16       4.582518904956e-11       5.282780295078e-12      -5.360881036503e-15 
   56       2.056508355652e-10       2.260083396231e-14      -9.951180196671e-14       1.331866896820e-16       4.401177890923e-11       5.094994917787e-12      -4.930202124122e-15 
   57       2.084293820572e-10       2.385798585349e-14      -1.350144531213e-13       1.380122168441e-16       4.229524285822e-11       4.917183724636e-12      -4.934295982822e-15 
