# Matter power spectrum P(k) at redshift z=0
# for k=1.04523e-05 to 33.8029 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.350199069352e-02       2.579238321366e+04 
       1.363100920278e-02       2.583564379369e+04 
       1.376006402957e-02       2.587553070661e+04 
       1.388915528727e-02       2.591430865367e+04 
       1.401828311234e-02       2.595116540452e+04 
       1.414744766388e-02       2.598602910944e+04 
       1.427664912335e-02       2.601905081151e+04 
       1.440588769424e-02       2.604934754413e+04 
       1.453516360181e-02       2.607717509182e+04 
       1.466447709284e-02       2.610224643755e+04 
       1.479382843546e-02       2.612655228578e+04 
       1.492321791892e-02       2.614921250377e+04 
       1.505264585349e-02       2.616837042096e+04 
       1.518211257029e-02       2.618669254870e+04 
       1.531161842122e-02       2.620302689287e+04 
       1.544116377884e-02       2.621724089991e+04 
       1.557074903639e-02       2.622876074156e+04 
       1.570037460768e-02       2.623915056727e+04 
       1.583004092713e-02       2.624837924074e+04 
       1.595974844975e-02       2.625514453736e+04 
       1.608949765120e-02       2.626031277803e+04 
       1.621928902784e-02       2.626251930838e+04 
       1.634912309675e-02       2.626393569720e+04 
       1.647900039591e-02       2.626363574015e+04 
       1.660892148421e-02       2.626167526093e+04 
       1.673888694166e-02       2.625803674590e+04 
       1.686889736949e-02       2.625247174402e+04 
       1.699895339030e-02       2.624588946311e+04 
       1.712905564829e-02       2.623759563633e+04 
       1.725920480941e-02       2.622708231150e+04 
       1.738940156161e-02       2.621569361999e+04 
       1.751964661502e-02       2.620251290149e+04 
       1.764994070227e-02       2.618877034815e+04 
       1.778028457869e-02       2.617161860993e+04 
       1.791067902262e-02       2.615439244416e+04 
       1.804112483570e-02       2.613514672553e+04 
       1.817162284318e-02       2.611489088594e+04 
       1.830217389428e-02       2.609301106919e+04 
       1.843277886250e-02       2.606955304074e+04 
       1.856343864598e-02       2.604504753037e+04 
       1.869415416794e-02       2.601912594900e+04 
       1.882492637700e-02       2.599238321173e+04 
       1.895575624765e-02       2.596358561133e+04 
       1.908664478066e-02       2.593415070585e+04 
       1.921759300355e-02       2.590344771255e+04 
       1.934860197102e-02       2.587062117795e+04 
       1.947967276548e-02       2.583779168187e+04 
       1.961080649751e-02       2.580316187123e+04 
       1.974200430643e-02       2.576714538419e+04 
       1.987326736081e-02       2.573008367282e+04 
       2.000459685904e-02       2.569202547723e+04 
       2.013599402989e-02       2.565278899484e+04 
       2.026746013317e-02       2.561242095225e+04 
       2.039899646027e-02       2.557198526341e+04 
       2.053060433487e-02       2.552885943206e+04 
       2.066228511357e-02       2.548620483997e+04 
       2.079404018659e-02       2.544106803289e+04 
       2.092587097845e-02       2.539569096103e+04 
       2.105777894874e-02       2.534941655335e+04 
       2.118976559286e-02       2.530230819008e+04 
       2.132183244276e-02       2.525389737199e+04 
       2.145398106783e-02       2.520509434345e+04 
       2.158621307562e-02       2.515460939545e+04 
       2.171853011279e-02       2.510369086219e+04 
       2.185093386594e-02       2.505186854241e+04 
       2.198342606252e-02       2.499979249084e+04 
       2.211600847180e-02       2.494577944829e+04 
       2.224868290581e-02       2.489145154516e+04 
       2.238145122033e-02       2.483630810473e+04 
       2.251431531596e-02       2.478038590903e+04 
       2.264727713914e-02       2.472420759119e+04 
       2.278033868326e-02       2.466636200563e+04 
       2.291350198979e-02       2.460824115957e+04 
       2.304676914943e-02       2.454965142925e+04 
       2.318014230334e-02       2.448976629445e+04 
       2.331362364435e-02       2.442961729592e+04 
       2.344721541825e-02       2.436872191872e+04 
       2.358091992509e-02       2.430761969841e+04 
       2.371473952058e-02       2.424491379070e+04 
       2.384867661744e-02       2.418208045188e+04 
       2.398273368688e-02       2.411858502057e+04 
       2.411691326009e-02       2.405462037664e+04 
       2.425121792978e-02       2.398995031749e+04 
       2.438565035176e-02       2.392479714900e+04 
       2.452021324658e-02       2.385906140667e+04 
       2.465490940125e-02       2.379295380187e+04 
       2.478974167097e-02       2.372583395886e+04 
       2.492471298095e-02       2.365857799096e+04 
       2.505982632824e-02       2.359073978506e+04 
       2.519508478374e-02       2.352246616637e+04 
       2.533049149411e-02       2.345400206577e+04 
       2.546604968385e-02       2.338447974950e+04 
       2.560176265749e-02       2.331478202884e+04 
       2.573763380171e-02       2.324487653144e+04 
       2.587366658766e-02       2.317451358222e+04 
       2.600986457329e-02       2.310356335726e+04 
       2.614623140583e-02       2.303183007403e+04 
       2.628277082425e-02       2.296028903132e+04 
       2.641948666190e-02       2.288817158539e+04 
       2.655638284922e-02       2.281577788439e+04 
       2.669346341650e-02       2.274295051521e+04 
       2.683073249678e-02       2.266973576888e+04 
       2.696819432888e-02       2.259615318583e+04 
       2.710585326045e-02       2.252252213289e+04 
       2.724371375123e-02       2.244838001980e+04 
       2.738178037634e-02       2.237385214043e+04 
       2.752005782978e-02       2.229938069029e+04 
       2.765855092799e-02       2.222430313449e+04 
       2.779726461354e-02       2.214929500597e+04 
       2.793620395903e-02       2.207382786131e+04 
       2.807537417108e-02       2.199788241010e+04 
       2.821478059443e-02       2.192222969553e+04 
       2.835442871633e-02       2.184592515558e+04 
       2.849432417097e-02       2.176965882010e+04 
       2.863447274412e-02       2.169293554908e+04 
       2.877488037802e-02       2.161619451854e+04 
       2.891555317633e-02       2.153924842406e+04 
       2.905649740942e-02       2.146216023737e+04 
       2.919771951976e-02       2.138491876010e+04 
       2.933922612759e-02       2.130759865309e+04 
       2.948102403680e-02       2.122979305326e+04 
       2.962312024108e-02       2.115205934070e+04 
       2.976552193026e-02       2.107420105620e+04 
       2.990823649696e-02       2.099629633767e+04 
       3.005127154355e-02       2.091807623385e+04 
       3.019463488934e-02       2.083988276197e+04 
       3.033833457811e-02       2.076157850406e+04 
       3.048237888600e-02       2.068312697881e+04 
       3.062677632964e-02       2.060484473084e+04 
       3.077153567476e-02       2.052601315179e+04 
       3.091666594512e-02       2.044740138872e+04 
       3.106217643184e-02       2.036862196278e+04 
       3.120807670313e-02       2.029000055942e+04 
       3.135437661455e-02       2.021104134318e+04 
       3.150108631963e-02       2.013219977584e+04 
       3.164821628107e-02       2.005329517135e+04 
       3.179577728241e-02       1.997415552310e+04 
       3.194378044028e-02       1.989517566706e+04 
       3.209223721725e-02       1.981615271538e+04 
       3.224115943524e-02       1.973700985933e+04 
       3.239055928961e-02       1.965806633507e+04 
       3.254044936403e-02       1.957896039557e+04 
       3.269084264592e-02       1.949971348319e+04 
       3.284175254279e-02       1.942074214135e+04 
       3.299319289938e-02       1.934167672317e+04 
       3.314517801567e-02       1.926245161265e+04 
       3.329772266578e-02       1.918334039831e+04 
       3.345084211793e-02       1.910439372908e+04 
       3.360455215541e-02       1.902531552910e+04 
       3.375886909866e-02       1.894624694763e+04 
       3.391380982856e-02       1.886737865251e+04 
       3.406939181099e-02       1.878838578465e+04 
       3.422563312272e-02       1.870940396629e+04 
       3.438255247874e-02       1.863049552430e+04 
       3.454016926119e-02       1.855167182402e+04 
       3.469850354982e-02       1.847289058825e+04 
       3.485757615429e-02       1.839404846273e+04 
