# Matter power spectrum P(k) at redshift z=0
# for k=1.05647e-05 to 34.5534 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347290741885e-02       2.365017191229e+04 
       1.360170490045e-02       2.367683595657e+04 
       1.373053867659e-02       2.370133469084e+04 
       1.385940885813e-02       2.372367174285e+04 
       1.398831557901e-02       2.374389639102e+04 
       1.411725899584e-02       2.376203106014e+04 
       1.424623928760e-02       2.377811578455e+04 
       1.437525665533e-02       2.379218188167e+04 
       1.450431132182e-02       2.380425180706e+04 
       1.463340353142e-02       2.381436632084e+04 
       1.476253354982e-02       2.382254799309e+04 
       1.489170166384e-02       2.382884191189e+04 
       1.502090818131e-02       2.383326827450e+04 
       1.515015343092e-02       2.383586113325e+04 
       1.527943776212e-02       2.383665004894e+04 
       1.540876154504e-02       2.383566098995e+04 
       1.553812517046e-02       2.383292022602e+04 
       1.566752904973e-02       2.382847566773e+04 
       1.579697361479e-02       2.382233247282e+04 
       1.592645931818e-02       2.381451842503e+04 
       1.605598663305e-02       2.380507981148e+04 
       1.618555605322e-02       2.379401304300e+04 
       1.631516809325e-02       2.378138452935e+04 
       1.644482328855e-02       2.376719410153e+04 
       1.657452219543e-02       2.375148872597e+04 
       1.670426539129e-02       2.373427038485e+04 
       1.683405347470e-02       2.371557686740e+04 
       1.696388706564e-02       2.369544718640e+04 
       1.709376680557e-02       2.367388833404e+04 
       1.722369335775e-02       2.365093908661e+04 
       1.735366740733e-02       2.362659927037e+04 
       1.748368966168e-02       2.360094624572e+04 
       1.761376085058e-02       2.357394219153e+04 
       1.774388172648e-02       2.354565375097e+04 
       1.787405306480e-02       2.351608024765e+04 
       1.800427566425e-02       2.348527439767e+04 
       1.813455034707e-02       2.345323559241e+04 
       1.826487795941e-02       2.341997490950e+04 
       1.839525937170e-02       2.338555048904e+04 
       1.852569547893e-02       2.334995373184e+04 
       1.865618720111e-02       2.331323826895e+04 
       1.878673548362e-02       2.327540392468e+04 
       1.891734129765e-02       2.323648522663e+04 
       1.904800564060e-02       2.319648478731e+04 
       1.917872953656e-02       2.315545261707e+04 
       1.930951403675e-02       2.311337186184e+04 
       1.944036022004e-02       2.307028692227e+04 
       1.957126919339e-02       2.302619714443e+04 
       1.970224209245e-02       2.298117543225e+04 
       1.983328008202e-02       2.293518691395e+04 
       1.996438435668e-02       2.288829659604e+04 
       2.009555614131e-02       2.284047185018e+04 
       2.022679669172e-02       2.279177638650e+04 
       2.035810729529e-02       2.274219110389e+04 
       2.048948927155e-02       2.269175916531e+04 
       2.062094397288e-02       2.264051584081e+04 
       2.075247278519e-02       2.258846019407e+04 
       2.088407712863e-02       2.253561175759e+04 
       2.101575845831e-02       2.248197032350e+04 
       2.114751826504e-02       2.242758705277e+04 
       2.127935807611e-02       2.237245040324e+04 
       2.141127945613e-02       2.231660485524e+04 
       2.154328400780e-02       2.225998342567e+04 
       2.167537337279e-02       2.220280976323e+04 
       2.180754923261e-02       2.214487933544e+04 
       2.193981330953e-02       2.208631886184e+04 
       2.207216736751e-02       2.202710547369e+04 
       2.220461321313e-02       2.196727631043e+04 
       2.233715269666e-02       2.190679829526e+04 
       2.246978771299e-02       2.184576323210e+04 
       2.260252020279e-02       2.178414096823e+04 
       2.273535215350e-02       2.172195473367e+04 
       2.286828560053e-02       2.165925965785e+04 
       2.300132262838e-02       2.159601910765e+04 
       2.313446537186e-02       2.153222924550e+04 
       2.326771601730e-02       2.146795482577e+04 
       2.340107680384e-02       2.140317565456e+04 
       2.353455002474e-02       2.133795330564e+04 
       2.366813802873e-02       2.127226275996e+04 
       2.380184322141e-02       2.120608976794e+04 
       2.393566806670e-02       2.113950765818e+04 
       2.406961508831e-02       2.107250082362e+04 
       2.420368687129e-02       2.100510288954e+04 
       2.433788606360e-02       2.093730269202e+04 
       2.447221537779e-02       2.086913859985e+04 
       2.460667759263e-02       2.080054967277e+04 
       2.474127555489e-02       2.073165717453e+04 
       2.487601218114e-02       2.066238941765e+04 
       2.501089045959e-02       2.059279725990e+04 
       2.514591345205e-02       2.052283575084e+04 
       2.528108429588e-02       2.045264273800e+04 
       2.541640620607e-02       2.038210111667e+04 
       2.555188247734e-02       2.031130384550e+04 
       2.568751648636e-02       2.024022128100e+04 
       2.582331169398e-02       2.016884840197e+04 
       2.595927164762e-02       2.009725923455e+04 
       2.609539998367e-02       2.002540161638e+04 
       2.623170042999e-02       1.995325660836e+04 
       2.636817680855e-02       1.988099338049e+04 
       2.650483303808e-02       1.980842226827e+04 
       2.664167313685e-02       1.973568745130e+04 
       2.677870122559e-02       1.966273322140e+04 
       2.691592153044e-02       1.958960853438e+04 
       2.705333838606e-02       1.951631654097e+04 
       2.719095623882e-02       1.944283881828e+04 
       2.732877965014e-02       1.936916663058e+04 
       2.746681329992e-02       1.929542971597e+04 
       2.760506199009e-02       1.922147593066e+04 
       2.774353064836e-02       1.914742086762e+04 
       2.788222433201e-02       1.907324623133e+04 
       2.802114823192e-02       1.899894403895e+04 
       2.816030767666e-02       1.892450962688e+04 
       2.829970813683e-02       1.884999228427e+04 
       2.843935522949e-02       1.877538218632e+04 
       2.857925472282e-02       1.870067567771e+04 
       2.871941254090e-02       1.862588552405e+04 
       2.885983476876e-02       1.855103880987e+04 
       2.900052765755e-02       1.847612587505e+04 
       2.914149762997e-02       1.840115541743e+04 
       2.928275128589e-02       1.832611340546e+04 
       2.942429540822e-02       1.825096458467e+04 
       2.956613696904e-02       1.817585239170e+04 
       2.970828313589e-02       1.810068072858e+04 
       2.985074127846e-02       1.802550679788e+04 
       2.999351897543e-02       1.795029302848e+04 
       3.013662402172e-02       1.787502471534e+04 
       3.028006443593e-02       1.779977431844e+04 
       3.042384846821e-02       1.772450472475e+04 
       3.056798460842e-02       1.764925794830e+04 
       3.071248159462e-02       1.757401342948e+04 
       3.085734842201e-02       1.749870744223e+04 
       3.100259435221e-02       1.742350357628e+04 
       3.114822892300e-02       1.734827110640e+04 
       3.129426195843e-02       1.727305512540e+04 
       3.144070357953e-02       1.719788949312e+04 
       3.158756421536e-02       1.712270301647e+04 
       3.173485461470e-02       1.704757616222e+04 
       3.188258585820e-02       1.697246672482e+04 
       3.203076937122e-02       1.689746284079e+04 
       3.217941693716e-02       1.682246170883e+04 
