# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.211379431235e-10       5.456462062672e-15       4.769306015053e-13       3.245375994321e-19       1.037814325807e-08       2.515070998452e-10      -2.219275844494e-12 
    3       1.187741648046e-10       9.618442099045e-15       5.795847579142e-13       6.493418906248e-19       6.358879784283e-09       1.927050214885e-10      -1.972918519471e-12 
    4       1.151406581587e-10       1.183915503269e-14       5.959899225178e-13       1.082819810985e-18       4.427058370458e-09       1.528323633281e-10      -1.613821180497e-12 
    5       1.119821669696e-10       1.163965881906e-14       5.614355516352e-13       1.625301363047e-18       3.310780001540e-09       1.246331162342e-10      -1.243419975186e-12 
    6       1.096099307200e-10       9.630719381171e-15       5.002206762831e-13       2.277177877335e-18       2.591089039033e-09       1.038699021230e-10      -8.971832920023e-13 
    7       1.079970300482e-10       6.890396744120e-15       4.293146338470e-13       3.038889139742e-18       2.094735439546e-09       8.799279412231e-11      -5.947772982883e-13 
    8       1.070651531969e-10       4.367967838584e-15       3.590173360125e-13       3.910909120953e-18       1.735004390213e-09       7.552354797741e-11      -3.462047154965e-13 
    9       1.066699764874e-10       2.583601489020e-15       2.956191059409e-13       4.893730869033e-18       1.464000839171e-09       6.560664057573e-11      -1.550688030435e-13 
   10       1.067150845824e-10       1.609475707623e-15       2.427068761064e-13       5.987851157362e-18       1.253622744082e-09       5.761959368250e-11      -2.000937674616e-14 
   11       1.071687326008e-10       1.228935363077e-15       2.018461172713e-13       7.193755487168e-18       1.039975717531e-09       5.125186263603e-11       6.355034764418e-14 
   12       1.078387888189e-10       1.141649091935e-15       1.733372919296e-13       8.511904026667e-18       9.094461572154e-10       4.546907783995e-11       1.049505315029e-13 
   13       1.087363228785e-10       1.115666696994e-15       1.564559171981e-13       9.942719028061e-18       8.022981480917e-10       4.078942622911e-11       1.137883791279e-13 
   14       1.098555138578e-10       1.046474133414e-15       1.494832301821e-13       1.148657420095e-17       7.131531744436e-10       3.676501633096e-11       9.918500962508e-14 
   15       1.110669063076e-10       9.364082442676e-16       1.502831134765e-13       1.314378643863e-17       6.381088212981e-10       3.337362343054e-11       7.078773274521e-14 
   16       1.124018544138e-10       8.362712331712e-16       1.565947874743e-13       1.491461019576e-17       5.742915593331e-10       3.046820517970e-11       3.672345066573e-14 
   17       1.138125905517e-10       7.911446654861e-16       1.661679737204e-13       1.679923470564e-17       5.195337038945e-10       2.792283303097e-11       3.338549354674e-15 
   18       1.152879997502e-10       8.136162409751e-16       1.770690419685e-13       1.879778272002e-17       4.719869452557e-10       2.570248252281e-11      -2.475339359409e-14 
   19       1.168535909861e-10       8.856102353123e-16       1.881705213713e-13       2.091032043717e-17       4.309184636476e-10       2.377253474553e-11      -4.519018350800e-14 
   20       1.184837398859e-10       9.754947551626e-16       1.984227512333e-13       2.313684801137e-17       3.947307601445e-10       2.204104140036e-11      -5.674305139217e-14 
   21       1.201673202866e-10       1.066884337153e-15       2.074171343260e-13       2.547732799028e-17       3.628581109027e-10       2.047835085678e-11      -5.984243006957e-14 
   22       1.218706612351e-10       1.150391723274e-15       2.150243788291e-13       2.793167400134e-17       3.345455510375e-10       1.905440258767e-11      -5.610946436074e-14 
   23       1.236077373285e-10       1.237543064451e-15       2.214748168871e-13       3.049978466087e-17       3.094060487444e-10       1.777464588055e-11      -4.744958360700e-14 
   24       1.253848110992e-10       1.347943904332e-15       2.271807988451e-13       3.318153220324e-17       2.868587073600e-10       1.663724995542e-11      -3.627250273204e-14 
   25       1.271910280184e-10       1.493275222489e-15       2.324879680953e-13       3.597680213286e-17       2.666399598973e-10       1.561710838041e-11      -2.451923771227e-14 
   26       1.289993858564e-10       1.681096189767e-15       2.377499547037e-13       3.888547930765e-17       2.483860177567e-10       1.467334488831e-11      -1.410611702635e-14 
   27       1.308234182359e-10       1.907846979376e-15       2.432323011187e-13       4.190748274750e-17       2.318806078870e-10       1.379845668298e-11      -6.194857775421e-15 
   28       1.326784059900e-10       2.166019315903e-15       2.491330012363e-13       4.504275674364e-17       2.168419512781e-10       1.299016866728e-11      -1.587272071847e-15 
   29       1.345694894720e-10       2.453385739024e-15       2.553885750875e-13       4.829131125164e-17       2.031944464752e-10       1.225155141562e-11      -2.212566128146e-16 
   30       1.364849480481e-10       2.768682493891e-15       2.617995527933e-13       5.165319908946e-17       1.907921370961e-10       1.158137969388e-11      -1.588430261357e-15 
   31       1.384030127849e-10       3.110364860848e-15       2.680929522519e-13       5.512851586167e-17       1.793828069663e-10       1.097198326745e-11      -4.953666582796e-15 
   32       1.403283894756e-10       3.478619368463e-15       2.739679535660e-13       5.871742752806e-17       1.689087995165e-10       1.041687656599e-11      -9.546257567480e-15 
   33       1.422669211835e-10       3.874070255350e-15       2.790554864590e-13       6.242016257976e-17       1.592975769915e-10       9.904672632125e-12      -1.440508962791e-14 
